------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Ohio",39000,3.4,392424,"33 of 51"
"Lawrence County",39087,0.9,527,"34 of 3140"
"Monroe County",39111,1.2,174,"81 of 3140"
"Adams County",39001,1.4,379,"116 of 3140"
"Cuyahoga County",39035,1.7,21157,"213 of 3140"
"Washington County",39167,1.9,1120,"269 of 3140"
"Shelby County",39149,2.1,994,"363 of 3140"
"Lake County",39085,2.2,4898,"417 of 3140"
"Columbiana County",39029,2.2,2263,"434 of 3140"
"Trumbull County",39155,2.2,4390,"439 of 3140"
"Darke County",39037,2.2,1145,"462 of 3140"
"Holmes County",39075,2.3,969,"478 of 3140"
"Jefferson County",39081,2.3,1558,"516 of 3140"
"Guernsey County",39059,2.4,942,"569 of 3140"
"Sandusky County",39143,2.5,1446,"590 of 3140"
"Lucas County",39095,2.5,10556,"601 of 3140"
"Meigs County",39105,2.5,579,"638 of 3140"
"Mercer County",39107,2.5,1015,"645 of 3140"
"Tuscarawas County",39157,2.6,2328,"665 of 3140"
"Stark County",39151,2.6,9580,"687 of 3140"
"Ashtabula County",39007,2.6,2564,"719 of 3140"
"Gallia County",39053,2.6,788,"731 of 3140"
"Harrison County",39067,2.7,410,"763 of 3140"
"Mahoning County",39099,2.7,6209,"773 of 3140"
"Preble County",39135,2.7,1108,"780 of 3140"
"Summit County",39153,2.8,14836,"821 of 3140"
"Hamilton County",39061,2.8,22163,"826 of 3140"
"Muskingum County",39119,2.8,2389,"854 of 3140"
"Paulding County",39125,3.0,566,"994 of 3140"
"Belmont County",39013,3.1,2106,"1026 of 3140"
"Jackson County",39079,3.1,996,"1030 of 3140"
"Morgan County",39115,3.1,452,"1033 of 3140"
"Franklin County",39049,3.1,38289,"1038 of 3140"
"Scioto County",39145,3.1,2367,"1052 of 3140"
"Montgomery County",39113,3.1,16476,"1070 of 3140"
"Williams County",39171,3.2,1171,"1128 of 3140"
"Morrow County",39117,3.2,1125,"1153 of 3140"
"Fayette County",39047,3.3,931,"1193 of 3140"
"Lorain County",39093,3.3,10003,"1203 of 3140"
"Clermont County",39025,3.3,6675,"1219 of 3140"
"Ottawa County",39123,3.4,1368,"1243 of 3140"
"Putnam County",39137,3.4,1145,"1260 of 3140"
"Allen County",39003,3.4,3520,"1265 of 3140"
"Brown County",39015,3.4,1477,"1267 of 3140"
"Logan County",39091,3.4,1532,"1271 of 3140"
"Huron County",39077,3.4,1986,"1274 of 3140"
"Fulton County",39051,3.5,1443,"1308 of 3140"
"Geauga County",39055,3.5,3269,"1362 of 3140"
"Clark County",39023,3.5,4738,"1371 of 3140"
"Erie County",39043,3.7,2758,"1502 of 3140"
"Miami County",39109,3.7,3823,"1520 of 3140"
"Carroll County",39019,3.8,1038,"1544 of 3140"
"Crawford County",39033,3.9,1628,"1639 of 3140"
"Highland County",39071,4.0,1698,"1698 of 3140"
"Medina County",39103,4.0,6985,"1704 of 3140"
"Van Wert County",39161,4.0,1120,"1707 of 3140"
"Coshocton County",39031,4.0,1453,"1712 of 3140"
"Defiance County",39039,4.0,1532,"1729 of 3140"
"Wayne County",39169,4.2,4754,"1794 of 3140"
"Hocking County",39073,4.3,1206,"1857 of 3140"
"Knox County",39083,4.3,2571,"1858 of 3140"
"Hancock County",39063,4.3,3207,"1866 of 3140"
"Auglaize County",39011,4.3,1951,"1885 of 3140"
"Butler County",39017,4.5,16867,"2016 of 3140"
"Wyandot County",39175,4.6,997,"2026 of 3140"
"Vinton County",39163,4.6,600,"2048 of 3140"
"Richland County",39139,4.7,5609,"2073 of 3140"
"Henry County",39069,4.7,1286,"2124 of 3140"
"Pike County",39131,4.8,1332,"2143 of 3140"
"Clinton County",39027,4.8,1990,"2163 of 3140"
"Delaware County",39041,5.0,9643,"2280 of 3140"
"Licking County",39089,5.1,8610,"2311 of 3140"
"Perry County",39127,5.2,1841,"2332 of 3140"
"Fairfield County",39045,5.2,7743,"2336 of 3140"
"Hardin County",39065,5.2,1637,"2378 of 3140"
"Warren County",39165,5.3,11673,"2385 of 3140"
"Champaign County",39021,5.4,2084,"2438 of 3140"
"Ross County",39141,5.4,4118,"2441 of 3140"
"Seneca County",39147,5.6,3083,"2521 of 3140"
