------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Ohio",39000,9.3,1070560,"39 of 51"
"Geauga County",39055,3.3,3095,"331 of 3140"
"Noble County",39121,3.9,566,"508 of 3140"
"Holmes County",39075,4.4,1892,"668 of 3140"
"Delaware County",39041,4.5,8513,"683 of 3140"
"Morgan County",39115,4.5,664,"722 of 3140"
"Medina County",39103,4.6,8072,"753 of 3140"
"Warren County",39165,4.7,10339,"770 of 3140"
"Brown County",39015,4.8,2086,"833 of 3140"
"Pickaway County",39129,5.0,2812,"905 of 3140"
"Morrow County",39117,5.0,1732,"909 of 3140"
"Ottawa County",39123,5.0,2035,"928 of 3140"
"Belmont County",39013,5.0,3443,"930 of 3140"
"Perry County",39127,5.4,1923,"1116 of 3140"
"Henry County",39069,5.5,1496,"1165 of 3140"
"Union County",39159,5.5,2980,"1169 of 3140"
"Carroll County",39019,5.6,1553,"1221 of 3140"
"Washington County",39167,5.7,3443,"1271 of 3140"
"Madison County",39097,5.8,2491,"1288 of 3140"
"Harrison County",39067,5.8,884,"1314 of 3140"
"Vinton County",39163,5.9,774,"1407 of 3140"
"Putnam County",39137,6.0,2013,"1424 of 3140"
"Clermont County",39025,6.0,12073,"1452 of 3140"
"Monroe County",39111,6.0,853,"1454 of 3140"
"Paulding County",39125,6.1,1146,"1496 of 3140"
"Van Wert County",39161,6.2,1721,"1510 of 3140"
"Auglaize County",39011,6.2,2781,"1513 of 3140"
"Lake County",39085,6.5,14695,"1657 of 3140"
"Trumbull County",39155,6.6,13180,"1710 of 3140"
"Wyandot County",39175,6.8,1492,"1808 of 3140"
"Fairfield County",39045,6.9,10321,"1830 of 3140"
"Greene County",39057,6.9,11261,"1831 of 3140"
"Mercer County",39107,7.0,2805,"1863 of 3140"
"Meigs County",39105,7.0,1611,"1878 of 3140"
"Lawrence County",39087,7.1,4280,"1906 of 3140"
"Summit County",39153,7.1,38203,"1925 of 3140"
"Hocking County",39073,7.2,2029,"1937 of 3140"
"Jefferson County",39081,7.2,4848,"1983 of 3140"
"Ashland County",39005,7.3,3834,"1993 of 3140"
"Seneca County",39147,7.3,4001,"1994 of 3140"
"Ashtabula County",39007,7.3,7144,"2016 of 3140"
"Pike County",39131,7.3,2053,"2024 of 3140"
"Licking County",39089,7.4,12419,"2033 of 3140"
"Huron County",39077,7.6,4425,"2144 of 3140"
"Jackson County",39079,7.6,2473,"2145 of 3140"
"Highland County",39071,7.7,3260,"2147 of 3140"
"Clinton County",39027,7.7,3173,"2160 of 3140"
"Fulton County",39051,7.7,3221,"2171 of 3140"
"Logan County",39091,7.7,3460,"2180 of 3140"
"Sandusky County",39143,7.7,4564,"2184 of 3140"
"Portage County",39133,7.8,12601,"2211 of 3140"
"Mahoning County",39099,7.9,18042,"2218 of 3140"
"Adams County",39001,8.0,2226,"2276 of 3140"
"Darke County",39037,8.1,4138,"2288 of 3140"
"Erie County",39043,8.1,6017,"2292 of 3140"
"Preble County",39135,8.2,3332,"2319 of 3140"
"Wayne County",39169,8.2,9341,"2324 of 3140"
"Coshocton County",39031,8.3,3001,"2357 of 3140"
"Knox County",39083,8.3,5020,"2369 of 3140"
"Defiance County",39039,8.5,3239,"2423 of 3140"
"Columbiana County",39029,8.6,8931,"2442 of 3140"
"Guernsey County",39059,8.6,3361,"2456 of 3140"
"Crawford County",39033,8.7,3627,"2470 of 3140"
