------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Ohio",39000,85.1,9772568,"24 of 51"
"United States",00000,85.4,270854872,"N/A"
"Athens County",39009,71.3,46377,"3122 of 3140"
"Wood County",39173,80.2,102812,"2922 of 3140"
"Franklin County",39049,80.5,994959,"2894 of 3140"
"Montgomery County",39113,81.9,430322,"2773 of 3140"
"Greene County",39057,82.3,134320,"2723 of 3140"
"Clark County",39023,82.5,110684,"2686 of 3140"
"Hancock County",39063,82.6,61677,"2677 of 3140"
"Marion County",39101,82.6,53390,"2673 of 3140"
"Hamilton County",39061,82.7,660620,"2661 of 3140"
"Lucas County",39095,83.1,355540,"2612 of 3140"
"Richland County",39139,83.3,100125,"2585 of 3140"
"Hardin County",39065,83.4,25997,"2565 of 3140"
"Madison County",39097,83.7,36227,"2496 of 3140"
"Portage County",39133,83.7,134512,"2495 of 3140"
"Butler County",39017,83.7,310856,"2491 of 3140"
"Union County",39159,83.9,45342,"2448 of 3140"
"Allen County",39003,83.9,86548,"2446 of 3140"
"Champaign County",39021,84.4,32660,"2360 of 3140"
"Muskingum County",39119,84.6,71779,"2317 of 3140"
"Williams County",39171,84.7,30981,"2299 of 3140"
"Cuyahoga County",39035,84.7,1052819,"2296 of 3140"
"Seneca County",39147,84.8,46596,"2269 of 3140"
"Ross County",39141,84.9,64882,"2236 of 3140"
"Knox County",39083,85.2,51438,"2162 of 3140"
"Pickaway County",39129,85.3,48135,"2153 of 3140"
"Miami County",39109,85.3,87604,"2147 of 3140"
"Fayette County",39047,85.4,24159,"2127 of 3140"
"Ashland County",39005,85.4,44979,"2114 of 3140"
"Noble County",39121,85.7,12349,"2036 of 3140"
"Licking County",39089,86.0,144935,"1952 of 3140"
"Fairfield County",39045,86.0,128737,"1941 of 3140"
"Defiance County",39039,86.0,32609,"1929 of 3140"
"Gallia County",39053,86.0,25652,"1928 of 3140"
"Lorain County",39093,86.1,260313,"1921 of 3140"
