------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Ohio",39000,27.2,2148627,"37 of 52"
"United States",00000,30.9,66887603,"N/A"
"Holmes County",39075,8.5,2124,"3105 of 3141"
"Vinton County",39163,10.3,941,"3011 of 3141"
"Noble County",39121,10.6,1160,"2995 of 3141"
"Harrison County",39067,10.9,1203,"2966 of 3141"
"Monroe County",39111,11.4,1167,"2905 of 3141"
"Perry County",39127,11.7,2841,"2876 of 3141"
"Adams County",39001,12.1,2303,"2811 of 3141"
"Highland County",39071,12.3,3609,"2782 of 3141"
"Carroll County",39019,12.3,2444,"2781 of 3141"
"Coshocton County",39031,12.6,3181,"2724 of 3141"
"Brown County",39015,12.8,3875,"2700 of 3141"
"Meigs County",39105,13.0,2133,"2673 of 3141"
"Morgan County",39115,13.0,1361,"2658 of 3141"
"Pike County",39131,13.3,2570,"2620 of 3141"
"Ashtabula County",39007,13.4,9196,"2605 of 3141"
"Marion County",39101,13.5,6242,"2585 of 3141"
"Morrow County",39117,13.6,3242,"2560 of 3141"
"Huron County",39077,13.7,5382,"2547 of 3141"
"Columbiana County",39029,13.9,10410,"2513 of 3141"
"Guernsey County",39059,13.9,3811,"2509 of 3141"
"Paulding County",39125,14.0,1828,"2487 of 3141"
"Hocking County",39073,14.1,2802,"2484 of 3141"
"Darke County",39037,14.2,5033,"2455 of 3141"
"Preble County",39135,14.4,4119,"2425 of 3141"
"Lawrence County",39087,14.5,6178,"2410 of 3141"
"Williams County",39171,14.6,3738,"2383 of 3141"
"Crawford County",39033,14.7,4338,"2369 of 3141"
"Jefferson County",39081,14.9,7115,"2331 of 3141"
"Wyandot County",39175,15.0,2290,"2318 of 3141"
"Tuscarawas County",39157,15.1,9667,"2290 of 3141"
"Logan County",39091,15.1,4685,"2284 of 3141"
"Sandusky County",39143,15.2,6220,"2278 of 3141"
"Scioto County",39145,15.2,8065,"2270 of 3141"
"Seneca County",39147,15.3,5683,"2243 of 3141"
"Hardin County",39065,15.5,2982,"2210 of 3141"
"Muskingum County",39119,15.7,9151,"2174 of 3141"
"Fayette County",39047,15.8,3083,"2166 of 3141"
"Jackson County",39079,15.8,3514,"2156 of 3141"
"Ross County",39141,16.0,8655,"2113 of 3141"
"Champaign County",39021,16.1,4289,"2090 of 3141"
"Belmont County",39013,16.1,8155,"2083 of 3141"
"Defiance County",39039,16.2,4190,"2069 of 3141"
"Gallia County",39053,16.2,3344,"2066 of 3141"
"Van Wert County",39161,16.4,3173,"2036 of 3141"
"Mercer County",39107,16.6,4473,"2000 of 3141"
"Madison County",39097,16.7,5193,"1979 of 3141"
"Shelby County",39149,17.1,5518,"1919 of 3141"
"Richland County",39139,17.2,14561,"1902 of 3141"
"Fulton County",39051,17.3,4914,"1891 of 3141"
"Pickaway County",39129,17.3,6836,"1875 of 3141"
"Henry County",39069,17.4,3267,"1858 of 3141"
"Clinton County",39027,17.5,4870,"1849 of 3141"
"Allen County",39003,17.7,12246,"1808 of 3141"
"Auglaize County",39011,18.5,5716,"1675 of 3141"
"Clark County",39023,18.6,17184,"1655 of 3141"
"Washington County",39167,18.7,8059,"1634 of 3141"
"Trumbull County",39155,18.7,27028,"1627 of 3141"
"Putnam County",39137,19.0,4295,"1566 of 3141"
"Ashland County",39005,20.2,7124,"1365 of 3141"
"Wayne County",39169,21.0,15932,"1230 of 3141"
"Miami County",39109,21.0,15098,"1228 of 3141"
"Ottawa County",39123,22.3,6738,"1070 of 3141"
"Erie County",39043,22.4,11990,"1064 of 3141"
"Knox County",39083,22.7,9000,"1015 of 3141"
"Stark County",39151,22.8,58997,"1007 of 3141"
"Mahoning County",39099,23.2,38145,"960 of 3141"
"Lorain County",39093,23.7,49633,"906 of 3141"
