------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"Ohio",39000,51.0,5923675,"33 of 52"
"Noble County",39121,40.5,5872,"42 of 3141"
"Madison County",39097,45.4,19840,"128 of 3141"
"Marion County",39101,46.8,30630,"221 of 3141"
"Ross County",39141,47.3,36503,"274 of 3141"
"Pickaway County",39129,47.3,27023,"277 of 3141"
"Belmont County",39013,49.0,33722,"588 of 3141"
"Richland County",39139,49.2,59851,"684 of 3141"
"Allen County",39003,49.5,51543,"811 of 3141"
"Shelby County",39149,49.5,24217,"829 of 3141"
"Warren County",39165,49.6,111132,"902 of 3141"
"Mercer County",39107,49.7,20239,"945 of 3141"
"Vinton County",39163,49.7,6534,"961 of 3141"
"Columbiana County",39029,49.7,51998,"962 of 3141"
"Ashtabula County",39007,49.8,49113,"1026 of 3141"
"Monroe County",39111,49.9,7099,"1084 of 3141"
"Paulding County",39125,49.9,9458,"1125 of 3141"
"Morgan County",39115,49.9,7378,"1150 of 3141"
"Perry County",39127,49.9,17971,"1151 of 3141"
"Morrow County",39117,50.0,17468,"1198 of 3141"
"Adams County",39001,50.0,13966,"1204 of 3141"
"Auglaize County",39011,50.1,22912,"1240 of 3141"
"Holmes County",39075,50.1,21934,"1263 of 3141"
"Seneca County",39147,50.1,27815,"1267 of 3141"
"Putnam County",39137,50.1,17058,"1302 of 3141"
"Champaign County",39021,50.1,19552,"1317 of 3141"
"Pike County",39131,50.2,14189,"1339 of 3141"
"Fairfield County",39045,50.2,76086,"1385 of 3141"
"Athens County",39009,50.2,32922,"1387 of 3141"
"Ottawa County",39123,50.3,20497,"1447 of 3141"
"Coshocton County",39031,50.3,18410,"1469 of 3141"
"Carroll County",39019,50.3,14001,"1495 of 3141"
"Guernsey County",39059,50.4,19870,"1584 of 3141"
"Meigs County",39105,50.4,11717,"1600 of 3141"
"Williams County",39171,50.5,18701,"1635 of 3141"
"Wyandot County",39175,50.5,11198,"1639 of 3141"
"Wayne County",39169,50.5,58503,"1647 of 3141"
"Brown County",39015,50.5,22106,"1649 of 3141"
"Defiance County",39039,50.5,19342,"1668 of 3141"
"Sandusky County",39143,50.5,30081,"1690 of 3141"
"Preble County",39135,50.5,20876,"1696 of 3141"
"Delaware County",39041,50.5,97509,"1700 of 3141"
"Hocking County",39073,50.5,14425,"1709 of 3141"
"Hardin County",39065,50.5,15956,"1712 of 3141"
"Miami County",39109,50.5,52597,"1714 of 3141"
"Logan County",39091,50.5,22904,"1715 of 3141"
"Medina County",39103,50.5,89130,"1723 of 3141"
"Clinton County",39027,50.5,21162,"1733 of 3141"
"Fulton County",39051,50.6,21384,"1753 of 3141"
"Clermont County",39025,50.6,102226,"1765 of 3141"
"Washington County",39167,50.6,30794,"1787 of 3141"
"Highland County",39071,50.6,21769,"1788 of 3141"
"Harrison County",39067,50.6,7791,"1800 of 3141"
"Scioto County",39145,50.6,38903,"1810 of 3141"
"Henry County",39069,50.6,13905,"1855 of 3141"
"Huron County",39077,50.7,29660,"1944 of 3141"
"Hancock County",39063,50.7,38299,"1967 of 3141"
"Lorain County",39093,50.7,154986,"1996 of 3141"
"Darke County",39037,50.8,26350,"2002 of 3141"
"Tuscarawas County",39157,50.8,46969,"2012 of 3141"
"Wood County",39173,50.8,65737,"2013 of 3141"
"Geauga County",39055,50.8,47675,"2028 of 3141"
"Greene County",39057,50.8,83811,"2108 of 3141"
"Lawrence County",39087,50.9,31080,"2158 of 3141"
"Van Wert County",39161,50.9,14395,"2186 of 3141"
"Erie County",39043,50.9,38397,"2200 of 3141"
"Gallia County",39053,51.0,15389,"2210 of 3141"
"Butler County",39017,51.0,191553,"2235 of 3141"
"Licking County",39089,51.0,87103,"2278 of 3141"
"Knox County",39083,51.1,31115,"2297 of 3141"
"Fayette County",39047,51.1,14632,"2300 of 3141"
"Portage County",39133,51.1,82822,"2349 of 3141"
"Jackson County",39079,51.1,16671,"2351 of 3141"
"Lake County",39085,51.1,117487,"2401 of 3141"
"Crawford County",39033,51.2,21605,"2409 of 3141"
"Ashland County",39005,51.2,27294,"2455 of 3141"
"Trumbull County",39155,51.2,104130,"2456 of 3141"
"Franklin County",39049,51.2,642421,"2488 of 3141"
"Mahoning County",39099,51.3,118911,"2513 of 3141"
"Stark County",39151,51.4,192500,"2617 of 3141"
"Muskingum County",39119,51.5,44215,"2627 of 3141"
"Summit County",39153,51.5,278784,"2649 of 3141"
"Lucas County",39095,51.5,223242,"2657 of 3141"
"Clark County",39023,51.6,69945,"2720 of 3141"
"Jefferson County",39081,51.6,34770,"2729 of 3141"
"Hamilton County",39061,51.8,419207,"2838 of 3141"
"Montgomery County",39113,51.9,275849,"2848 of 3141"
"Union County",39159,52.2,28521,"2942 of 3141"
"Cuyahoga County",39035,52.4,658368,"2979 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
