------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Ohio",39000,2.1,239377,"34 of 52"
"United States",00000,5.5,17756436,"N/A"
"Meigs County",39105,0.0,8,"2889 of 3141"
"Morrow County",39117,0.0,14,"2879 of 3141"
"Pike County",39131,0.1,15,"2865 of 3141"
"Noble County",39121,0.1,16,"2755 of 3141"
"Monroe County",39111,0.1,20,"2699 of 3141"
"Vinton County",39163,0.1,19,"2691 of 3141"
"Jackson County",39079,0.2,58,"2630 of 3141"
"Ottawa County",39123,0.2,77,"2606 of 3141"
"Hocking County",39073,0.2,55,"2598 of 3141"
"Adams County",39001,0.2,55,"2589 of 3141"
"Perry County",39127,0.2,75,"2561 of 3141"
"Huron County",39077,0.2,126,"2552 of 3141"
"Holmes County",39075,0.2,97,"2539 of 3141"
"Morgan County",39115,0.2,34,"2526 of 3141"
"Columbiana County",39029,0.2,243,"2523 of 3141"
"Brown County",39015,0.3,113,"2473 of 3141"
"Putnam County",39137,0.3,89,"2467 of 3141"
"Van Wert County",39161,0.3,91,"2340 of 3141"
"Guernsey County",39059,0.3,129,"2331 of 3141"
"Coshocton County",39031,0.3,123,"2307 of 3141"
"Darke County",39037,0.3,180,"2281 of 3141"
"Sandusky County",39143,0.3,208,"2279 of 3141"
"Pickaway County",39129,0.4,219,"2195 of 3141"
"Knox County",39083,0.4,236,"2183 of 3141"
"Preble County",39135,0.4,161,"2174 of 3141"
"Jefferson County",39081,0.4,263,"2172 of 3141"
"Belmont County",39013,0.4,273,"2161 of 3141"
"Scioto County",39145,0.4,308,"2146 of 3141"
"Highland County",39071,0.4,177,"2118 of 3141"
"Tuscarawas County",39157,0.4,383,"2110 of 3141"
"Henry County",39069,0.4,114,"2108 of 3141"
"Muskingum County",39119,0.4,357,"2106 of 3141"
"Defiance County",39039,0.4,161,"2097 of 3141"
"Crawford County",39033,0.4,182,"2063 of 3141"
"Clinton County",39027,0.4,181,"2059 of 3141"
"Carroll County",39019,0.4,122,"2047 of 3141"
"Fulton County",39051,0.5,192,"2000 of 3141"
"Paulding County",39125,0.5,92,"1916 of 3141"
"Trumbull County",39155,0.5,1011,"1887 of 3141"
"Lawrence County",39087,0.5,319,"1828 of 3141"
"Ashtabula County",39007,0.5,520,"1819 of 3141"
"Harrison County",39067,0.5,82,"1803 of 3141"
"Marion County",39101,0.5,350,"1795 of 3141"
"Seneca County",39147,0.6,307,"1756 of 3141"
"Champaign County",39021,0.6,223,"1721 of 3141"
"Erie County",39043,0.6,452,"1669 of 3141"
"Ross County",39141,0.6,464,"1665 of 3141"
"Ashland County",39005,0.6,325,"1648 of 3141"
"Williams County",39171,0.6,235,"1588 of 3141"
"Geauga County",39055,0.6,600,"1576 of 3141"
"Washington County",39167,0.6,395,"1562 of 3141"
"Auglaize County",39011,0.7,304,"1533 of 3141"
"Clark County",39023,0.7,956,"1453 of 3141"
"Gallia County",39053,0.7,218,"1424 of 3141"
"Allen County",39003,0.7,756,"1413 of 3141"
"Logan County",39091,0.7,338,"1368 of 3141"
"Hardin County",39065,0.8,245,"1333 of 3141"
"Mercer County",39107,0.8,326,"1292 of 3141"
"Richland County",39139,0.8,983,"1286 of 3141"
"Stark County",39151,0.8,3122,"1259 of 3141"
"Mahoning County",39099,0.9,1996,"1224 of 3141"
"Fayette County",39047,0.9,255,"1186 of 3141"
"Wyandot County",39175,0.9,198,"1184 of 3141"
"Shelby County",39149,1.0,471,"1111 of 3141"
"Wayne County",39169,1.0,1162,"1073 of 3141"
"Licking County",39089,1.0,1726,"1063 of 3141"
"Lorain County",39093,1.1,3208,"1021 of 3141"
"Madison County",39097,1.2,503,"938 of 3141"
"Clermont County",39025,1.2,2428,"896 of 3141"
"Medina County",39103,1.2,2137,"889 of 3141"
"Lake County",39085,1.2,2844,"863 of 3141"
"Miami County",39109,1.3,1341,"828 of 3141"
"Fairfield County",39045,1.6,2419,"662 of 3141"
"Wood County",39173,1.7,2193,"624 of 3141"
"Hancock County",39063,1.8,1375,"590 of 3141"
"Lucas County",39095,1.8,7895,"589 of 3141"
"Portage County",39133,1.9,3024,"580 of 3141"
"Montgomery County",39113,2.0,10904,"521 of 3141"
"Hamilton County",39061,2.5,20366,"423 of 3141"
"Cuyahoga County",39035,2.9,36005,"355 of 3141"
"Athens County",39009,2.9,1923,"346 of 3141"
"Butler County",39017,3.0,11137,"337 of 3141"
"Summit County",39153,3.0,16286,"332 of 3141"
"Greene County",39057,3.0,4969,"328 of 3141"
"Union County",39159,3.3,1828,"289 of 3141"
"Franklin County",39049,4.8,60639,"172 of 3141"
"Warren County",39165,5.2,11638,"154 of 3141"
"Delaware County",39041,5.5,10710,"137 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
