------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Ohio",39000,1.4,64436,"12 of 51"
"United States",00000,4.5,5305440,"N/A"
"Jackson County",39079,0.0,0,"1 of 3140"
"Vinton County",39163,0.0,0,"1 of 3140"
"Clinton County",39027,0.0,7,"322 of 3140"
"Perry County",39127,0.1,8,"346 of 3140"
"Lawrence County",39087,0.1,16,"361 of 3140"
"Darke County",39037,0.1,18,"386 of 3140"
"Noble County",39121,0.1,5,"405 of 3140"
"Belmont County",39013,0.1,34,"447 of 3140"
"Preble County",39135,0.1,21,"455 of 3140"
"Pickaway County",39129,0.1,26,"466 of 3140"
"Meigs County",39105,0.1,13,"476 of 3140"
"Columbiana County",39029,0.2,63,"496 of 3140"
"Adams County",39001,0.2,17,"510 of 3140"
"Carroll County",39019,0.2,18,"531 of 3140"
"Brown County",39015,0.2,30,"546 of 3140"
"Henry County",39069,0.2,23,"598 of 3140"
"Morgan County",39115,0.2,13,"608 of 3140"
"Hardin County",39065,0.2,25,"625 of 3140"
"Hocking County",39073,0.2,25,"633 of 3140"
"Ottawa County",39123,0.3,44,"695 of 3140"
"Pike County",39131,0.3,29,"712 of 3140"
"Monroe County",39111,0.3,16,"719 of 3140"
"Highland County",39071,0.3,47,"748 of 3140"
"Morrow County",39117,0.3,36,"749 of 3140"
"Scioto County",39145,0.3,86,"756 of 3140"
"Champaign County",39021,0.3,50,"829 of 3140"
"Medina County",39103,0.4,237,"885 of 3140"
"Mercer County",39107,0.4,59,"908 of 3140"
"Guernsey County",39059,0.4,59,"914 of 3140"
"Van Wert County",39161,0.4,43,"920 of 3140"
"Miami County",39109,0.4,153,"923 of 3140"
