------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Ohio",39000,49.0,5686081,"20 of 52"
"United States",00000,49.2,158018753,"N/A"
"Cuyahoga County",39035,47.6,599033,"163 of 3141"
"Union County",39159,47.8,26167,"200 of 3141"
"Montgomery County",39113,48.1,256138,"294 of 3141"
"Hamilton County",39061,48.2,389496,"304 of 3141"
"Jefferson County",39081,48.4,32579,"413 of 3141"
"Clark County",39023,48.4,65575,"421 of 3141"
"Lucas County",39095,48.5,210162,"484 of 3141"
"Summit County",39153,48.5,262534,"493 of 3141"
"Muskingum County",39119,48.5,41718,"515 of 3141"
"Stark County",39151,48.6,181773,"525 of 3141"
"Mahoning County",39099,48.7,112946,"629 of 3141"
"Franklin County",39049,48.8,611086,"654 of 3141"
"Trumbull County",39155,48.8,99211,"685 of 3141"
"Ashland County",39005,48.8,26005,"687 of 3141"
"Crawford County",39033,48.8,20626,"733 of 3141"
"Lake County",39085,48.9,112214,"741 of 3141"
"Jackson County",39079,48.9,15953,"791 of 3141"
"Portage County",39133,48.9,79258,"793 of 3141"
"Fayette County",39047,48.9,14027,"842 of 3141"
"Knox County",39083,48.9,29830,"845 of 3141"
"Licking County",39089,49.0,83575,"864 of 3141"
"Butler County",39017,49.0,184149,"907 of 3141"
"Gallia County",39053,49.0,14814,"932 of 3141"
"Erie County",39043,49.1,36972,"942 of 3141"
"Van Wert County",39161,49.1,13867,"956 of 3141"
"Lawrence County",39087,49.1,29977,"984 of 3141"
"Greene County",39057,49.2,81014,"1034 of 3141"
"Geauga County",39055,49.2,46220,"1114 of 3141"
"Wood County",39173,49.2,63767,"1128 of 3141"
"Tuscarawas County",39157,49.2,45562,"1130 of 3141"
"Darke County",39037,49.2,25569,"1140 of 3141"
"Lorain County",39093,49.3,150419,"1146 of 3141"
"Hancock County",39063,49.3,37209,"1175 of 3141"
"Huron County",39077,49.3,28837,"1198 of 3141"
"Henry County",39069,49.4,13558,"1287 of 3141"
"Scioto County",39145,49.4,37968,"1332 of 3141"
"Harrison County",39067,49.4,7606,"1342 of 3141"
"Highland County",39071,49.4,21262,"1354 of 3141"
"Washington County",39167,49.4,30077,"1355 of 3141"
"Clermont County",39025,49.4,99940,"1376 of 3141"
"Fulton County",39051,49.4,20912,"1389 of 3141"
"Clinton County",39027,49.5,20707,"1408 of 3141"
"Medina County",39103,49.5,87232,"1419 of 3141"
"Logan County",39091,49.5,22419,"1427 of 3141"
"Miami County",39109,49.5,51484,"1428 of 3141"
"Hardin County",39065,49.5,15620,"1430 of 3141"
"Hocking County",39073,49.5,14122,"1433 of 3141"
"Delaware County",39041,49.5,95515,"1442 of 3141"
"Preble County",39135,49.5,20452,"1445 of 3141"
"Sandusky County",39143,49.5,29478,"1452 of 3141"
"Defiance County",39039,49.5,18969,"1474 of 3141"
"Brown County",39015,49.5,21693,"1493 of 3141"
"Wayne County",39169,49.5,57412,"1495 of 3141"
"Wyandot County",39175,49.5,10992,"1503 of 3141"
"Williams County",39171,49.5,18360,"1507 of 3141"
"Meigs County",39105,49.6,11517,"1542 of 3141"
"Guernsey County",39059,49.6,19544,"1557 of 3141"
"Carroll County",39019,49.7,13824,"1647 of 3141"
"Coshocton County",39031,49.7,18192,"1673 of 3141"
"Ottawa County",39123,49.7,20272,"1695 of 3141"
"Athens County",39009,49.8,32641,"1755 of 3141"
"Fairfield County",39045,49.8,75440,"1757 of 3141"
"Pike County",39131,49.8,14102,"1802 of 3141"
"Champaign County",39021,49.9,19453,"1825 of 3141"
"Putnam County",39137,49.9,16979,"1840 of 3141"
"Seneca County",39147,49.9,27734,"1875 of 3141"
"Holmes County",39075,49.9,21874,"1879 of 3141"
"Auglaize County",39011,49.9,22866,"1902 of 3141"
"Adams County",39001,50.0,13960,"1938 of 3141"
"Morrow County",39117,50.0,17467,"1944 of 3141"
"Perry County",39127,50.1,18012,"1991 of 3141"
"Morgan County",39115,50.1,7395,"1992 of 3141"
"Paulding County",39125,50.1,9493,"2017 of 3141"
"Monroe County",39111,50.1,7140,"2058 of 3141"
"Ashtabula County",39007,50.2,49509,"2116 of 3141"
"Columbiana County",39029,50.3,52586,"2180 of 3141"
"Vinton County",39163,50.3,6608,"2181 of 3141"
"Mercer County",39107,50.3,20484,"2197 of 3141"
"Warren County",39165,50.4,112736,"2240 of 3141"
"Shelby County",39149,50.5,24685,"2313 of 3141"
"Allen County",39003,50.5,52614,"2331 of 3141"
"Richland County",39139,50.8,61682,"2458 of 3141"
"Belmont County",39013,51.0,35167,"2554 of 3141"
"Pickaway County",39129,52.7,30052,"2865 of 3141"
"Ross County",39141,52.7,40622,"2868 of 3141"
"Marion County",39101,53.2,34853,"2921 of 3141"
"Madison County",39097,54.6,23892,"3014 of 3141"
"Noble County",39121,59.5,8626,"3100 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
