------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Ohio",39000,96.4,11195266,"43 of 52"
"Sandusky County",39143,90.3,53782,"758 of 3141"
"Defiance County",39039,90.4,34617,"763 of 3141"
"Lorain County",39093,90.5,276316,"772 of 3141"
"Fulton County",39051,91.6,38725,"856 of 3141"
"Henry County",39069,92.5,25415,"945 of 3141"
"Lucas County",39095,93.2,403845,"1014 of 3141"
"Huron County",39077,93.8,54858,"1094 of 3141"
"Putnam County",39137,94.0,31997,"1130 of 3141"
"Cuyahoga County",39035,94.4,1187076,"1200 of 3141"
"Mahoning County",39099,94.4,218975,"1207 of 3141"
"Wood County",39173,94.7,122581,"1251 of 3141"
"Franklin County",39049,94.8,1188013,"1267 of 3141"
"Hancock County",39063,94.8,71614,"1283 of 3141"
"Ottawa County",39123,95.1,38763,"1336 of 3141"
"Seneca County",39147,95.1,52830,"1341 of 3141"
"Paulding County",39125,95.4,18084,"1410 of 3141"
"Butler County",39017,95.5,358830,"1428 of 3141"
"Erie County",39043,95.8,72222,"1510 of 3141"
"Williams County",39171,95.8,35516,"1512 of 3141"
"Lake County",39085,96.0,220399,"1551 of 3141"
"Ashtabula County",39007,96.0,94685,"1567 of 3141"
"Clark County",39023,96.8,131220,"1810 of 3141"
"Van Wert County",39161,97.0,27406,"1871 of 3141"
"Hamilton County",39061,97.0,784249,"1873 of 3141"
"Allen County",39003,97.1,101162,"1927 of 3141"
"Wyandot County",39175,97.3,21582,"1998 of 3141"
"Montgomery County",39113,97.3,517536,"2016 of 3141"
"Greene County",39057,97.3,160375,"2027 of 3141"
"Warren County",39165,97.4,218090,"2076 of 3141"
"Marion County",39101,97.5,63845,"2118 of 3141"
"Delaware County",39041,97.6,188301,"2144 of 3141"
"Tuscarawas County",39157,97.6,90280,"2146 of 3141"
"Fairfield County",39045,98.0,148454,"2363 of 3141"
"Fayette County",39047,98.0,28093,"2401 of 3141"
"Summit County",39153,98.0,530744,"2408 of 3141"
"Medina County",39103,98.1,172927,"2412 of 3141"
"Stark County",39151,98.1,367071,"2422 of 3141"
"Madison County",39097,98.1,42920,"2459 of 3141"
"Wayne County",39169,98.1,113763,"2460 of 3141"
"Athens County",39009,98.2,64352,"2465 of 3141"
"Mercer County",39107,98.2,39992,"2496 of 3141"
"Clermont County",39025,98.2,198544,"2500 of 3141"
"Richland County",39139,98.2,119382,"2516 of 3141"
"Licking County",39089,98.3,167703,"2528 of 3141"
"Portage County",39133,98.3,159336,"2563 of 3141"
"Trumbull County",39155,98.3,199911,"2567 of 3141"
