------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,14.6,45650345,"N/A"
"Ohio",39000,14.9,1683890,"32 of 52"
"Delaware County",39041,5.1,9625,"42 of 3141"
"Warren County",39165,5.1,11016,"44 of 3141"
"Medina County",39103,6.2,10764,"97 of 3141"
"Geauga County",39055,6.5,6076,"114 of 3141"
"Putnam County",39137,7.2,2416,"158 of 3141"
"Union County",39159,7.4,3799,"178 of 3141"
"Mercer County",39107,7.4,2989,"179 of 3141"
"Lake County",39085,8.3,18837,"272 of 3141"
"Shelby County",39149,8.9,4286,"338 of 3141"
"Auglaize County",39011,9.0,4079,"364 of 3141"
"Henry County",39069,9.0,2437,"365 of 3141"
"Morrow County",39117,9.7,3347,"475 of 3141"
"Clermont County",39025,9.8,19660,"498 of 3141"
"Miami County",39109,9.9,10150,"513 of 3141"
"Fairfield County",39045,9.9,14776,"535 of 3141"
"Madison County",39097,10.2,3926,"573 of 3141"
"Ottawa County",39123,10.5,4219,"620 of 3141"
"Fulton County",39051,10.6,4417,"636 of 3141"
"Paulding County",39125,10.7,2006,"659 of 3141"
"Defiance County",39039,11.0,4113,"706 of 3141"
"Champaign County",39021,11.1,4211,"721 of 3141"
"Wyandot County",39175,11.3,2474,"785 of 3141"
"Darke County",39037,11.6,5919,"838 of 3141"
"Licking County",39089,11.8,19591,"875 of 3141"
"Holmes County",39075,12.0,5132,"914 of 3141"
"Pickaway County",39129,12.0,6253,"920 of 3141"
"Hancock County",39063,12.1,8878,"943 of 3141"
"Greene County",39057,12.3,19093,"962 of 3141"
"Preble County",39135,12.4,5017,"983 of 3141"
"Van Wert County",39161,12.7,3538,"1042 of 3141"
"Noble County",39121,12.9,1534,"1085 of 3141"
"Butler County",39017,12.9,47018,"1094 of 3141"
"Erie County",39043,13.0,9636,"1111 of 3141"
