------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Ohio",39000,22.6,2627168,"29 of 52"
"United States",00000,22.9,73601279,"N/A"
"Athens County",39009,15.0,9839,"3099 of 3141"
"Noble County",39121,18.4,2663,"2832 of 3141"
"Belmont County",39013,19.2,13217,"2703 of 3141"
"Portage County",39133,19.3,31262,"2679 of 3141"
"Ottawa County",39123,19.3,7884,"2668 of 3141"
"Jefferson County",39081,19.5,13129,"2619 of 3141"
"Washington County",39167,19.9,12093,"2526 of 3141"
"Mahoning County",39099,20.4,47303,"2363 of 3141"
"Wood County",39173,20.6,26667,"2306 of 3141"
"Greene County",39057,20.7,34199,"2256 of 3141"
"Erie County",39043,20.8,15641,"2254 of 3141"
"Lake County",39085,20.8,47688,"2250 of 3141"
"Columbiana County",39029,20.8,21754,"2231 of 3141"
"Trumbull County",39155,20.9,42430,"2216 of 3141"
"Madison County",39097,20.9,9153,"2193 of 3141"
"Marion County",39101,21.0,13750,"2160 of 3141"
"Carroll County",39019,21.0,5852,"2147 of 3141"
"Harrison County",39067,21.1,3247,"2127 of 3141"
"Monroe County",39111,21.1,3004,"2122 of 3141"
"Cuyahoga County",39035,21.3,267791,"2044 of 3141"
"Summit County",39153,21.5,116243,"1993 of 3141"
"Morgan County",39115,21.7,3207,"1909 of 3141"
"Ross County",39141,21.7,16754,"1904 of 3141"
"Richland County",39139,21.8,26482,"1865 of 3141"
"Meigs County",39105,21.9,5077,"1845 of 3141"
"Stark County",39151,21.9,81832,"1839 of 3141"
"Scioto County",39145,22.0,16877,"1789 of 3141"
"Pickaway County",39129,22.0,12558,"1770 of 3141"
"Crawford County",39033,22.1,9322,"1738 of 3141"
"Seneca County",39147,22.3,12399,"1615 of 3141"
"Lawrence County",39087,22.4,13655,"1597 of 3141"
"Montgomery County",39113,22.4,119099,"1584 of 3141"
"Ashtabula County",39007,22.5,22150,"1556 of 3141"
"Hancock County",39063,22.5,17001,"1532 of 3141"
"Guernsey County",39059,22.6,8915,"1499 of 3141"
"Lorain County",39093,22.6,69137,"1488 of 3141"
"Vinton County",39163,22.7,2980,"1468 of 3141"
"Hocking County",39073,22.7,6475,"1466 of 3141"
"Clark County",39023,22.8,30929,"1399 of 3141"
"Williams County",39171,22.9,8495,"1357 of 3141"
"Champaign County",39021,22.9,8949,"1347 of 3141"
