------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"Ohio",39000,10.8,319312,"32 of 52"
"Delaware County",39041,3.4,1764,"72 of 3141"
"Warren County",39165,3.7,2222,"95 of 3141"
"Medina County",39103,4.0,1939,"132 of 3141"
"Geauga County",39055,4.3,1138,"165 of 3141"
"Union County",39159,4.7,673,"210 of 3141"
"Mercer County",39107,4.9,549,"223 of 3141"
"Lake County",39085,5.5,3421,"323 of 3141"
"Henry County",39069,5.8,455,"377 of 3141"
"Putnam County",39137,5.9,582,"401 of 3141"
"Morrow County",39117,6.3,592,"485 of 3141"
"Wood County",39173,6.4,2026,"505 of 3141"
"Ottawa County",39123,6.5,765,"512 of 3141"
"Shelby County",39149,6.8,898,"575 of 3141"
"Clermont County",39025,6.9,3752,"608 of 3141"
"Auglaize County",39011,7.2,919,"683 of 3141"
"Fairfield County",39045,7.2,2906,"695 of 3141"
"Wyandot County",39175,7.2,442,"700 of 3141"
"Miami County",39109,7.3,1963,"704 of 3141"
"Paulding County",39125,7.4,390,"744 of 3141"
"Hancock County",39063,7.6,1509,"774 of 3141"
"Darke County",39037,7.6,1097,"803 of 3141"
"Madison County",39097,7.7,805,"831 of 3141"
"Fulton County",39051,7.8,938,"842 of 3141"
"Champaign County",39021,8.3,889,"960 of 3141"
"Licking County",39089,8.3,3743,"966 of 3141"
"Defiance County",39039,8.3,882,"967 of 3141"
"Van Wert County",39161,8.3,678,"970 of 3141"
"Butler County",39017,8.5,8015,"1029 of 3141"
"Greene County",39057,8.6,3662,"1054 of 3141"
"Preble County",39135,8.8,1004,"1092 of 3141"
"Pickaway County",39129,8.9,1256,"1130 of 3141"
"Noble County",39121,9.0,305,"1146 of 3141"
"Holmes County",39075,9.1,929,"1162 of 3141"
"Williams County",39171,9.2,902,"1190 of 3141"
"Portage County",39133,9.3,3692,"1221 of 3141"
"Wayne County",39169,9.4,2856,"1229 of 3141"
"Erie County",39043,9.4,1873,"1254 of 3141"
"Belmont County",39013,9.4,1660,"1262 of 3141"
"Ashland County",39005,9.4,1314,"1265 of 3141"
"Coshocton County",39031,9.6,931,"1311 of 3141"
"Summit County",39153,9.9,13678,"1364 of 3141"
"Harrison County",39067,9.9,427,"1379 of 3141"
"Lorain County",39093,10.0,8007,"1411 of 3141"
"Stark County",39151,10.2,10178,"1463 of 3141"
"Knox County",39083,10.2,1557,"1464 of 3141"
"Logan County",39091,10.3,1322,"1493 of 3141"
"Tuscarawas County",39157,10.4,2537,"1499 of 3141"
"Hocking County",39073,10.4,806,"1514 of 3141"
"Washington County",39167,10.7,1775,"1586 of 3141"
"Huron County",39077,10.8,1699,"1617 of 3141"
"Allen County",39003,10.9,2883,"1631 of 3141"
"Sandusky County",39143,10.9,1715,"1636 of 3141"
"Carroll County",39019,10.9,853,"1645 of 3141"
"Columbiana County",39029,11.1,3174,"1699 of 3141"
"Clinton County",39027,11.2,1239,"1706 of 3141"
"Richland County",39139,11.3,3412,"1724 of 3141"
"Seneca County",39147,11.4,1637,"1766 of 3141"
"Marion County",39101,11.7,1891,"1820 of 3141"
"Franklin County",39049,12.1,35291,"1915 of 3141"
"Clark County",39023,12.1,4351,"1916 of 3141"
"Crawford County",39033,12.1,1403,"1921 of 3141"
"Hamilton County",39061,12.2,23943,"1938 of 3141"
"Jefferson County",39081,12.5,2192,"1988 of 3141"
"Hardin County",39065,12.5,950,"1996 of 3141"
"Muskingum County",39119,12.9,2910,"2093 of 3141"
"Trumbull County",39155,13.1,7253,"2123 of 3141"
"Ross County",39141,13.2,2649,"2152 of 3141"
"Fayette County",39047,13.5,1079,"2186 of 3141"
"Mahoning County",39099,13.5,8079,"2192 of 3141"
"Brown County",39015,13.9,1723,"2277 of 3141"
"Montgomery County",39113,14.0,18931,"2300 of 3141"
"Cuyahoga County",39035,14.0,42643,"2301 of 3141"
"Ashtabula County",39007,14.2,3556,"2334 of 3141"
"Monroe County",39111,14.3,604,"2344 of 3141"
"Pike County",39131,14.4,1083,"2367 of 3141"
"Jackson County",39079,14.6,1298,"2383 of 3141"
"Perry County",39127,14.6,1464,"2385 of 3141"
"Lawrence County",39087,14.6,2294,"2386 of 3141"
"Vinton County",39163,14.9,513,"2437 of 3141"
"Lucas County",39095,15.4,16470,"2500 of 3141"
"Gallia County",39053,15.7,1235,"2543 of 3141"
"Highland County",39071,16.1,1794,"2584 of 3141"
"Guernsey County",39059,16.5,1753,"2638 of 3141"
"Athens County",39009,17.3,2149,"2713 of 3141"
"Morgan County",39115,17.4,746,"2720 of 3141"
"Meigs County",39105,17.4,1105,"2722 of 3141"
"Scioto County",39145,17.8,3393,"2754 of 3141"
"Adams County",39001,18.2,1332,"2777 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
