------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"Ohio",39000,0.2,21872,"50 of 52"
"United States",00000,0.8,2632102,"N/A"
"Fayette County",39047,0.0,0,"2960 of 3141"
"Jackson County",39079,0.0,0,"2960 of 3141"
"Wyandot County",39175,0.0,0,"2960 of 3141"
"Mercer County",39107,0.0,3,"2952 of 3141"
"Ashland County",39005,0.0,7,"2937 of 3141"
"Monroe County",39111,0.0,2,"2934 of 3141"
"Ross County",39141,0.0,14,"2926 of 3141"
"Lawrence County",39087,0.0,12,"2922 of 3141"
"Holmes County",39075,0.0,11,"2910 of 3141"
"Hardin County",39065,0.0,10,"2885 of 3141"
"Putnam County",39137,0.0,13,"2865 of 3141"
"Hocking County",39073,0.0,13,"2834 of 3141"
"Crawford County",39033,0.1,25,"2788 of 3141"
"Hancock County",39063,0.1,48,"2768 of 3141"
"Morgan County",39115,0.1,10,"2753 of 3141"
"Warren County",39165,0.1,157,"2742 of 3141"
"Huron County",39077,0.1,43,"2728 of 3141"
"Carroll County",39019,0.1,21,"2721 of 3141"
"Vinton County",39163,0.1,10,"2716 of 3141"
"Delaware County",39041,0.1,152,"2706 of 3141"
"Noble County",39121,0.1,13,"2664 of 3141"
"Morrow County",39117,0.1,34,"2639 of 3141"
"Champaign County",39021,0.1,42,"2597 of 3141"
"Stark County",39151,0.1,403,"2597 of 3141"
"Geauga County",39055,0.1,105,"2582 of 3141"
"Clinton County",39027,0.1,49,"2559 of 3141"
"Lake County",39085,0.1,272,"2551 of 3141"
"Harrison County",39067,0.1,19,"2531 of 3141"
"Hamilton County",39061,0.1,1000,"2528 of 3141"
"Greene County",39057,0.1,205,"2524 of 3141"
"Fairfield County",39045,0.1,197,"2495 of 3141"
"Ottawa County",39123,0.1,53,"2495 of 3141"
"Miami County",39109,0.1,140,"2476 of 3141"
"Knox County",39083,0.1,83,"2468 of 3141"
"Medina County",39103,0.1,242,"2464 of 3141"
"Licking County",39089,0.1,242,"2441 of 3141"
"Meigs County",39105,0.1,33,"2440 of 3141"
"Richland County",39139,0.1,176,"2433 of 3141"
"Portage County",39133,0.1,237,"2426 of 3141"
"Jefferson County",39081,0.1,99,"2424 of 3141"
"Columbiana County",39029,0.2,157,"2408 of 3141"
"Brown County",39015,0.2,66,"2406 of 3141"
"Highland County",39071,0.2,70,"2360 of 3141"
"Logan County",39091,0.2,75,"2347 of 3141"
"Trumbull County",39155,0.2,342,"2336 of 3141"
"Henry County",39069,0.2,47,"2319 of 3141"
"Franklin County",39049,0.2,2158,"2313 of 3141"
"Auglaize County",39011,0.2,80,"2298 of 3141"
"Wood County",39173,0.2,233,"2270 of 3141"
"Marion County",39101,0.2,122,"2234 of 3141"
"Fulton County",39051,0.2,81,"2206 of 3141"
"Ashtabula County",39007,0.2,189,"2205 of 3141"
"Perry County",39127,0.2,69,"2203 of 3141"
"Butler County",39017,0.2,732,"2191 of 3141"
"Seneca County",39147,0.2,109,"2182 of 3141"
"Clermont County",39025,0.2,400,"2173 of 3141"
"Van Wert County",39161,0.2,57,"2152 of 3141"
"Coshocton County",39031,0.2,74,"2150 of 3141"
"Guernsey County",39059,0.2,80,"2147 of 3141"
"Paulding County",39125,0.2,39,"2130 of 3141"
"Clark County",39023,0.2,279,"2128 of 3141"
"Summit County",39153,0.2,1125,"2121 of 3141"
"Allen County",39003,0.2,221,"2100 of 3141"
"Darke County",39037,0.2,112,"2085 of 3141"
"Preble County",39135,0.2,93,"2045 of 3141"
"Wayne County",39169,0.2,262,"2039 of 3141"
"Pickaway County",39129,0.2,130,"2034 of 3141"
"Muskingum County",39119,0.2,199,"2022 of 3141"
"Sandusky County",39143,0.2,138,"2021 of 3141"
"Montgomery County",39113,0.2,1253,"2002 of 3141"
"Erie County",39043,0.2,186,"1963 of 3141"
"Tuscarawas County",39157,0.3,239,"1914 of 3141"
"Mahoning County",39099,0.3,605,"1901 of 3141"
"Belmont County",39013,0.3,183,"1867 of 3141"
"Lucas County",39095,0.3,1163,"1859 of 3141"
"Cuyahoga County",39035,0.3,3394,"1852 of 3141"
"Union County",39159,0.3,160,"1765 of 3141"
"Athens County",39009,0.3,197,"1726 of 3141"
"Shelby County",39149,0.3,149,"1706 of 3141"
"Lorain County",39093,0.3,932,"1705 of 3141"
"Madison County",39097,0.3,149,"1558 of 3141"
"Williams County",39171,0.4,134,"1490 of 3141"
"Defiance County",39039,0.4,147,"1424 of 3141"
"Scioto County",39145,0.4,327,"1319 of 3141"
"Pike County",39131,0.4,122,"1300 of 3141"
"Gallia County",39053,0.5,139,"1239 of 3141"
"Washington County",39167,0.5,301,"1168 of 3141"
"Adams County",39001,0.6,158,"1063 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
