------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=055&race=00&sex=2&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '055', 'race': '00', 'sex': '2', 'age': '001', 'type': 'death', 'file_name': 'deathrates_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=055&race=00&sex=2&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"Breast, 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 20.7?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana",22000,No,23.2 ,22.3, 24,647,falling,-1.6 ,-1.8, -1.4
"United States",00000,Yes,20.6 ,20.5, 20.7,41246,falling,-1.5 ,-1.7, -1.3
"St. John the Baptist Parish",22095,No,36.4 ,26.4, 49.1,9,stable,1.0 ,-0.8, 2.7
"East Feliciana Parish",22037,No,34.7 ,20.6, 55.4,4,*,*,*,*
"Jefferson Davis Parish",22053,No,33.5 ,22.8, 47.7,7,stable,0.6 ,-1.4, 2.7
"Lincoln Parish",22061,No,29.3 ,20.5, 40.7,8,stable,-0.7 ,-3.0, 1.5
"Jackson Parish",22049,No,29.2 ,16, 49.8,3,*,*,*,*
"Avoyelles Parish",22009,No,29.2 ,20.4, 40.7,8,stable,-0.4 ,-2.2, 1.4
"St. Mary Parish",22101,No,28.6 ,21, 38.3,10,stable,-0.9 ,-2.9, 1.1
"St. James Parish",22093,No,28.6 ,16.8, 45.8,4,*,*,*,*
"De Soto Parish",22031,No,27 ,16.7, 41.4,5,falling,-2.9 ,-4.8, -1.0
"LaFourche Parish",22057,No,26.9 ,21.2, 33.8,16,stable,-0.3 ,-1.8, 1.3
"Washington Parish",22117,No,26.6 ,18.7, 36.9,8,falling,-1.9 ,-3.5, -0.4
"St. Landry Parish",22097,No,26.5 ,20.4, 34,13,stable,-0.4 ,-1.4, 0.7
"Concordia Parish",22029,No,26.2 ,15.2, 42.8,4,stable,-1.5 ,-3.4, 0.5
"Orleans Parish",22071,No,26.1 ,23.1, 29.4,57,falling,-1.8 ,-2.4, -1.2
"Ouachita Parish",22073,No,26.1 ,21.5, 31.3,24,falling,-1.8 ,-3.0, -0.7
"Plaquemines Parish",22075,No,26 ,14.8, 42.6,3,stable,-0.1 ,-2.9, 2.7
"Acadia Parish",22001,No,26 ,18.8, 35.1,9,stable,-0.3 ,-1.8, 1.2
"St. Bernard Parish",22087,No,25.6 ,16.6, 37.6,5,stable,-0.5 ,-2.1, 1.1
"Terrebonne Parish",22109,No,25.4 ,20.1, 31.7,16,falling,-1.9 ,-3.2, -0.7
"Iberia Parish",22045,No,25.2 ,18.7, 33.3,10,stable,-1.0 ,-2.2, 0.3
"Rapides Parish",22079,No,25.1 ,20.6, 30.5,22,stable,-0.8 ,-1.9, 0.3
"West Baton Rouge Parish",22121,No,24.9 ,14.9, 39.5,4,*,*,*,*
"East Baton Rouge Parish",22033,No,24.8 ,22.1, 27.8,63,falling,-1.7 ,-2.5, -0.9
"St. Charles Parish",22089,No,24 ,16.5, 33.8,7,stable,-1.9 ,-3.9, 0.1
"Allen Parish",22003,No,23.9 ,13.7, 39.3,3,*,*,*,*
"Beauregard Parish",22011,No,23.4 ,15, 35,5,*,*,*,*
"Calcasieu Parish",22019,No,23 ,19.2, 27.4,27,stable,-1.2 ,-2.3, 0.0
"Caddo Parish",22017,No,22.6 ,19.5, 26.2,39,falling,-1.8 ,-2.6, -0.9
"Franklin Parish",22041,No,22.2 ,12.7, 36.9,3,stable,-2.2 ,-4.4, 0.2
"St. Martin Parish",22099,No,22.2 ,15.4, 31.2,7,stable,-1.9 ,-3.9, 0.2
"Jefferson Parish",22051,No,22.1 ,19.7, 24.7,65,falling,-1.7 ,-2.3, -1.1
"Vermilion Parish",22113,No,21.8 ,15.4, 29.9,8,falling,-2.2 ,-3.9, -0.5
"Morehouse Parish",22067,No,21.7 ,13.1, 34.3,4,falling,-2.4 ,-4.3, -0.5
"Sabine Parish",22085,No,21.7 ,12.1, 36.2,3,*,*,*,*
"Natchitoches Parish",22069,No,21.5 ,14.1, 31.8,5,falling,-2.2 ,-4.2, -0.2
"Tangipahoa Parish",22105,No,21.4 ,16.8, 26.8,16,falling,-2.1 ,-3.6, -0.5
"Pointe Coupee Parish",22077,No,21.2 ,11.8, 35.6,3,falling,-2.3 ,-4.4, -0.1
"Vernon Parish",22115,No,20.8 ,13.4, 30.9,5,stable,0.6 ,-1.8, 3.1
"Lafayette Parish",22055,Yes,20 ,16.6, 23.8,25,falling,-4.6 ,-6.9, -2.1
"Ascension Parish",22005,Yes,19.7 ,14.7, 25.7,11,falling,-3.1 ,-4.6, -1.7
"Bossier Parish",22015,Yes,19.4 ,14.9, 24.7,13,falling,-2.4 ,-3.7, -1.2
"Evangeline Parish",22039,Yes,19.3 ,11.5, 30.7,4,stable,-1.2 ,-3.7, 1.4
"St. Tammany Parish",22103,Yes,19.3 ,16.3, 22.8,30,stable,0.7 ,-10.0, 12.6
"Iberville Parish",22047,Yes,18.1 ,10.4, 29.5,3,falling,-2.6 ,-5.0, -0.3
"Webster Parish",22119,Yes,18 ,11.7, 27,5,falling,-2.4 ,-3.7, -1.1
"Livingston Parish",22063,Yes,16.7 ,12.6, 21.8,11,falling,-2.1 ,-3.8, -0.4
"Assumption Parish",22007,***,* ,*, *,3 or fewer,*,*,*,*
"Bienville Parish",22013,***,* ,*, *,3 or fewer,*,*,*,*
"Caldwell Parish",22021,***,* ,*, *,3 or fewer,*,*,*,*
"Cameron Parish",22023,***,* ,*, *,3 or fewer,*,*,*,*
"Catahoula Parish",22025,***,* ,*, *,3 or fewer,*,*,*,*
"Claiborne Parish",22027,***,* ,*, *,3 or fewer,*,*,*,*
"East Carroll Parish",22035,***,* ,*, *,3 or fewer,*,*,*,*
"Grant Parish",22043,***,* ,*, *,3 or fewer,*,*,*,*
"La Salle Parish",22059,***,* ,*, *,3 or fewer,*,*,*,*
"Madison Parish",22065,***,* ,*, *,3 or fewer,*,*,*,*
"Red River Parish",22081,***,* ,*, *,3 or fewer,*,*,*,*
"Richland Parish",22083,***,* ,*, *,3 or fewer,*,*,*,*
"St. Helena Parish",22091,***,* ,*, *,3 or fewer,*,*,*,*
"Tensas Parish",22107,***,* ,*, *,3 or fewer,*,*,*,*
"Union Parish",22111,***,* ,*, *,3 or fewer,*,*,*,*
"West Carroll Parish",22123,***,* ,*, *,3 or fewer,*,*,*,*
"West Feliciana Parish",22125,***,* ,*, *,3 or fewer,*,*,*,*
"Winn Parish",22127,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

