------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_033.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana",22000,No,183 ,181.3, 184.7,9346,falling,-1.7 ,-1.9, -1.5
"United States",00000,Yes,161 ,160.8, 161.1,590623,falling,-1.5 ,-1.6, -1.5
"Catahoula Parish",22025,No,275.6 ,234.5, 322.2,33,stable,0.7 ,-0.2, 1.6
"East Carroll Parish",22035,No,261.8 ,214.1, 317.2,21,stable,-0.1 ,-1.2, 1.0
"Bienville Parish",22013,No,223.6 ,193.9, 257,43,stable,-0.3 ,-1.0, 0.3
"West Carroll Parish",22123,No,222 ,189.1, 259.4,34,falling,-1.1 ,-2.0, -0.3
"Red River Parish",22081,No,221.7 ,184.3, 265,26,stable,0.2 ,-1.0, 1.4
"Jefferson Davis Parish",22053,No,219 ,198.2, 241.5,83,falling,-0.7 ,-1.2, -0.2
"East Feliciana Parish",22037,No,216.9 ,190.1, 246.6,51,stable,-0.6 ,-1.2, 0.0
"Concordia Parish",22029,No,214 ,188.5, 242.1,53,stable,-0.5 ,-1.1, 0.1
"Iberville Parish",22047,No,212.3 ,191.7, 234.6,81,falling,-0.8 ,-1.3, -0.3
