------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=01&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '01', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=01&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"All Cancer Sites, 2012-2016"

"White (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana",22000,No,173.3 ,171.4, 175.3,6412,falling,-1.6 ,-1.8, -1.4
"United States",00000,No,161.5 ,161.3, 161.7,501895,falling,-1.4 ,-1.4, -1.4
"Catahoula Parish",22025,No,270.4 ,224.4, 323.9,26,stable,0.8 ,-0.4, 2.0
"East Carroll Parish",22035,No,222.7 ,159.6, 308.4,8,stable,-1.1 ,-2.6, 0.5
"Bienville Parish",22013,No,217.7 ,180.5, 261.2,26,stable,-0.1 ,-0.9, 0.6
"Allen Parish",22003,No,217 ,190, 246.9,48,stable,-0.8 ,-2.1, 0.5
"Jefferson Davis Parish",22053,No,216.2 ,193.7, 240.7,69,stable,-0.5 ,-1.0, 0.0
"Vernon Parish",22115,No,210.3 ,189.7, 232.5,78,stable,0.1 ,-0.7, 0.9
"Washington Parish",22117,No,206.6 ,187.6, 227,91,falling,-0.8 ,-1.4, -0.1
"West Carroll Parish",22123,No,205.8 ,172.5, 244.3,28,falling,-1.4 ,-2.2, -0.5
"Red River Parish",22081,No,203.5 ,160.8, 255.7,16,stable,-0.2 ,-1.5, 1.1
"East Feliciana Parish",22037,No,201.9 ,169.2, 239.6,29,stable,0.2 ,-0.9, 1.3
"Concordia Parish",22029,No,200.8 ,170.7, 235.2,33,stable,-0.2 ,-1.2, 0.8
"Terrebonne Parish",22109,No,200.4 ,187.6, 213.9,187,falling,-0.8 ,-1.2, -0.3
"Evangeline Parish",22039,No,199.1 ,176.4, 224,58,falling,-0.8 ,-1.4, -0.2
"St. Bernard Parish",22087,No,198.9 ,177, 222.8,64,falling,-6.1 ,-11.7, -0.2
"Webster Parish",22119,No,198.8 ,179.5, 220,80,falling,-0.8 ,-1.3, -0.3
"St. Landry Parish",22097,No,195 ,179.5, 211.5,123,stable,-0.5 ,-0.9, 0.0
"Winn Parish",22127,No,193.4 ,161.5, 230.5,28,falling,-1.2 ,-2.2, -0.2
"Avoyelles Parish",22009,No,193.4 ,173.8, 214.8,74,stable,-0.2 ,-0.9, 0.5
"Beauregard Parish",22011,No,192 ,172, 213.8,69,stable,-0.6 ,-1.3, 0.1
"Acadia Parish",22001,No,192 ,176.2, 208.9,112,falling,-0.8 ,-1.3, -0.4
"Union Parish",22111,No,187.9 ,163.2, 215.7,45,falling,-1.0 ,-2.0, -0.1
"Grant Parish",22043,No,187.1 ,161.3, 215.9,39,falling,-1.2 ,-2.1, -0.3
"Ouachita Parish",22073,No,183.3 ,172.6, 194.5,227,falling,-0.9 ,-1.2, -0.6
"Madison Parish",22065,No,182.7 ,136, 242.1,11,stable,-1.3 ,-2.7, 0.2
"Jackson Parish",22049,No,182.5 ,153.8, 215.6,30,falling,-1.0 ,-1.9, -0.1
"Iberia Parish",22045,No,182.2 ,166.8, 198.7,106,falling,-1.0 ,-1.5, -0.4
"St. Martin Parish",22099,No,181.8 ,163.5, 201.6,76,falling,-1.4 ,-2.0, -0.7
"St. Mary Parish",22101,No,181.1 ,163.3, 200.5,77,falling,-1.2 ,-1.8, -0.6
"Morehouse Parish",22067,No,180 ,154.9, 208.6,40,stable,-0.3 ,-1.2, 0.5
"Assumption Parish",22007,No,179.6 ,154.1, 208.5,37,falling,-1.2 ,-2.1, -0.4
"Calcasieu Parish",22019,No,179.4 ,170.4, 188.7,307,falling,-1.1 ,-1.5, -0.7
