------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=2&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '2', 'age': '001', 'type': 'death', 'file_name': 'deathrates_032.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=2&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana",22000,Yes,150.8 ,148.8, 152.9,4262,falling,-1.5 ,-1.7, -1.3
"United States",00000,Yes,137.7 ,137.4, 137.9,280047,falling,-1.4 ,-1.5, -1.4
"Catahoula Parish",22025,No,253.3 ,198.8, 319.1,16,rising,2.1 ,0.5, 3.7
"East Carroll Parish",22035,No,250.4 ,188.6, 327.8,12,stable,0.7 ,-1.1, 2.5
"East Feliciana Parish",22037,No,204.6 ,168.4, 246.7,24,stable,0.5 ,-0.5, 1.6
"Jefferson Davis Parish",22053,No,191.1 ,164.9, 220.6,39,rising,4.6 ,0.2, 9.1
"West Carroll Parish",22123,No,187.8 ,147.8, 236.7,16,stable,-0.2 ,-1.3, 1.0
"Vernon Parish",22115,No,184.4 ,160.5, 210.9,44,rising,1.0 ,0.1, 1.9
"Evangeline Parish",22039,No,175 ,149.7, 203.5,35,stable,-0.6 ,-1.5, 0.4
"St. Bernard Parish",22087,No,173.1 ,147.5, 201.9,34,stable,-0.4 ,-1.1, 0.3
"Avoyelles Parish",22009,No,172.6 ,150.8, 196.9,47,stable,0.0 ,-0.8, 0.9
"Washington Parish",22117,No,172.6 ,152.4, 195,55,stable,-0.5 ,-1.0, 0.0
"St. Landry Parish",22097,No,172.5 ,156.7, 189.5,92,stable,-0.5 ,-0.9, 0.0
"Iberia Parish",22045,No,171.6 ,154.4, 190.3,75,stable,-0.6 ,-1.2, 0.0
"Red River Parish",22081,No,170.6 ,125.9, 227.3,10,stable,0.1 ,-1.6, 1.8
"Terrebonne Parish",22109,No,168.4 ,154.2, 183.5,107,stable,-0.5 ,-1.0, 0.1
"Bienville Parish",22013,No,167.7 ,133.6, 209,18,stable,-0.2 ,-1.4, 1.0
"Morehouse Parish",22067,No,167.6 ,141.6, 197.2,32,stable,0.0 ,-0.8, 0.8
"Concordia Parish",22029,No,167.3 ,137, 202.8,23,stable,-0.6 ,-1.6, 0.5
"St. Martin Parish",22099,No,165.6 ,145.6, 187.7,52,stable,-0.9 ,-1.7, 0.0
"Madison Parish",22065,No,165.3 ,124.2, 215.9,11,stable,-0.6 ,-2.3, 1.0
"Allen Parish",22003,No,164.3 ,135.6, 197.8,24,falling,-1.5 ,-2.9, -0.1
"Acadia Parish",22001,No,161.7 ,143.9, 181.2,62,falling,-0.9 ,-1.7, -0.2
"Jackson Parish",22049,No,161.5 ,128.9, 200.6,19,stable,-0.1 ,-1.3, 1.1
"Winn Parish",22127,Yes,161 ,125.5, 204.2,15,stable,-1.0 ,-2.3, 0.3
"Claiborne Parish",22027,Yes,160.8 ,128.2, 200.3,19,stable,-0.4 ,-1.6, 0.8
"West Baton Rouge Parish",22121,Yes,160.1 ,131.6, 193.1,23,stable,-1.2 ,-2.6, 0.1
"Pointe Coupee Parish",22077,Yes,159.3 ,132.4, 190.6,27,stable,-0.8 ,-2.0, 0.4
"LaFourche Parish",22057,Yes,158.1 ,144, 173.3,95,stable,-0.3 ,-0.9, 0.2
"St. Mary Parish",22101,Yes,158.1 ,139.3, 178.9,52,stable,-0.4 ,-1.2, 0.4
"St. Helena Parish",22091,Yes,157.6 ,118.1, 207.2,12,stable,-0.1 ,-1.9, 1.8
"St. James Parish",22093,Yes,157.5 ,129.1, 190.6,23,falling,-1.3 ,-2.3, -0.4
"Caddo Parish",22017,Yes,156.6 ,148.1, 165.5,267,falling,-0.6 ,-0.9, -0.3
"Tangipahoa Parish",22105,Yes,156.5 ,143.7, 170.2,114,falling,-1.2 ,-1.7, -0.7
"Ouachita Parish",22073,Yes,156.2 ,145, 168,149,falling,-0.7 ,-1.0, -0.3
"Natchitoches Parish",22069,Yes,154.7 ,133.1, 179.1,38,stable,-0.8 ,-1.7, 0.2
"Calcasieu Parish",22019,Yes,154 ,144, 164.5,183,falling,-1.1 ,-1.6, -0.7
"Beauregard Parish",22011,Yes,153.7 ,130.9, 179.6,33,stable,-0.5 ,-1.5, 0.6
"Webster Parish",22119,Yes,151.8 ,132.3, 173.6,47,falling,-1.0 ,-1.7, -0.3
"St. Charles Parish",22089,Yes,149.8 ,129.7, 172.1,42,falling,-0.9 ,-1.7, -0.1
