------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=040&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '040', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=040&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"Pancreas, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana",22000,***,12.9 ,12.5, 13.4,660,stable,0.0 ,-0.2, 0.3
"United States",00000,***,11 ,10.9, 11,40517,rising,0.3 ,0.2, 0.3
"Allen Parish",22003,***,23.2 ,15.8, 32.9,6,*,*,*,*
"Richland Parish",22083,***,21.2 ,13.8, 31.5,5,*,*,*,*
"Iberville Parish",22047,***,16.6 ,11.1, 24,6,stable,1.3 ,-1.1, 3.8
"De Soto Parish",22031,***,16.4 ,10.9, 23.9,6,*,*,*,*
"Rapides Parish",22079,***,15.7 ,13, 18.8,24,stable,0.6 ,-0.8, 2.0
"Vernon Parish",22115,***,15.6 ,10.8, 21.7,7,stable,1.3 ,-1.1, 3.8
"Avoyelles Parish",22009,***,15.5 ,11, 21.3,8,stable,0.5 ,-1.9, 3.0
"Acadia Parish",22001,***,15.4 ,11.5, 20.3,10,stable,0.0 ,-1.9, 1.8
"Pointe Coupee Parish",22077,***,15.2 ,9.4, 23.5,5,stable,-0.3 ,-3.3, 2.8
