------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=06&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '06', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=06&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"All Cancer Sites, 2012-2016"

"White Hispanic, Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana (6, 7)",22000,Yes,82.5 ,75.2, 90.3,100,falling,-1.9 ,-3.0, -0.8
"United States (6)",00000,Yes,120 ,119.4, 120.6,35660,falling,-1.1 ,-1.2, -1.1
"Lafayette Parish (6, 7)",22055,Yes,116.8 ,72.7, 174.9,5,*,*,*,*
"Jefferson Parish (6, 7)",22051,Yes,94.6 ,81.9, 108.5,41,*,*,*,*
"Orleans Parish (6, 7)",22071,Yes,90.5 ,66.2, 120.3,10,stable,-2.7 ,-5.5, 0.1
"East Baton Rouge Parish (6, 7)",22033,Yes,83.9 ,56.2, 119.2,6,*,*,*,*
"St. Tammany Parish (6, 7)",22103,Yes,81.6 ,55.9, 114.3,7,*,*,*,*
"Acadia Parish (6, 7)",22001,***,* ,*, *,3 or fewer,*,*,*,*
"Allen Parish (6, 7)",22003,***,* ,*, *,3 or fewer,*,*,*,*
"Ascension Parish (6, 7)",22005,***,* ,*, *,3 or fewer,*,*,*,*
"Assumption Parish (6, 7)",22007,***,* ,*, *,3 or fewer,*,*,*,*
"Avoyelles Parish (6, 7)",22009,***,* ,*, *,3 or fewer,*,*,*,*
"Beauregard Parish (6, 7)",22011,***,* ,*, *,3 or fewer,*,*,*,*
"Bienville Parish (6, 7)",22013,***,* ,*, *,3 or fewer,*,*,*,*
"Bossier Parish (6, 7)",22015,***,* ,*, *,3 or fewer,*,*,*,*
"Caddo Parish (6, 7)",22017,***,* ,*, *,3 or fewer,*,*,*,*
"Calcasieu Parish (6, 7)",22019,***,* ,*, *,3 or fewer,*,*,*,*
"Caldwell Parish (6, 7)",22021,***,* ,*, *,3 or fewer,*,*,*,*
"Cameron Parish (6, 7)",22023,***,* ,*, *,3 or fewer,*,*,*,*
"Catahoula Parish (6, 7)",22025,***,* ,*, *,3 or fewer,*,*,*,*
"Claiborne Parish (6, 7)",22027,***,* ,*, *,3 or fewer,*,*,*,*
"Concordia Parish (6, 7)",22029,***,* ,*, *,3 or fewer,*,*,*,*
"De Soto Parish (6, 7)",22031,***,* ,*, *,3 or fewer,*,*,*,*
"East Carroll Parish (6, 7)",22035,***,* ,*, *,3 or fewer,*,*,*,*
"East Feliciana Parish (6, 7)",22037,***,* ,*, *,3 or fewer,*,*,*,*
"Evangeline Parish (6, 7)",22039,***,* ,*, *,3 or fewer,*,*,*,*
"Franklin Parish (6, 7)",22041,***,* ,*, *,3 or fewer,*,*,*,*
"Grant Parish (6, 7)",22043,***,* ,*, *,3 or fewer,*,*,*,*
"Iberia Parish (6, 7)",22045,***,* ,*, *,3 or fewer,*,*,*,*
"Iberville Parish (6, 7)",22047,***,* ,*, *,3 or fewer,*,*,*,*
"Jackson Parish (6, 7)",22049,***,* ,*, *,3 or fewer,*,*,*,*
"Jefferson Davis Parish (6, 7)",22053,***,* ,*, *,3 or fewer,*,*,*,*
"La Salle Parish (6, 7)",22059,***,* ,*, *,3 or fewer,*,*,*,*
"LaFourche Parish (6, 7)",22057,***,* ,*, *,3 or fewer,*,*,*,*
"Lincoln Parish (6, 7)",22061,***,* ,*, *,3 or fewer,*,*,*,*
"Livingston Parish (6, 7)",22063,***,* ,*, *,3 or fewer,*,*,*,*
"Madison Parish (6, 7)",22065,***,* ,*, *,3 or fewer,*,*,*,*
"Morehouse Parish (6, 7)",22067,***,* ,*, *,3 or fewer,*,*,*,*
"Natchitoches Parish (6, 7)",22069,***,* ,*, *,3 or fewer,*,*,*,*
"Ouachita Parish (6, 7)",22073,***,* ,*, *,3 or fewer,*,*,*,*
"Plaquemines Parish (6, 7)",22075,***,* ,*, *,3 or fewer,*,*,*,*
"Pointe Coupee Parish (6, 7)",22077,***,* ,*, *,3 or fewer,*,*,*,*
"Rapides Parish (6, 7)",22079,***,* ,*, *,3 or fewer,*,*,*,*
"Red River Parish (6, 7)",22081,***,* ,*, *,3 or fewer,*,*,*,*
"Richland Parish (6, 7)",22083,***,* ,*, *,3 or fewer,*,*,*,*
"Sabine Parish (6, 7)",22085,***,* ,*, *,3 or fewer,*,*,*,*
"St. Bernard Parish (6, 7)",22087,***,* ,*, *,3 or fewer,*,*,*,*
"St. Charles Parish (6, 7)",22089,***,* ,*, *,3 or fewer,*,*,*,*
"St. Helena Parish (6, 7)",22091,***,* ,*, *,3 or fewer,*,*,*,*
"St. James Parish (6, 7)",22093,***,* ,*, *,3 or fewer,*,*,*,*
