------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=047&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '047', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=047&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"Lung & Bronchus, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 45.5?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana",22000,No,51.5 ,50.6, 52.4,2658,falling,-2.6 ,-3.0, -2.1
"United States",00000,Yes,41.9 ,41.8, 42,154342,falling,-3.7 ,-4.3, -3.1
"East Carroll Parish",22035,No,105.9 ,76.7, 142.9,9,stable,0.9 ,-1.0, 2.8
"Catahoula Parish",22025,No,77.4 ,56.9, 103.3,10,stable,0.6 ,-1.0, 2.1
"West Carroll Parish",22123,No,75.8 ,57.5, 98.6,12,stable,0.5 ,-0.9, 2.0
"Jefferson Davis Parish",22053,No,69.4 ,58, 82.4,27,stable,-0.3 ,-1.3, 0.7
"Iberville Parish",22047,No,68.4 ,57, 81.5,26,stable,-0.1 ,-1.3, 1.2
"Vernon Parish",22115,No,68.3 ,57.7, 80.3,30,stable,-2.6 ,-5.4, 0.2
"St. Bernard Parish",22087,No,68.2 ,56.4, 81.6,26,stable,-0.5 ,-1.4, 0.3
"Caldwell Parish",22021,No,66.5 ,47.6, 91,8,stable,-0.3 ,-1.6, 1.1
"Webster Parish",22119,No,64.8 ,55.6, 75.4,36,stable,-0.7 ,-1.6, 0.3
"Evangeline Parish",22039,No,64.3 ,53.2, 77,24,stable,-0.9 ,-1.9, 0.2
"Beauregard Parish",22011,No,64.1 ,53.5, 76.2,27,stable,-0.4 ,-1.2, 0.5
"Concordia Parish",22029,No,62.9 ,49.5, 79,16,stable,-0.7 ,-1.9, 0.5
"Bienville Parish",22013,No,62.6 ,48, 80.8,13,stable,0.2 ,-1.2, 1.5
"St. Landry Parish",22097,No,62.2 ,55.3, 69.7,61,stable,-0.8 ,-1.6, 0.1
"Assumption Parish",22007,No,61.8 ,49.2, 76.9,17,falling,-1.2 ,-2.4, -0.1
"Iberia Parish",22045,No,61.7 ,54.2, 70,50,falling,-1.3 ,-2.1, -0.5
"Washington Parish",22117,No,61.3 ,52.6, 71.1,37,stable,-0.7 ,-1.6, 0.3
"Livingston Parish",22063,No,60.8 ,54.8, 67.2,81,falling,-1.3 ,-2.0, -0.7
"Allen Parish",22003,No,60.7 ,48.4, 75.2,17,stable,-1.1 ,-2.7, 0.5
"East Feliciana Parish",22037,No,60.6 ,47.3, 76.8,15,stable,-0.8 ,-2.2, 0.6
"La Salle Parish",22059,No,60.4 ,45.6, 78.8,11,stable,-0.6 ,-2.2, 1.0
"Acadia Parish",22001,No,60.3 ,52.2, 69.2,42,falling,-0.9 ,-1.7, -0.1
"Grant Parish",22043,No,60.1 ,47, 75.8,15,stable,-1.1 ,-2.9, 0.6
"St. Helena Parish",22091,No,59.3 ,42.4, 81.4,8,falling,-1.9 ,-3.7, -0.1
"West Feliciana Parish",22125,No,59.2 ,43.7, 78.7,11,stable,-1.6 ,-3.6, 0.3
"Red River Parish",22081,No,59.1 ,40.8, 83.7,7,stable,0.8 ,-1.5, 3.1
"Ouachita Parish",22073,No,58.4 ,53.3, 63.9,99,falling,-0.9 ,-1.3, -0.4
"Terrebonne Parish",22109,No,57.6 ,51.5, 64.3,67,falling,-1.3 ,-1.9, -0.7
"Morehouse Parish",22067,No,57 ,46.2, 69.8,20,stable,-0.7 ,-1.8, 0.4
"Winn Parish",22127,No,56.8 ,42.6, 74.7,11,stable,-0.9 ,-2.5, 0.6
"Tangipahoa Parish",22105,No,55.9 ,50.3, 62.1,75,falling,-1.2 ,-1.8, -0.6
"Jackson Parish",22049,No,55 ,42.2, 71,13,stable,0.3 ,-1.4, 2.0
"Richland Parish",22083,No,54.6 ,42.3, 69.6,14,falling,-1.7 ,-3.2, -0.2
"St. Martin Parish",22099,No,54.2 ,45.8, 63.6,32,falling,-1.6 ,-2.6, -0.7
"Union Parish",22111,No,52.8 ,42, 65.9,17,stable,-1.6 ,-3.3, 0.1
"Calcasieu Parish",22019,No,52.5 ,48.3, 57.1,116,falling,-1.7 ,-2.3, -1.1
"Avoyelles Parish",22009,No,52.5 ,43.9, 62.4,27,falling,-6.7 ,-11.2, -1.9
"Ascension Parish",22005,No,51.7 ,45.3, 58.7,52,falling,-4.6 ,-7.6, -1.6
"De Soto Parish",22031,No,51.4 ,41.3, 63.5,18,falling,-1.1 ,-2.1, -0.1
"Tensas Parish",22107,No,51.2 ,30.6, 83.2,4,stable,-0.2 ,-2.3, 2.0
"Caddo Parish",22017,No,51.2 ,47.6, 55,156,falling,-2.3 ,-3.2, -1.4
"Vermilion Parish",22113,No,50.7 ,43.3, 58.9,35,falling,-1.2 ,-1.9, -0.4
"St. Mary Parish",22101,No,50.7 ,43, 59.4,32,falling,-2.5 ,-3.5, -1.6
"LaFourche Parish",22057,No,50.5 ,44.6, 56.9,56,falling,-1.3 ,-2.2, -0.5
"Bossier Parish",22015,No,50 ,44.7, 55.8,65,falling,-1.8 ,-2.5, -1.1
"St. James Parish",22093,No,49.9 ,38.6, 63.7,14,stable,-1.2 ,-2.8, 0.4
"St. Charles Parish",22089,No,49.6 ,41.2, 59.3,26,stable,-1.0 ,-1.9, 0.0
"Lafayette Parish",22055,No,49 ,44.9, 53.4,109,falling,-2.1 ,-2.7, -1.6
