------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=071&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '071', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=071&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"Bladder, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana",22000,***,4 ,3.8, 4.3,198,stable,0.2 ,-0.2, 0.6
"United States",00000,***,4.4 ,4.3, 4.4,15935,stable,0.0 ,-0.1, 0.0
"St. Mary Parish",22101,***,6.7 ,4.1, 10.3,4,*,*,*,*
"Washington Parish",22117,***,5.5 ,3.1, 9.2,3,*,*,*,*
"Ouachita Parish",22073,***,5.1 ,3.6, 6.9,8,*,*,*,*
"St. Tammany Parish",22103,***,4.7 ,3.6, 6.1,13,stable,-0.2 ,-1.6, 1.3
"Lafayette Parish",22055,***,4.3 ,3.2, 5.8,10,stable,0.7 ,-1.3, 2.7
"East Baton Rouge Parish",22033,***,4.2 ,3.3, 5.1,18,stable,1.1 ,-0.5, 2.6
"Orleans Parish",22071,***,4 ,3.2, 5.1,15,stable,-1.1 ,-2.5, 0.3
"LaFourche Parish",22057,***,4 ,2.5, 6.2,4,*,*,*,*
"Calcasieu Parish",22019,***,4 ,2.8, 5.4,8,stable,-0.7 ,-2.6, 1.1
"Caddo Parish",22017,***,3.9 ,2.9, 5,12,stable,-0.3 ,-1.5, 1.0
"Bossier Parish",22015,***,3.7 ,2.4, 5.6,5,*,*,*,*
"Livingston Parish",22063,***,3.7 ,2.2, 5.6,4,stable,-2.0 ,-4.4, 0.5
"Jefferson Parish",22051,***,3.6 ,2.9, 4.4,19,stable,-0.4 ,-1.8, 0.9
