------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=020&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=020&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"Colon & Rectum, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 14.5?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana",22000,No,17.1 ,16.6, 17.6,874,falling,-2.5 ,-2.8, -2.1
"United States",00000,Yes,14.2 ,14.1, 14.2,51932,falling,-1.8 ,-2.3, -1.3
"West Carroll Parish",22123,No,28.7 ,17.5, 44.8,4,*,*,*,*
"Grant Parish",22043,No,26.4 ,17.9, 37.6,6,stable,0.3 ,-1.7, 2.4
"Concordia Parish",22029,No,25 ,16.6, 36.2,6,*,*,*,*
"Evangeline Parish",22039,No,24.4 ,17.7, 32.8,9,stable,1.2 ,-0.6, 3.0
"Avoyelles Parish",22009,No,24.2 ,18.4, 31.2,12,stable,0.3 ,-1.2, 1.8
"Allen Parish",22003,No,23.4 ,16, 33,7,*,*,*,*
"Winn Parish",22127,No,23.1 ,14.2, 35.9,4,*,*,*,*
"Acadia Parish",22001,No,23 ,18.2, 28.8,16,stable,-0.7 ,-1.9, 0.5
"Terrebonne Parish",22109,No,22.9 ,19.1, 27.2,27,stable,-0.5 ,-1.8, 0.9
"Jefferson Davis Parish",22053,No,22.8 ,16.4, 30.9,9,stable,-1.4 ,-3.3, 0.6
"St. Landry Parish",22097,No,22.2 ,18.1, 27,21,stable,-0.8 ,-2.0, 0.3
"St. Martin Parish",22099,No,22 ,16.8, 28.3,13,stable,-0.3 ,-2.1, 1.4
"Natchitoches Parish",22069,No,21.5 ,15.6, 28.9,9,stable,-1.2 ,-2.6, 0.3
"Iberville Parish",22047,No,21.5 ,15.4, 29.2,9,stable,-1.5 ,-3.3, 0.4
"St. James Parish",22093,No,21.4 ,14.1, 31.4,6,stable,-1.9 ,-3.7, 0.0
"Union Parish",22111,No,21.4 ,14.5, 30.7,7,stable,-0.9 ,-2.9, 1.2
"East Feliciana Parish",22037,No,21 ,13.1, 32.1,5,stable,-2.1 ,-4.1, 0.0
"Sabine Parish",22085,No,20.8 ,14.5, 29.3,7,stable,0.2 ,-2.0, 2.4
"Iberia Parish",22045,No,20.7 ,16.4, 25.9,16,falling,-1.4 ,-2.6, -0.1
"St. Mary Parish",22101,No,20.1 ,15.4, 25.8,13,stable,-1.0 ,-2.1, 0.1
