------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=136&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '136', 'type': 'death', 'file_name': 'deathrates_036.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=136&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages 50+"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana",22000,No,610.6 ,604.9, 616.5,8786,falling,-1.6 ,-1.7, -1.5
"United States",00000,No,540.6 ,539.9, 541.2,558319,falling,-1.5 ,-1.5, -1.5
"Catahoula Parish",22025,No,880 ,744.6, 1032.8,31,stable,0.5 ,-0.4, 1.4
"East Carroll Parish",22035,No,870.2 ,706.7, 1060.2,20,stable,0.0 ,-1.3, 1.2
"West Carroll Parish",22123,No,722.4 ,613.6, 845,32,falling,-1.1 ,-1.8, -0.3
"Red River Parish",22081,No,722.4 ,598.1, 864.8,24,stable,0.4 ,-0.9, 1.6
"Allen Parish",22003,No,718.7 ,636.2, 808.8,56,stable,-1.2 ,-2.5, 0.2
"Jefferson Davis Parish",22053,No,716.4 ,646.6, 791.6,78,falling,-0.7 ,-1.2, -0.2
"Vernon Parish",22115,No,712.4 ,645.4, 784.3,86,stable,0.2 ,-0.6, 1.0
"Bienville Parish",22013,No,707.6 ,612.5, 813.2,40,stable,-0.5 ,-1.0, 0.1
"Washington Parish",22117,No,707 ,650.3, 767.2,118,falling,-0.8 ,-1.3, -0.3
