------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=02&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '02', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=001&race=02&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"All Cancer Sites, 2012-2016"

"Black (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana",22000,No,213.6 ,210, 217.3,2845,stable,-3.0 ,-6.7, 0.8
"United States",00000,No,185.6 ,184.9, 186.2,68886,falling,-2.1 ,-2.2, -2.0
"West Carroll Parish",22123,No,328.8 ,217, 477,6,stable,0.0 ,-2.1, 2.1
"East Carroll Parish",22035,No,292.3 ,223.2, 375.4,13,stable,0.5 ,-1.2, 2.2
"Catahoula Parish",22025,No,280.9 ,196.2, 388.6,8,stable,0.6 ,-1.0, 2.2
"LaFourche Parish",22057,No,273.2 ,228, 324.2,28,falling,-1.5 ,-2.7, -0.4
"Iberville Parish",22047,No,265.3 ,228.7, 306,40,stable,-0.5 ,-1.4, 0.5
"Grant Parish",22043,No,258.1 ,171.3, 370.8,6,stable,-0.3 ,-2.7, 2.2
"Plaquemines Parish",22075,No,256.4 ,194.6, 331.4,12,stable,-0.7 ,-2.1, 0.8
"Red River Parish",22081,No,252 ,183.7, 337.7,9,stable,1.0 ,-0.9, 3.0
"St. Mary Parish",22101,No,251.7 ,217.4, 289.7,42,falling,-1.3 ,-2.1, -0.5
"Sabine Parish",22085,No,250.1 ,179.6, 338.1,9,stable,-0.5 ,-2.6, 1.6
"Concordia Parish",22029,No,248 ,200.2, 303.7,20,stable,-0.7 ,-1.9, 0.5
"De Soto Parish",22031,No,246.2 ,206.4, 291.6,29,stable,-0.8 ,-1.7, 0.1
"Morehouse Parish",22067,No,244.7 ,204.7, 290,29,falling,-1.1 ,-1.9, -0.2
"Acadia Parish",22001,No,243.7 ,202.2, 291.1,25,falling,-1.5 ,-2.4, -0.7
"East Feliciana Parish",22037,No,243.6 ,197.8, 296.8,21,falling,-1.5 ,-2.6, -0.5
"St. Martin Parish",22099,No,242.1 ,207.1, 281.2,37,falling,-1.0 ,-2.0, -0.1
"Lincoln Parish",22061,No,239.4 ,204.7, 278.2,35,stable,-0.5 ,-1.4, 0.3
"Tangipahoa Parish",22105,No,238.6 ,212.2, 267.2,66,falling,-1.7 ,-2.3, -1.2
"Jefferson Davis Parish",22053,No,234.3 ,179.8, 300.2,13,stable,-1.7 ,-3.4, 0.1
"Terrebonne Parish",22109,No,234 ,201.8, 269.7,42,falling,-1.1 ,-2.1, -0.2
"West Baton Rouge Parish",22121,No,233.6 ,189.6, 284.5,21,stable,-1.6 ,-3.3, 0.1
"Iberia Parish",22045,No,232.2 ,202.3, 265.1,47,falling,-1.6 ,-2.3, -0.8
"Natchitoches Parish",22069,No,231.9 ,197.3, 270.6,33,stable,-0.8 ,-1.9, 0.3
"Calcasieu Parish",22019,No,231.7 ,211.6, 253.1,106,falling,-1.5 ,-2.1, -0.9
"Bienville Parish",22013,No,230.9 ,183.5, 287.6,17,stable,-0.4 ,-1.7, 0.9
"Jackson Parish",22049,No,230.6 ,176.6, 296.6,13,stable,-0.3 ,-1.9, 1.3
"Vermilion Parish",22113,No,229.9 ,181.2, 287.2,16,stable,-0.8 ,-2.0, 0.4
"Winn Parish",22127,No,229.3 ,166.9, 306.5,10,stable,-0.8 ,-2.4, 0.9
"Ouachita Parish",22073,No,228 ,207.2, 250.3,99,falling,-1.2 ,-1.7, -0.6
"Caldwell Parish",22021,No,225.8 ,134.3, 355.4,4,stable,-6.7 ,-13.3, 0.5
"Caddo Parish",22017,No,224.7 ,212.2, 237.8,256,falling,-1.1 ,-1.4, -0.9
"St. Bernard Parish",22087,No,224.3 ,160.5, 302.3,11,falling,-1.8 ,-3.5, -0.1
"Washington Parish",22117,No,222.7 ,189, 260.6,33,falling,-1.3 ,-2.1, -0.5
"St. Landry Parish",22097,No,222.5 ,200, 246.8,75,falling,-1.2 ,-1.9, -0.6
"Rapides Parish",22079,No,222 ,200.3, 245.4,82,falling,-1.2 ,-1.7, -0.6
"St. James Parish",22093,No,221.6 ,182.1, 267.1,25,falling,-1.6 ,-2.8, -0.3
"Assumption Parish",22007,No,221.5 ,173.8, 278.2,16,falling,-2.0 ,-3.1, -0.8
"Pointe Coupee Parish",22077,No,220.4 ,179.6, 268,22,falling,-1.6 ,-2.7, -0.4
"St. Helena Parish",22091,No,219.7 ,168.5, 281.8,13,stable,0.6 ,-1.1, 2.3
"Evangeline Parish",22039,No,217.2 ,172.5, 269.5,17,stable,-0.8 ,-1.9, 0.4
"East Baton Rouge Parish",22033,No,213 ,202.4, 224,338,falling,-1.2 ,-1.5, -1.0
"Beauregard Parish",22011,No,212.5 ,153.3, 286.1,9,stable,-1.3 ,-3.0, 0.5
"St. Charles Parish",22089,No,212 ,173.7, 255.7,24,falling,-1.9 ,-3.1, -0.8
"Vernon Parish",22115,No,211.1 ,148.3, 288.8,9,*,*,*,*
"Jefferson Parish",22051,No,208 ,193.9, 222.8,191,falling,-2.1 ,-2.5, -1.7
"Webster Parish",22119,No,207.3 ,175.9, 242.8,32,falling,-1.6 ,-2.3, -0.9
"Madison Parish",22065,No,207.1 ,158.2, 265.8,13,stable,-1.5 ,-3.1, 0.1
"Avoyelles Parish",22009,No,204.8 ,168.5, 246.4,23,falling,-1.4 ,-2.7, -0.2
"West Feliciana Parish",22125,No,203 ,154, 263.1,14,falling,-2.1 ,-3.6, -0.5
"Richland Parish",22083,No,198.5 ,152.6, 253.4,13,stable,-1.4 ,-3.0, 0.3
"Orleans Parish",22071,No,195.4 ,187.2, 203.8,464,falling,-3.6 ,-4.7, -2.4
"St. Tammany Parish",22103,No,195.4 ,169.7, 223.6,47,falling,-2.1 ,-3.1, -1.2
"St. John the Baptist Parish",22095,No,192.9 ,164.9, 224.1,39,falling,-1.8 ,-2.7, -0.8
"Allen Parish",22003,No,192.3 ,141.6, 254.8,10,falling,-3.0 ,-4.8, -1.3
"Lafayette Parish",22055,No,188.5 ,170.1, 208.2,87,falling,-4.6 ,-6.0, -3.2
"Union Parish",22111,No,182.4 ,137.2, 237.8,11,falling,-2.8 ,-4.0, -1.5
"Claiborne Parish",22027,No,181.2 ,142.1, 227.7,15,stable,-1.1 ,-2.3, 0.1
"Ascension Parish",22005,No,174.1 ,146.6, 204.8,34,falling,-2.7 ,-3.8, -1.5
"Bossier Parish",22015,No,167.7 ,143.1, 195,37,falling,-1.9 ,-2.8, -1.0
"Livingston Parish",22063,No,167.1 ,119, 226.5,9,falling,-2.6 ,-4.4, -0.8
"Tensas Parish",22107,Yes,155 ,99, 233.1,5,stable,-1.1 ,-3.4, 1.2
"Franklin Parish",22041,Yes,152.6 ,111.3, 203.9,9,falling,-2.0 ,-3.7, -0.3
"Cameron Parish",22023,***,* ,*, *,3 or fewer,*,*,*,*
"La Salle Parish",22059,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death data provided by the National Vital Statistics System public use data file.  Death rates calculated by the National Cancer Institute using SEER*Stat.  Death rates are age-adjusted  to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+).  The Healthy People 2020 goals are based on rates adjusted using different methods but the differences should be minimal.  Population counts for denominators are based on Census populations as modified by NCI. "
 The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used with mortality data. 
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
