------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=035&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '035', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=22&areatype=county&cancer=035&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Louisiana by Parish

"Liver & Bile Duct, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana",22000,***,8.5 ,8.2, 8.9,460,rising,2.3 ,1.9, 2.7
"United States",00000,***,6.5 ,6.5, 6.6,24806,rising,1.3 ,0.6, 1.9
"De Soto Parish",22031,***,14.3 ,9.1, 21.6,5,*,*,*,*
"West Baton Rouge Parish",22121,***,14.1 ,8.2, 22.5,4,*,*,*,*
"Morehouse Parish",22067,***,13.8 ,8.8, 20.9,5,*,*,*,*
"Jefferson Davis Parish",22053,***,12 ,7.6, 18.2,5,*,*,*,*
"Pointe Coupee Parish",22077,***,11.2 ,6.5, 18.3,4,*,*,*,*
"St. Bernard Parish",22087,***,11.2 ,7.1, 16.7,5,*,*,*,*
"LaFourche Parish",22057,***,11.2 ,8.5, 14.4,12,rising,13.4 ,6.1, 21.2
"St. John the Baptist Parish",22095,***,11 ,7, 16.4,5,*,*,*,*
"St. Landry Parish",22097,***,10.6 ,7.9, 13.9,11,rising,3.3 ,1.3, 5.4
