------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '35', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Mexico by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"United States",00000,85.4,270854872,"N/A"
"New Mexico",35000,86.2,1776786,"15 of 51"
"Curry County",35009,75.7,37504,"3079 of 3140"
"Roosevelt County",35041,77.1,14655,"3050 of 3140"
"Luna County",35029,79.9,19133,"2944 of 3140"
"Otero County",35035,81.4,52305,"2819 of 3140"
"Chaves County",35005,82.7,53285,"2666 of 3140"
"Colfax County",35007,83.6,10409,"2530 of 3140"
"Union County",35059,84.3,3511,"2387 of 3140"
"Bernalillo County",35001,84.4,563259,"2365 of 3140"
"Dona Ana County",35013,85.1,179883,"2204 of 3140"
"Grant County",35017,86.2,24217,"1902 of 3140"
"Lincoln County",35027,86.6,16663,"1764 of 3140"
"Hidalgo County",35023,86.8,3803,"1686 of 3140"
"Eddy County",35015,87.1,48493,"1596 of 3140"
"Cibola County",35006,87.2,23310,"1543 of 3140"
"Valencia County",35061,87.5,65744,"1426 of 3140"
"San Juan County",35045,88.5,112019,"1105 of 3140"
"Torrance County",35057,88.9,13670,"950 of 3140"
"Los Alamos County",35028,89.0,15946,"907 of 3140"
"Santa Fe County",35049,89.0,130294,"904 of 3140"
"De Baca County",35011,89.0,1794,"903 of 3140"
"Guadalupe County",35019,89.1,3924,"879 of 3140"
"Taos County",35055,89.3,29070,"815 of 3140"
"Sandoval County",35043,89.3,122677,"814 of 3140"
"Lea County",35025,89.4,61174,"811 of 3140"
"Sierra County",35051,89.8,9994,"680 of 3140"
"Socorro County",35053,90.6,15364,"494 of 3140"
"San Miguel County",35047,91.6,25522,"302 of 3140"
"McKinley County",35031,91.9,65920,"242 of 3140"
"Quay County",35037,92.0,7709,"231 of 3140"
"Rio Arriba County",35039,95.2,37190,"33 of 3140"
"Catron County",35003,95.3,3374,"30 of 3140"
"Harding County",35021,96.5,527,"13 of 3140"
"Mora County",35033,96.6,4444,"10 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
