------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '35', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Mexico by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"New Mexico",35000,15.6,76650,"50 of 52"
"Los Alamos County",35028,2.7,135,"40 of 3141"
"Harding County",35021,8.7,10,"1078 of 3141"
"De Baca County",35011,8.8,33,"1094 of 3141"
"Catron County",35003,9.1,79,"1171 of 3141"
"Santa Fe County",35049,10.0,3680,"1419 of 3141"
"Lincoln County",35027,10.4,521,"1512 of 3141"
"Sandoval County",35043,10.7,3704,"1582 of 3141"
"Eddy County",35015,10.9,1641,"1644 of 3141"
"Guadalupe County",35019,11.1,67,"1696 of 3141"
"Lea County",35025,12.5,2057,"1997 of 3141"
"Union County",35059,12.7,104,"2045 of 3141"
"Bernalillo County",35001,13.4,21308,"2174 of 3141"
"Sierra County",35051,14.1,392,"2312 of 3141"
"Quay County",35037,14.9,238,"2440 of 3141"
"Taos County",35055,15.0,1086,"2455 of 3141"
"Socorro County",35053,15.2,383,"2467 of 3141"
"Grant County",35017,16.0,1160,"2565 of 3141"
"Otero County",35035,16.2,2426,"2593 of 3141"
"San Juan County",35045,16.3,4824,"2601 of 3141"
"Chaves County",35005,16.7,2694,"2649 of 3141"
"Mora County",35033,17.0,141,"2689 of 3141"
"Valencia County",35061,17.5,3293,"2736 of 3141"
"Colfax County",35007,18.5,589,"2803 of 3141"
"Curry County",35009,19.5,2367,"2874 of 3141"
"Rio Arriba County",35039,20.0,1523,"2897 of 3141"
"Torrance County",35057,20.8,729,"2942 of 3141"
"Hidalgo County",35023,20.9,243,"2945 of 3141"
"Dona Ana County",35013,22.0,11521,"2979 of 3141"
"Roosevelt County",35041,22.0,953,"2980 of 3141"
"San Miguel County",35047,22.6,1286,"2994 of 3141"
"Cibola County",35006,24.3,1491,"3034 of 3141"
"Luna County",35029,28.8,1541,"3091 of 3141"
"McKinley County",35031,32.3,4431,"3114 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
