------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '35', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Mexico by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"New Mexico",35000,51.8,1080725,"2 of 52"
"United States",00000,82.4,264493836,"N/A"
"Guadalupe County",35019,17.9,793,"18 of 3141"
"Mora County",35033,21.0,966,"24 of 3141"
"San Miguel County",35047,22.4,6324,"27 of 3141"
"Rio Arriba County",35039,28.6,11280,"31 of 3141"
"Dona Ana County",35013,32.3,69067,"35 of 3141"
"Luna County",35029,34.1,8288,"38 of 3141"
"Valencia County",35061,40.0,30340,"51 of 3141"
"Hidalgo County",35023,42.1,1870,"62 of 3141"
"Lea County",35025,43.2,30004,"69 of 3141"
"Taos County",35055,43.2,14185,"70 of 3141"
"Chaves County",35005,44.4,29089,"74 of 3141"
"Santa Fe County",35049,48.8,72000,"96 of 3141"
"Grant County",35017,50.0,14192,"100 of 3141"
"Socorro County",35053,50.3,8601,"103 of 3141"
"Bernalillo County",35001,50.5,340788,"104 of 3141"
"Colfax County",35007,50.8,6363,"105 of 3141"
"Eddy County",35015,52.5,29811,"111 of 3141"
"De Baca County",35011,54.0,1088,"118 of 3141"
"Quay County",35037,55.3,4672,"125 of 3141"
"Torrance County",35057,57.9,8997,"139 of 3141"
"Union County",35059,58.7,2476,"143 of 3141"
"Roosevelt County",35041,59.0,11396,"145 of 3141"
"Curry County",35009,59.0,29681,"146 of 3141"
"Cibola County",35006,62.0,16780,"163 of 3141"
"Sandoval County",35043,62.1,86243,"164 of 3141"
"Otero County",35035,62.5,40715,"168 of 3141"
"Harding County",35021,62.6,342,"169 of 3141"
"Lincoln County",35027,68.1,13273,"211 of 3141"
"Sierra County",35051,70.1,7887,"228 of 3141"
"San Juan County",35045,80.1,102753,"383 of 3141"
"Los Alamos County",35028,82.8,14921,"450 of 3141"
"Catron County",35003,84.2,2988,"486 of 3141"
"McKinley County",35031,85.9,62552,"546 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
