------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '35', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Mexico by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"United States",00000,5.4,11759554,"N/A"
"New Mexico",35000,6.5,89609,"49 of 52"
"Los Alamos County",35028,0.6,80,"18 of 3141"
"Catron County",35003,1.5,45,"148 of 3141"
"Mora County",35033,2.0,60,"309 of 3141"
"De Baca County",35011,2.6,35,"601 of 3141"
"Harding County",35021,2.7,12,"728 of 3141"
"Sandoval County",35043,2.8,2631,"765 of 3141"
"Colfax County",35007,3.5,325,"1188 of 3141"
"Lincoln County",35027,4.3,626,"1551 of 3141"
"Taos County",35055,4.6,1106,"1694 of 3141"
"Torrance County",35057,4.6,504,"1711 of 3141"
"Rio Arriba County",35039,4.6,1230,"1727 of 3141"
"Sierra County",35051,4.8,413,"1784 of 3141"
"Bernalillo County",35001,4.9,22352,"1825 of 3141"
"Santa Fe County",35049,5.3,5730,"1954 of 3141"
"Guadalupe County",35019,5.3,181,"1957 of 3141"
"Eddy County",35015,5.4,1992,"1999 of 3141"
"Grant County",35017,5.8,1161,"2118 of 3141"
"San Miguel County",35047,5.8,1131,"2142 of 3141"
"San Juan County",35045,6.2,5013,"2251 of 3141"
"Valencia County",35061,6.7,3399,"2408 of 3141"
"Cibola County",35006,6.8,1219,"2418 of 3141"
"Curry County",35009,6.9,2093,"2439 of 3141"
"Otero County",35035,7.1,2997,"2483 of 3141"
"Quay County",35037,7.5,433,"2574 of 3141"
"Socorro County",35053,7.6,832,"2593 of 3141"
"Union County",35059,9.7,290,"2850 of 3141"
"Hidalgo County",35023,10.0,311,"2868 of 3141"
"McKinley County",35031,10.0,4334,"2869 of 3141"
"Roosevelt County",35041,10.1,1112,"2878 of 3141"
"Chaves County",35005,11.1,4578,"2940 of 3141"
"Dona Ana County",35013,11.8,15165,"2974 of 3141"
"Lea County",35025,13.0,5423,"3020 of 3141"
"Luna County",35029,18.0,2796,"3101 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
