------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '35', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Mexico by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"United States",00000,34.5,110609456,"N/A"
"New Mexico",35000,35.3,736883,"24 of 52"
"Lea County",35025,27.2,18895,"3037 of 3141"
"Curry County",35009,27.3,13736,"3027 of 3141"
"McKinley County",35031,28.4,20722,"2970 of 3141"
"Roosevelt County",35041,28.6,5528,"2963 of 3141"
"Dona Ana County",35013,31.1,66569,"2798 of 3141"
"San Juan County",35045,32.0,41030,"2724 of 3141"
"Eddy County",35015,33.5,19000,"2576 of 3141"
"Chaves County",35005,33.6,21968,"2561 of 3141"
"Cibola County",35006,34.1,9222,"2480 of 3141"
"Bernalillo County",35001,34.2,230904,"2465 of 3141"
"Otero County",35035,34.6,22532,"2425 of 3141"
"Sandoval County",35043,36.4,50499,"2136 of 3141"
"Valencia County",35061,36.9,27957,"2051 of 3141"
"Luna County",35029,37.8,9181,"1839 of 3141"
"Union County",35059,38.1,1608,"1755 of 3141"
"Rio Arriba County",35039,38.6,15245,"1660 of 3141"
"Socorro County",35053,39.9,6815,"1380 of 3141"
"Guadalupe County",35019,40.7,1800,"1175 of 3141"
"San Miguel County",35047,41.1,11593,"1078 of 3141"
"Los Alamos County",35028,41.4,7461,"1024 of 3141"
"Hidalgo County",35023,41.6,1850,"986 of 3141"
"De Baca County",35011,42.0,847,"921 of 3141"
"Torrance County",35057,42.8,6651,"788 of 3141"
"Santa Fe County",35049,44.2,65271,"593 of 3141"
"Quay County",35037,45.6,3856,"447 of 3141"
"Grant County",35017,45.8,13002,"429 of 3141"
"Mora County",35033,46.6,2148,"366 of 3141"
"Taos County",35055,47.1,15466,"326 of 3141"
"Colfax County",35007,48.4,6055,"244 of 3141"
"Lincoln County",35027,51.8,10103,"121 of 3141"
"Sierra County",35051,58.1,6542,"24 of 3141"
"Harding County",35021,65.9,360,"5 of 3141"
"Catron County",35003,69.6,2467,"2 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
