------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '35', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Mexico by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"New Mexico",35000,7.7,73710,"48 of 52"
"Catron County",35003,0.0,0,"1 of 3141"
"Guadalupe County",35019,1.5,21,"73 of 3141"
"Union County",35059,2.5,39,"208 of 3141"
"Los Alamos County",35028,3.7,354,"535 of 3141"
"Quay County",35037,4.0,126,"626 of 3141"
"Socorro County",35053,4.2,256,"681 of 3141"
"Eddy County",35015,5.1,1395,"1065 of 3141"
"Lincoln County",35027,5.2,385,"1125 of 3141"
"San Miguel County",35047,5.3,520,"1196 of 3141"
"Santa Fe County",35049,5.5,4064,"1293 of 3141"
"Lea County",35025,6.2,1888,"1633 of 3141"
"Chaves County",35005,6.3,1798,"1711 of 3141"
"Harding County",35021,6.5,14,"1819 of 3141"
"De Baca County",35011,6.6,48,"1886 of 3141"
"Bernalillo County",35001,6.7,22382,"1897 of 3141"
"Torrance County",35057,7.8,450,"2354 of 3141"
"Curry County",35009,7.8,1745,"2367 of 3141"
"Sandoval County",35043,8.0,5150,"2409 of 3141"
"Grant County",35017,8.1,943,"2463 of 3141"
"Mora County",35033,8.2,111,"2475 of 3141"
"Rio Arriba County",35039,8.9,1347,"2649 of 3141"
"Hidalgo County",35023,9.0,160,"2672 of 3141"
"Valencia County",35061,9.1,2837,"2681 of 3141"
"Otero County",35035,9.3,2430,"2731 of 3141"
"Dona Ana County",35013,9.3,9125,"2738 of 3141"
"San Juan County",35045,9.6,5429,"2783 of 3141"
"Taos County",35055,9.7,1473,"2804 of 3141"
"Colfax County",35007,10.0,516,"2844 of 3141"
"Roosevelt County",35041,10.7,916,"2931 of 3141"
"Sierra County",35051,11.4,480,"2973 of 3141"
"Luna County",35029,11.4,1020,"2981 of 3141"
"Cibola County",35006,16.0,1823,"3106 of 3141"
"McKinley County",35031,16.1,4465,"3108 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
