------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '35', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Mexico by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"New Mexico",35000,50.5,1052742,"22 of 52"
"United States",00000,50.8,162985654,"N/A"
"Guadalupe County",35019,40.2,1781,"38 of 3141"
"Union County",35059,45.8,1931,"151 of 3141"
"Harding County",35021,46.7,255,"218 of 3141"
"Socorro County",35053,47.0,8032,"240 of 3141"
"Catron County",35003,47.5,1686,"288 of 3141"
"Torrance County",35057,47.7,7408,"312 of 3141"
"Curry County",35009,48.0,24144,"365 of 3141"
"Lea County",35025,48.5,33701,"458 of 3141"
"Otero County",35035,48.6,31652,"476 of 3141"
"Eddy County",35015,49.3,28001,"712 of 3141"
"Los Alamos County",35028,49.3,8896,"731 of 3141"
"Cibola County",35006,49.4,13371,"791 of 3141"
"Colfax County",35007,49.6,6205,"843 of 3141"
"Valencia County",35061,49.9,37832,"1102 of 3141"
"San Miguel County",35047,50.0,14089,"1162 of 3141"
"Roosevelt County",35041,50.0,9648,"1163 of 3141"
"Chaves County",35005,50.3,32918,"1461 of 3141"
"Mora County",35033,50.4,2319,"1527 of 3141"
"Luna County",35029,50.4,12262,"1589 of 3141"
"San Juan County",35045,50.5,64692,"1625 of 3141"
"Dona Ana County",35013,50.9,108755,"2113 of 3141"
"Grant County",35017,50.9,14442,"2140 of 3141"
"Rio Arriba County",35039,51.0,20117,"2238 of 3141"
"Hidalgo County",35023,51.0,2267,"2240 of 3141"
"Bernalillo County",35001,51.0,344112,"2241 of 3141"
"Sierra County",35051,51.0,5741,"2253 of 3141"
"Sandoval County",35043,51.1,70876,"2304 of 3141"
"Taos County",35055,51.1,16755,"2321 of 3141"
"Santa Fe County",35049,51.3,75636,"2506 of 3141"
"McKinley County",35031,51.7,37640,"2754 of 3141"
"Lincoln County",35027,51.8,10098,"2818 of 3141"
"Quay County",35037,52.0,4390,"2884 of 3141"
"De Baca County",35011,54.1,1090,"3117 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
