------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '35', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Mexico by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"New Mexico",35000,2.9,59873,"29 of 51"
"Mora County",35033,0.1,3,"23 of 3140"
"Rio Arriba County",35039,0.5,181,"159 of 3140"
"Guadalupe County",35019,0.8,35,"421 of 3140"
"Harding County",35021,0.9,5,"551 of 3140"
"Cibola County",35006,1.1,282,"709 of 3140"
"Catron County",35003,1.3,47,"1042 of 3140"
"San Miguel County",35047,1.3,376,"1068 of 3140"
"De Baca County",35011,1.6,32,"1355 of 3140"
"Valencia County",35061,1.7,1257,"1464 of 3140"
"McKinley County",35031,1.8,1323,"1644 of 3140"
"Socorro County",35053,2.1,355,"1869 of 3140"
"Sierra County",35051,2.2,240,"1917 of 3140"
"Torrance County",35057,2.3,352,"2018 of 3140"
"San Juan County",35045,2.5,3220,"2192 of 3140"
"Quay County",35037,2.6,218,"2223 of 3140"
"Sandoval County",35043,2.6,3610,"2239 of 3140"
"Bernalillo County",35001,2.7,17717,"2253 of 3140"
"Taos County",35055,3.0,961,"2427 of 3140"
"Lea County",35025,3.0,2041,"2440 of 3140"
"Grant County",35017,3.0,840,"2447 of 3140"
"Luna County",35029,3.1,740,"2489 of 3140"
"Chaves County",35005,3.2,2058,"2544 of 3140"
"Santa Fe County",35049,3.2,4704,"2554 of 3140"
"Eddy County",35015,3.3,1835,"2590 of 3140"
"Dona Ana County",35013,3.3,6988,"2595 of 3140"
"Los Alamos County",35028,3.4,610,"2631 of 3140"
"Roosevelt County",35041,3.5,674,"2676 of 3140"
"Colfax County",35007,4.0,497,"2793 of 3140"
"Lincoln County",35027,4.5,860,"2901 of 3140"
"Union County",35059,4.6,193,"2927 of 3140"
"Hidalgo County",35023,5.5,240,"3014 of 3140"
"Otero County",35035,6.3,4024,"3059 of 3140"
"Curry County",35009,6.8,3355,"3079 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
