------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '35', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Mexico by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"New Mexico",35000,31.2,649489,"11 of 52"
"United States",00000,32.4,104105673,"N/A"
"Roosevelt County",35041,24.2,4671,"33 of 3141"
"Curry County",35009,26.6,13393,"104 of 3141"
"Dona Ana County",35013,27.2,58148,"130 of 3141"
"Lea County",35025,27.7,19232,"161 of 3141"
"Luna County",35029,28.3,6872,"208 of 3141"
"McKinley County",35031,28.6,20839,"239 of 3141"
"Guadalupe County",35019,28.7,1272,"252 of 3141"
"Otero County",35035,29.0,18894,"281 of 3141"
"Chaves County",35005,29.5,19319,"326 of 3141"
"San Juan County",35045,30.1,38618,"416 of 3141"
"Grant County",35017,30.3,8597,"447 of 3141"
"Eddy County",35015,30.8,17481,"545 of 3141"
"Cibola County",35006,31.2,8443,"650 of 3141"
"Union County",35059,31.3,1318,"662 of 3141"
"Quay County",35037,31.3,2646,"679 of 3141"
"Bernalillo County",35001,31.6,213259,"777 of 3141"
"Hidalgo County",35023,32.0,1421,"894 of 3141"
"Socorro County",35053,32.4,5546,"1093 of 3141"
"Sierra County",35051,32.6,3666,"1137 of 3141"
"Valencia County",35061,33.1,25139,"1403 of 3141"
"Rio Arriba County",35039,33.3,13145,"1481 of 3141"
"Mora County",35033,33.5,1541,"1574 of 3141"
"De Baca County",35011,33.7,680,"1718 of 3141"
"Sandoval County",35043,33.8,46893,"1749 of 3141"
"Colfax County",35007,33.9,4248,"1833 of 3141"
"Catron County",35003,34.4,1221,"2080 of 3141"
"San Miguel County",35047,34.6,9754,"2163 of 3141"
"Lincoln County",35027,35.1,6841,"2403 of 3141"
"Santa Fe County",35049,35.3,52082,"2476 of 3141"
"Torrance County",35057,35.6,5534,"2589 of 3141"
"Taos County",35055,36.3,11923,"2795 of 3141"
"Los Alamos County",35028,36.7,6624,"2870 of 3141"
"Harding County",35021,41.9,229,"3122 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
