------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '35', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=35&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Mexico by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"New Mexico",35000,2.3,47458,"10 of 51"
"United States",00000,3.2,10247779,"N/A"
"Catron County",35003,0.1,3,"5 of 3140"
"Quay County",35037,0.9,76,"39 of 3140"
"San Juan County",35045,1.0,1254,"48 of 3140"
"Harding County",35021,1.1,6,"59 of 3140"
"McKinley County",35031,1.2,841,"71 of 3140"
"Hidalgo County",35023,1.2,54,"80 of 3140"
"Lea County",35025,1.3,877,"91 of 3140"
"Grant County",35017,1.4,391,"120 of 3140"
"Otero County",35035,1.5,992,"158 of 3140"
"Eddy County",35015,1.9,1049,"279 of 3140"
"Bernalillo County",35001,1.9,12777,"294 of 3140"
"Rio Arriba County",35039,1.9,751,"300 of 3140"
"Socorro County",35053,2.1,348,"357 of 3140"
"Santa Fe County",35049,2.3,3393,"510 of 3140"
"Taos County",35055,2.4,771,"535 of 3140"
"Dona Ana County",35013,2.4,5140,"576 of 3140"
"Los Alamos County",35028,2.5,455,"656 of 3140"
"Chaves County",35005,2.7,1758,"793 of 3140"
"Curry County",35009,2.7,1357,"798 of 3140"
"San Miguel County",35047,2.8,768,"809 of 3140"
"Sierra County",35051,2.9,318,"885 of 3140"
"Lincoln County",35027,2.9,564,"935 of 3140"
"Mora County",35033,3.3,152,"1200 of 3140"
"Sandoval County",35043,3.4,4720,"1288 of 3140"
"Luna County",35029,3.7,891,"1516 of 3140"
"Valencia County",35061,3.8,2878,"1598 of 3140"
"De Baca County",35011,4.4,88,"1909 of 3140"
"Colfax County",35007,5.0,618,"2236 of 3140"
"Cibola County",35006,5.2,1377,"2326 of 3140"
"Torrance County",35057,5.3,814,"2393 of 3140"
"Guadalupe County",35019,6.4,281,"2719 of 3140"
"Roosevelt County",35041,7.3,1385,"2870 of 3140"
"Union County",35059,7.5,311,"2893 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
