------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '34', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Jersey by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"New Jersey",34000,67.9,6085474,"41 of 52"
"United States",00000,73.0,234370202,"N/A"
"Essex County",34013,42.1,336763,"3022 of 3141"
"Hudson County",34017,55.3,376168,"2892 of 3141"
"Union County",34039,56.6,315421,"2874 of 3141"
"Middlesex County",34023,59.5,497816,"2828 of 3141"
"Passaic County",34031,62.5,319097,"2765 of 3141"
"Camden County",34007,63.2,323012,"2748 of 3141"
"Mercer County",34021,63.4,236826,"2741 of 3141"
"Cumberland County",34011,66.2,102628,"2674 of 3141"
"Atlantic County",34001,66.9,182673,"2659 of 3141"
"Somerset County",34035,67.6,225398,"2641 of 3141"
"Bergen County",34003,70.8,664406,"2537 of 3141"
"Burlington County",34005,72.5,325697,"2495 of 3141"
"Salem County",34033,80.6,51434,"2186 of 3141"
"Morris County",34027,81.5,406436,"2145 of 3141"
"Gloucester County",34015,81.7,238127,"2136 of 3141"
"Monmouth County",34025,82.1,515213,"2122 of 3141"
"Warren County",34041,89.4,95692,"1614 of 3141"
"Hunterdon County",34019,91.0,114342,"1458 of 3141"
"Cape May County",34009,91.3,86283,"1423 of 3141"
"Ocean County",34029,91.3,538498,"1414 of 3141"
"Sussex County",34037,93.0,133544,"1191 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
