------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '34', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Jersey by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"New Jersey",34000,5.3,472313,"1 of 51"
"United States",00000,8.4,26717038,"N/A"
"Hunterdon County",34019,3.0,3732,"262 of 3140"
"Somerset County",34035,3.4,11252,"349 of 3140"
"Morris County",34027,3.4,16970,"354 of 3140"
"Passaic County",34031,3.7,18759,"441 of 3140"
"Sussex County",34037,3.8,5385,"459 of 3140"
"Gloucester County",34015,4.7,13588,"782 of 3140"
"Warren County",34041,4.7,5013,"785 of 3140"
"Bergen County",34003,4.7,43962,"796 of 3140"
"Middlesex County",34023,4.8,39500,"811 of 3140"
"Union County",34039,5.2,28542,"1004 of 3140"
"Burlington County",34005,5.2,23142,"1014 of 3140"
"Monmouth County",34025,5.2,32665,"1043 of 3140"
"Cape May County",34009,5.3,4972,"1067 of 3140"
"Salem County",34033,5.5,3450,"1141 of 3140"
"Ocean County",34029,6.0,34870,"1428 of 3140"
"Essex County",34013,6.3,49706,"1576 of 3140"
"Camden County",34007,6.4,32521,"1649 of 3140"
"Mercer County",34021,6.5,24076,"1687 of 3140"
"Cumberland County",34011,7.0,10675,"1851 of 3140"
"Hudson County",34017,7.2,48270,"1961 of 3140"
"Atlantic County",34001,7.9,21263,"2227 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
