------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '34', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Jersey by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"New Jersey",34000,48.8,4372321,"14 of 52"
"United States",00000,49.2,158018753,"N/A"
"Essex County",34013,48.0,384515,"262 of 3141"
"Ocean County",34029,48.2,283959,"299 of 3141"
"Camden County",34007,48.3,246942,"383 of 3141"
"Bergen County",34003,48.4,454204,"441 of 3141"
"Atlantic County",34001,48.4,132171,"442 of 3141"
"Gloucester County",34015,48.6,141589,"545 of 3141"
"Monmouth County",34025,48.6,305192,"572 of 3141"
"Passaic County",34031,48.6,248308,"575 of 3141"
"Union County",34039,48.7,271607,"643 of 3141"
"Salem County",34033,48.8,31105,"670 of 3141"
"Warren County",34041,48.8,52230,"671 of 3141"
"Cape May County",34009,48.8,46158,"711 of 3141"
"Somerset County",34035,48.8,162775,"728 of 3141"
"Mercer County",34021,48.9,182693,"822 of 3141"
"Morris County",34027,49.0,244480,"900 of 3141"
"Burlington County",34005,49.2,220995,"1086 of 3141"
"Middlesex County",34023,49.2,412127,"1112 of 3141"
"Hudson County",34017,49.6,337345,"1599 of 3141"
"Sussex County",34037,49.8,71475,"1753 of 3141"
"Hunterdon County",34019,50.0,62901,"1976 of 3141"
"Cumberland County",34011,51.3,79550,"2645 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
