------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '34', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Jersey by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"New Jersey",34000,5.1,315598,"39 of 52"
"United States",00000,5.4,11759554,"N/A"
"Sussex County",34037,1.7,1741,"215 of 3141"
"Hunterdon County",34019,2.0,1767,"322 of 3141"
"Burlington County",34005,2.2,6770,"409 of 3141"
"Gloucester County",34015,2.3,4570,"476 of 3141"
"Somerset County",34035,2.6,6079,"655 of 3141"
"Monmouth County",34025,2.9,12704,"837 of 3141"
"Morris County",34027,3.0,10483,"911 of 3141"
"Ocean County",34029,3.1,12511,"942 of 3141"
"Cape May County",34009,3.2,2269,"1029 of 3141"
"Warren County",34041,3.8,2893,"1368 of 3141"
"Bergen County",34003,4.0,26691,"1455 of 3141"
"Camden County",34007,4.4,15394,"1627 of 3141"
"Salem County",34033,4.6,2043,"1720 of 3141"
"Atlantic County",34001,5.2,9709,"1913 of 3141"
"Middlesex County",34023,5.5,31619,"2025 of 3141"
"Mercer County",34021,5.8,14392,"2117 of 3141"
"Essex County",34013,7.2,38696,"2528 of 3141"
"Union County",34039,7.8,29413,"2623 of 3141"
"Hudson County",34017,9.2,44534,"2796 of 3141"
"Passaic County",34031,9.4,31430,"2807 of 3141"
"Cumberland County",34011,9.5,9890,"2824 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
