------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '34', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Jersey by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"New Jersey",34000,7.0,328167,"34 of 52"
"Hunterdon County",34019,4.4,3073,"792 of 3141"
"Somerset County",34035,4.9,8958,"996 of 3141"
"Morris County",34027,5.2,14340,"1129 of 3141"
"Bergen County",34003,5.2,26130,"1153 of 3141"
"Monmouth County",34025,6.0,19969,"1530 of 3141"
"Passaic County",34031,6.0,15164,"1533 of 3141"
"Middlesex County",34023,6.4,27728,"1725 of 3141"
"Sussex County",34037,6.4,5148,"1742 of 3141"
"Ocean County",34029,6.7,18085,"1893 of 3141"
"Burlington County",34005,6.9,16691,"2020 of 3141"
"Hudson County",34017,7.1,27161,"2089 of 3141"
"Union County",34039,7.4,22164,"2179 of 3141"
"Warren County",34041,7.4,4364,"2181 of 3141"
"Gloucester County",34015,7.4,11715,"2210 of 3141"
"Mercer County",34021,7.5,14700,"2232 of 3141"
"Camden County",34007,7.9,21153,"2375 of 3141"
"Salem County",34033,8.0,2547,"2424 of 3141"
"Cape May County",34009,8.4,3879,"2545 of 3141"
"Cumberland County",34011,9.0,6190,"2665 of 3141"
"Essex County",34013,10.4,43378,"2913 of 3141"
"Atlantic County",34001,10.9,15630,"2949 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
