------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '34', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Jersey by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"New Jersey",34000,3.1,99843,"14 of 52"
"United States",00000,3.3,3975282,"N/A"
"Hunterdon County",34019,0.6,289,"2933 of 3141"
"Sussex County",34037,0.6,344,"2921 of 3141"
"Gloucester County",34015,1.1,1178,"2474 of 3141"
"Salem County",34033,1.3,306,"2301 of 3141"
"Somerset County",34035,1.3,1484,"2286 of 3141"
"Cape May County",34009,1.3,513,"2278 of 3141"
"Warren County",34041,1.4,577,"2152 of 3141"
"Morris County",34027,1.4,2569,"2108 of 3141"
"Burlington County",34005,1.5,2412,"2068 of 3141"
"Monmouth County",34025,1.6,3604,"1970 of 3141"
"Camden County",34007,2.0,3712,"1518 of 3141"
"Mercer County",34021,2.1,2761,"1367 of 3141"
"Bergen County",34003,2.3,7742,"1208 of 3141"
"Ocean County",34029,2.4,5353,"1107 of 3141"
"Atlantic County",34001,3.2,3174,"657 of 3141"
"Cumberland County",34011,3.7,1862,"469 of 3141"
"Essex County",34013,4.1,11614,"347 of 3141"
"Middlesex County",34023,4.2,11781,"344 of 3141"
"Union County",34039,4.5,8374,"291 of 3141"
"Hudson County",34017,7.2,18173,"98 of 3141"
"Passaic County",34031,7.4,12021,"91 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
