------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '34', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Jersey by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"New Jersey",34000,80.3,7195641,"9 of 52"
"United States",00000,82.4,264493836,"N/A"
"Hudson County",34017,56.8,386291,"132 of 3141"
"Passaic County",34031,59.5,303626,"153 of 3141"
"Union County",34039,69.3,386131,"219 of 3141"
"Cumberland County",34011,70.3,108986,"233 of 3141"
"Essex County",34013,77.6,620740,"334 of 3141"
"Middlesex County",34023,79.6,666687,"371 of 3141"
"Bergen County",34003,81.1,760987,"409 of 3141"
"Atlantic County",34001,81.5,222416,"418 of 3141"
"Mercer County",34021,83.1,310205,"456 of 3141"
"Camden County",34007,83.9,428600,"478 of 3141"
"Somerset County",34035,85.6,285419,"533 of 3141"
"Morris County",34027,87.0,433972,"576 of 3141"
"Monmouth County",34025,89.4,561070,"699 of 3141"
"Ocean County",34029,91.0,536438,"808 of 3141"
"Warren County",34041,91.4,97861,"843 of 3141"
"Salem County",34033,91.7,58500,"874 of 3141"
"Burlington County",34005,92.4,414836,"919 of 3141"
"Sussex County",34037,92.5,132792,"938 of 3141"
"Cape May County",34009,92.6,87595,"957 of 3141"
"Hunterdon County",34019,93.8,117916,"1097 of 3141"
"Gloucester County",34015,94.2,274573,"1170 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
