------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '34', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Jersey by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"United States",00000,5.5,17756436,"N/A"
"New Jersey",34000,9.5,847118,"3 of 52"
"Salem County",34033,1.0,615,"1110 of 3141"
"Cape May County",34009,1.0,981,"1034 of 3141"
"Cumberland County",34011,1.4,2092,"799 of 3141"
"Sussex County",34037,2.0,2878,"536 of 3141"
"Ocean County",34029,2.0,11860,"533 of 3141"
"Warren County",34041,2.9,3098,"350 of 3141"
"Gloucester County",34015,3.1,8972,"319 of 3141"
"Hunterdon County",34019,3.9,4850,"239 of 3141"
"Burlington County",34005,4.9,22002,"167 of 3141"
"Union County",34039,5.0,28003,"163 of 3141"
"Essex County",34013,5.2,41521,"155 of 3141"
"Passaic County",34031,5.3,27238,"146 of 3141"
"Monmouth County",34025,5.5,34504,"139 of 3141"
"Camden County",34007,5.8,29684,"127 of 3141"
"Atlantic County",34001,8.4,22994,"61 of 3141"
"Morris County",34027,10.1,50544,"54 of 3141"
"Mercer County",34021,10.8,40142,"42 of 3141"
"Hudson County",34017,15.2,103603,"29 of 3141"
"Bergen County",34003,16.3,152916,"24 of 3141"
"Somerset County",34035,17.1,57127,"21 of 3141"
"Middlesex County",34023,24.1,201494,"13 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
