------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '34', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=34&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Jersey by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"United States",00000,17.6,56510571,"N/A"
"New Jersey",34000,19.7,1764520,"9 of 52"
"Gloucester County",34015,5.8,16799,"1170 of 3141"
"Hunterdon County",34019,6.2,7801,"1097 of 3141"
"Cape May County",34009,7.4,6954,"957 of 3141"
"Sussex County",34037,7.5,10778,"938 of 3141"
"Burlington County",34005,7.6,34356,"919 of 3141"
"Salem County",34033,8.3,5276,"874 of 3141"
"Warren County",34041,8.6,9227,"843 of 3141"
"Ocean County",34029,9.0,53261,"808 of 3141"
"Monmouth County",34025,10.6,66481,"699 of 3141"
"Morris County",34027,13.0,64875,"576 of 3141"
"Somerset County",34035,14.4,47897,"533 of 3141"
"Camden County",34007,16.1,82396,"478 of 3141"
"Mercer County",34021,16.9,63157,"456 of 3141"
"Atlantic County",34001,18.5,50510,"418 of 3141"
"Bergen County",34003,18.9,176933,"409 of 3141"
"Middlesex County",34023,20.4,170601,"371 of 3141"
"Essex County",34013,22.4,179661,"334 of 3141"
"Cumberland County",34011,29.7,45966,"233 of 3141"
"Union County",34039,30.7,171189,"219 of 3141"
"Passaic County",34031,40.5,206937,"153 of 3141"
"Hudson County",34017,43.2,293465,"132 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
