------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/prevalence/index.php?stateFIPS=00&cancer=055&duration=0&statistics=2&sex=2&type=prev&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '00', 'cancer': '055', 'duration': '0', 'statistics': '2', 'sex': '2', 'type': 'prev', 'file_name': 'prevalence_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/prevalence/index.php?stateFIPS=00&cancer=055&duration=0&statistics=2&sex=2&type=prev&sortVariableName=rate&sortOrder=desc&output=1'}
------------
	Prevalence Projections Report by State
Complete Prevalence Age-Adjusted Percents

"Female, Breast Cancer, All Ages"
Sorted by Projected Age-Adjusted Percents 2017

State,Projected Age-Adjusted Percents 2017
United States,1.69
District of Columbia,1.97
Oregon,1.94
Washington,1.92
Wisconsin,1.91
Maryland,1.90
Hawaii,1.89
Florida,1.87
Wyoming,1.87
Michigan,1.86
Virginia,1.86
Massachusetts,1.83
Nebraska,1.82
Utah,1.81
Alaska,1.79
Colorado,1.79
Oklahoma,1.79
Kansas,1.78
Connecticut,1.76
Minnesota,1.74
Montana,1.74
Ohio,1.74
Arizona,1.73
Delaware,1.73
New Hampshire,1.71
North Dakota,1.71
Illinois,1.70
Maine,1.69
North Carolina,1.69
Iowa,1.68
Pennsylvania,1.68
New Jersey,1.67
Vermont,1.67
Missouri,1.66
Rhode Island,1.66
Tennessee,1.65
California,1.63
Indiana,1.62
New Mexico,1.62
South Dakota,1.62
Idaho,1.59
South Carolina,1.59
Georgia,1.58
New York,1.57
Mississippi,1.54
Texas,1.53
Alabama,1.51
Kentucky,1.49
Nevada,1.48
West Virginia,1.48
Arkansas,1.46
Louisiana,1.46
Puerto Rico,data not available

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
State Cancer Registries may provide more current or more local data.
"Methodology: Cancer prevalence estimates are derived from state specific cancer mortality and survival data using a statistical package called MIAMOD (Mortality-Incidence Analysis MODEL). Cancer survival models are derived from the Surveillance, Epidemiology, and End Results (SEER) [https://seer.cancer.gov/] Program data and adjusted to represent state specific survival."
"For more information on prevalence, please see the about this table web page [http://statecancerprofiles.cancer.gov/help/about/prevalence.html]."
"Source: Single age and year state specific mortality data for cancer and all causes of death from the National Center for Health Statistics (NCHS) [https://www.cdc.gov/nchs/], and respective populations from the US Census Bureau [http://www.census.gov/], are available for calendar years 1969-2007 from SEER*Stat. The population projections were obtained from the US Census Bureau [http://www.census.gov/]."
Note: The sum total of the individual states may not equal the total U.S. statistic due to rounding.
Prevalance data is not avaiable for Puerto Rico
