------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"United States",00000,12.7,40610815,"N/A"
"Florida",12000,16.1,3270863,"12 of 52"
"Citrus County",12017,2.9,4165,"1418 of 3141"
"Sarasota County",12115,4.5,18338,"1191 of 3141"
"Walton County",12131,4.9,3102,"1155 of 3141"
"St. Johns County",12109,5.1,11566,"1127 of 3141"
"Hernando County",12053,5.2,9288,"1115 of 3141"
"Pasco County",12101,5.4,26932,"1097 of 3141"
"Martin County",12085,5.6,8735,"1079 of 3141"
"Charlotte County",12015,5.7,9840,"1072 of 3141"
"Santa Rosa County",12113,5.8,9751,"1055 of 3141"
"Gilchrist County",12041,6.0,1034,"1037 of 3141"
"Nassau County",12089,6.3,4913,"1011 of 3141"
"Collier County",12021,7.0,25115,"956 of 3141"
"Dixie County",12029,7.1,1167,"952 of 3141"
"Monroe County",12087,7.2,5529,"945 of 3141"
"Holmes County",12059,7.4,1441,"933 of 3141"
"Sumter County",12119,7.6,8820,"923 of 3141"
"Hardee County",12049,8.1,2206,"896 of 3141"
"Okeechobee County",12093,8.4,3392,"877 of 3141"
"Lee County",12071,8.7,60664,"864 of 3141"
"Levy County",12075,8.8,3496,"854 of 3141"
"Manatee County",12081,8.8,32154,"850 of 3141"
"Indian River County",12061,9.1,13447,"836 of 3141"
"Highlands County",12055,9.5,9470,"820 of 3141"
"Okaloosa County",12091,9.8,19333,"803 of 3141"
"Clay County",12019,10.0,20298,"796 of 3141"
"Brevard County",12009,10.2,57728,"789 of 3141"
"Pinellas County",12103,10.2,97162,"787 of 3141"
"Flagler County",12035,10.3,10770,"786 of 3141"
"Lake County",12069,10.3,33458,"785 of 3141"
"Volusia County",12127,10.6,55230,"766 of 3141"
"Bay County",12005,11.0,19740,"759 of 3141"
"Osceola County",12097,11.2,36275,"745 of 3141"
"Hendry County",12051,11.4,4444,"732 of 3141"
"Seminole County",12117,11.5,51866,"722 of 3141"
"DeSoto County",12027,12.8,4572,"687 of 3141"
"Marion County",12083,12.9,44237,"684 of 3141"
"Calhoun County",12013,13.0,1878,"680 of 3141"
"Suwannee County",12121,13.5,5915,"657 of 3141"
"Glades County",12043,13.6,1794,"650 of 3141"
"Baker County",12003,13.8,3797,"645 of 3141"
"Franklin County",12037,14.1,1642,"640 of 3141"
"Wakulla County",12129,15.1,4781,"610 of 3141"
"Polk County",12105,15.2,99355,"606 of 3141"
"Washington County",12133,15.4,3760,"601 of 3141"
"Lafayette County",12067,15.7,1365,"596 of 3141"
"Putnam County",12107,16.3,11799,"582 of 3141"
"Hillsborough County",12057,16.6,224284,"574 of 3141"
"Gulf County",12045,17.5,2805,"558 of 3141"
"Columbia County",12023,17.8,12197,"549 of 3141"
"Miami-Dade County",12086,18.0,485602,"546 of 3141"
"Palm Beach County",12099,18.5,264224,"535 of 3141"
"Liberty County",12077,18.7,1561,"528 of 3141"
"Bradford County",12007,19.2,5139,"512 of 3141"
"St. Lucie County",12111,19.7,58795,"503 of 3141"
"Alachua County",12001,20.2,52376,"493 of 3141"
"Orange County",12095,20.9,269872,"476 of 3141"
"Taylor County",12123,21.5,4796,"464 of 3141"
"Escambia County",12033,21.7,67398,"462 of 3141"
"Union County",12125,22.1,3387,"454 of 3141"
"Jackson County",12063,27.0,13121,"374 of 3141"
"Broward County",12011,28.4,536589,"346 of 3141"
"Duval County",12031,29.7,271042,"323 of 3141"
"Leon County",12073,31.1,88973,"297 of 3141"
"Hamilton County",12047,35.1,4994,"246 of 3141"
"Jefferson County",12065,35.2,4961,"242 of 3141"
"Madison County",12079,39.1,7243,"198 of 3141"
"Gadsden County",12039,55.8,25740,"66 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
