------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"United States",00000,4.5,5305440,"N/A"
"Florida",12000,6.9,515971,"47 of 51"
"Union County",12125,0.0,0,"1 of 3140"
"Franklin County",12037,0.1,6,"473 of 3140"
"Gulf County",12045,0.2,10,"570 of 3140"
"Liberty County",12077,0.3,6,"705 of 3140"
"Holmes County",12059,0.4,29,"999 of 3140"
"Wakulla County",12129,0.4,47,"1018 of 3140"
"Baker County",12003,0.4,37,"1057 of 3140"
"Dixie County",12029,0.5,32,"1125 of 3140"
"Bradford County",12007,0.5,45,"1130 of 3140"
"Sumter County",12119,0.5,276,"1168 of 3140"
"Washington County",12133,0.6,51,"1277 of 3140"
"St. Johns County",12109,0.7,579,"1403 of 3140"
"Columbia County",12023,0.7,171,"1404 of 3140"
"Jefferson County",12065,0.7,40,"1415 of 3140"
"Nassau County",12089,0.8,256,"1578 of 3140"
"Gilchrist County",12041,0.9,57,"1619 of 3140"
"Walton County",12131,0.9,229,"1631 of 3140"
"Santa Rosa County",12113,0.9,551,"1640 of 3140"
"Jackson County",12063,1.0,164,"1688 of 3140"
"Madison County",12079,1.2,78,"1848 of 3140"
"Leon County",12073,1.2,1307,"1854 of 3140"
"Escambia County",12033,1.3,1523,"1953 of 3140"
"Bay County",12005,1.3,924,"1986 of 3140"
"Taylor County",12123,1.4,102,"2006 of 3140"
"Calhoun County",12013,1.4,64,"2017 of 3140"
"Marion County",12083,1.5,2011,"2073 of 3140"
"Levy County",12075,1.5,243,"2106 of 3140"
"Clay County",12019,1.6,1134,"2143 of 3140"
"Citrus County",12017,1.6,989,"2146 of 3140"
"Brevard County",12009,1.6,3599,"2148 of 3140"
"Hernando County",12053,1.8,1294,"2248 of 3140"
"Gadsden County",12039,1.9,328,"2285 of 3140"
"Charlotte County",12015,1.9,1430,"2293 of 3140"
"Okaloosa County",12091,1.9,1493,"2308 of 3140"
"Lake County",12069,2.0,2517,"2315 of 3140"
"Pasco County",12101,2.0,4003,"2345 of 3140"
"Alachua County",12001,2.1,2084,"2370 of 3140"
"Indian River County",12061,2.3,1315,"2429 of 3140"
"Volusia County",12127,2.3,4844,"2446 of 3140"
"Putnam County",12107,2.3,647,"2449 of 3140"
"Suwannee County",12121,2.6,397,"2539 of 3140"
"Lafayette County",12067,2.7,60,"2572 of 3140"
"Duval County",12031,2.8,9692,"2588 of 3140"
"Hamilton County",12047,2.8,129,"2602 of 3140"
"Pinellas County",12103,2.8,11588,"2607 of 3140"
"Martin County",12085,2.9,1812,"2609 of 3140"
"Sarasota County",12115,2.9,5216,"2624 of 3140"
"Seminole County",12117,3.1,4944,"2648 of 3140"
"Manatee County",12081,3.2,4486,"2672 of 3140"
"Flagler County",12035,3.2,1271,"2673 of 3140"
"Polk County",12105,3.8,8516,"2747 of 3140"
"Highlands County",12055,4.1,1701,"2782 of 3140"
"Lee County",12071,4.8,12675,"2849 of 3140"
"Monroe County",12087,4.9,1489,"2860 of 3140"
"St. Lucie County",12111,5.0,5498,"2867 of 3140"
"Okeechobee County",12093,5.7,760,"2899 of 3140"
"Collier County",12021,6.2,8577,"2927 of 3140"
"Hillsborough County",12057,6.3,31644,"2930 of 3140"
"Palm Beach County",12099,6.9,37290,"2961 of 3140"
"Glades County",12043,6.9,298,"2966 of 3140"
"Orange County",12095,8.1,36502,"3008 of 3140"
"Broward County",12011,9.4,63677,"3048 of 3140"
"Hardee County",12049,10.0,771,"3054 of 3140"
"Osceola County",12097,10.1,9696,"3056 of 3140"
"DeSoto County",12027,10.1,1188,"3058 of 3140"
"Hendry County",12051,14.9,1807,"3110 of 3140"
"Miami-Dade County",12086,25.6,219772,"3133 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
