------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Florida",12000,12.4,1787348,"33 of 52"
"United States",00000,12.7,27437114,"N/A"
"St. Johns County",12109,5.6,8895,"156 of 3141"
"Seminole County",12117,5.9,18433,"185 of 3141"
"Leon County",12073,6.8,11407,"321 of 3141"
"Sarasota County",12115,7.5,24009,"446 of 3141"
"Alachua County",12001,7.9,12281,"532 of 3141"
"Flagler County",12035,8.1,6384,"593 of 3141"
"Brevard County",12009,8.3,34563,"628 of 3141"
"Sumter County",12119,8.4,8728,"652 of 3141"
"Okaloosa County",12091,8.4,11289,"654 of 3141"
"Nassau County",12089,8.6,4923,"710 of 3141"
"Monroe County",12087,8.8,5246,"743 of 3141"
"Clay County",12019,8.9,12179,"756 of 3141"
"Pinellas County",12103,9.3,67211,"867 of 3141"
"Santa Rosa County",12113,9.3,10766,"877 of 3141"
"Escambia County",12033,9.4,19462,"897 of 3141"
"Martin County",12085,9.7,11596,"960 of 3141"
"Charlotte County",12015,10.0,14099,"1021 of 3141"
"Volusia County",12127,10.4,39552,"1131 of 3141"
"Duval County",12031,10.6,65766,"1198 of 3141"
"Bay County",12005,10.9,13637,"1237 of 3141"
"Manatee County",12081,11.1,29814,"1291 of 3141"
"Pasco County",12101,11.3,40760,"1342 of 3141"
"Lake County",12069,11.4,27240,"1360 of 3141"
"Broward County",12011,11.4,151309,"1365 of 3141"
"Indian River County",12061,11.6,13007,"1397 of 3141"
"Orange County",12095,11.8,100986,"1455 of 3141"
"Hillsborough County",12057,11.8,108113,"1465 of 3141"
"Palm Beach County",12099,11.9,123896,"1478 of 3141"
"Hernando County",12053,12.2,16324,"1531 of 3141"
"Wakulla County",12129,12.5,2842,"1585 of 3141"
"Citrus County",12017,12.6,14146,"1611 of 3141"
"Lee County",12071,12.7,66037,"1615 of 3141"
"Columbia County",12023,13.0,6117,"1662 of 3141"
"Marion County",12083,13.2,33768,"1716 of 3141"
"Collier County",12021,13.5,36199,"1753 of 3141"
"St. Lucie County",12111,13.8,29694,"1804 of 3141"
"Osceola County",12097,14.0,29688,"1821 of 3141"
"Walton County",12131,14.1,6532,"1841 of 3141"
"Gilchrist County",12041,15.5,1802,"2072 of 3141"
"Gulf County",12045,15.7,1898,"2088 of 3141"
"Polk County",12105,15.7,70510,"2097 of 3141"
"Baker County",12003,15.8,2890,"2105 of 3141"
"Highlands County",12055,16.0,12195,"2134 of 3141"
"Levy County",12075,16.5,4756,"2191 of 3141"
"Madison County",12079,17.8,2372,"2360 of 3141"
"Franklin County",12037,18.6,1658,"2448 of 3141"
"Miami-Dade County",12086,19.0,362333,"2485 of 3141"
"Jefferson County",12065,19.1,2088,"2496 of 3141"
"Washington County",12133,19.5,3412,"2551 of 3141"
"Suwannee County",12121,19.8,6054,"2575 of 3141"
"Liberty County",12077,20.2,1144,"2626 of 3141"
"Gadsden County",12039,20.3,6498,"2632 of 3141"
"Jackson County",12063,20.3,7197,"2633 of 3141"
"Putnam County",12107,20.4,10473,"2642 of 3141"
"Taylor County",12123,20.5,3309,"2649 of 3141"
"Dixie County",12029,20.9,2567,"2679 of 3141"
"Bradford County",12007,21.8,4222,"2776 of 3141"
"Calhoun County",12013,22.6,2320,"2827 of 3141"
"Holmes County",12059,23.9,3322,"2908 of 3141"
"Union County",12125,24.1,2723,"2920 of 3141"
"Hamilton County",12047,24.6,2431,"2940 of 3141"
"Okeechobee County",12093,26.1,7269,"3007 of 3141"
"Lafayette County",12067,26.1,1610,"3010 of 3141"
"Glades County",12043,26.3,2607,"3015 of 3141"
"Hardee County",12049,28.0,4847,"3052 of 3141"
"DeSoto County",12027,29.5,7440,"3074 of 3141"
"Hendry County",12051,34.9,8503,"3123 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
