------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Florida",12000,3.0,222709,"15 of 52"
"United States",00000,3.3,3975282,"N/A"
"Gulf County",12045,0.4,21,"3032 of 3141"
"St. Johns County",12109,0.8,704,"2783 of 3141"
"Sumter County",12119,1.0,498,"2664 of 3141"
"Escambia County",12033,1.1,1271,"2532 of 3141"
"Volusia County",12127,1.3,2766,"2229 of 3141"
"Nassau County",12089,1.3,409,"2199 of 3141"
"Sarasota County",12115,1.4,2433,"2179 of 3141"
"Indian River County",12061,1.4,806,"2153 of 3141"
"Brevard County",12009,1.4,3208,"2127 of 3141"
"Charlotte County",12015,1.5,1139,"2003 of 3141"
"Flagler County",12035,1.6,618,"1949 of 3141"
"Marion County",12083,1.6,2148,"1925 of 3141"
"Hernando County",12053,1.6,1166,"1901 of 3141"
"Citrus County",12017,1.6,1009,"1900 of 3141"
"Seminole County",12117,1.7,2669,"1858 of 3141"
"Pinellas County",12103,1.7,6885,"1805 of 3141"
"Pasco County",12101,1.7,3404,"1766 of 3141"
"Okaloosa County",12091,1.8,1399,"1676 of 3141"
"Gilchrist County",12041,1.8,118,"1658 of 3141"
"Bay County",12005,1.9,1306,"1595 of 3141"
"Alachua County",12001,2.0,1937,"1514 of 3141"
"Clay County",12019,2.0,1454,"1478 of 3141"
"Martin County",12085,2.0,1285,"1474 of 3141"
"Holmes County",12059,2.1,144,"1450 of 3141"
"Washington County",12133,2.2,184,"1349 of 3141"
"Leon County",12073,2.2,2425,"1340 of 3141"
"Bradford County",12007,2.2,194,"1337 of 3141"
"Lake County",12069,2.2,2763,"1327 of 3141"
"Santa Rosa County",12113,2.2,1334,"1301 of 3141"
"Union County",12125,2.2,87,"1297 of 3141"
"Duval County",12031,2.2,7711,"1283 of 3141"
"Levy County",12075,2.3,364,"1199 of 3141"
"Jefferson County",12065,2.3,132,"1186 of 3141"
"Wakulla County",12129,2.3,258,"1171 of 3141"
"Manatee County",12081,2.4,3370,"1104 of 3141"
"St. Lucie County",12111,2.4,2649,"1102 of 3141"
"Calhoun County",12013,2.4,112,"1070 of 3141"
"Lee County",12071,2.5,6498,"1063 of 3141"
"Putnam County",12107,2.5,688,"1058 of 3141"
"Franklin County",12037,2.7,116,"897 of 3141"
"Highlands County",12055,2.8,1166,"817 of 3141"
"Orange County",12095,3.0,13663,"727 of 3141"
"Suwannee County",12121,3.1,468,"708 of 3141"
"Columbia County",12023,3.1,762,"695 of 3141"
"Palm Beach County",12099,3.2,17270,"642 of 3141"
"Liberty County",12077,3.2,75,"625 of 3141"
"Glades County",12043,3.3,141,"604 of 3141"
"Jackson County",12063,3.3,563,"591 of 3141"
"Taylor County",12123,3.3,247,"580 of 3141"
"Hillsborough County",12057,3.4,16955,"571 of 3141"
"Osceola County",12097,3.5,3345,"532 of 3141"
"Gadsden County",12039,3.5,607,"520 of 3141"
"Monroe County",12087,3.5,1068,"512 of 3141"
"Baker County",12003,3.6,301,"482 of 3141"
"Hamilton County",12047,3.7,168,"463 of 3141"
"Polk County",12105,3.7,8469,"447 of 3141"
"Walton County",12131,3.9,987,"410 of 3141"
"Broward County",12011,3.9,26253,"409 of 3141"
"Collier County",12021,4.4,6018,"310 of 3141"
"Madison County",12079,4.5,303,"278 of 3141"
"Dixie County",12029,4.6,294,"268 of 3141"
"Okeechobee County",12093,4.6,612,"266 of 3141"
"Lafayette County",12067,5.2,113,"210 of 3141"
"DeSoto County",12027,5.8,684,"163 of 3141"
"Miami-Dade County",12086,6.2,52820,"143 of 3141"
"Hendry County",12051,8.1,984,"79 of 3141"
"Hardee County",12049,9.0,691,"61 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
