------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"Florida",12000,0.3,56730,"37 of 52"
"United States",00000,0.8,2632102,"N/A"
"Clay County",12019,0.1,260,"2505 of 3141"
"Lafayette County",12067,0.1,12,"2457 of 3141"
"Gadsden County",12039,0.1,67,"2430 of 3141"
"Monroe County",12087,0.1,112,"2427 of 3141"
"Miami-Dade County",12086,0.1,4040,"2413 of 3141"
"Hardee County",12049,0.2,41,"2410 of 3141"
"Palm Beach County",12099,0.2,2268,"2375 of 3141"
"Suwannee County",12121,0.2,75,"2318 of 3141"
"Lee County",12071,0.2,1246,"2282 of 3141"
"Seminole County",12117,0.2,828,"2249 of 3141"
"Gilchrist County",12041,0.2,33,"2202 of 3141"
"Orange County",12095,0.2,2563,"2168 of 3141"
"Sarasota County",12115,0.2,837,"2124 of 3141"
"Columbia County",12023,0.2,146,"2095 of 3141"
"Duval County",12031,0.2,1956,"2090 of 3141"
"Madison County",12079,0.2,45,"1977 of 3141"
"Leon County",12073,0.2,703,"1967 of 3141"
"Manatee County",12081,0.2,908,"1952 of 3141"
"Indian River County",12061,0.3,370,"1949 of 3141"
"Broward County",12011,0.3,5050,"1863 of 3141"
"Hernando County",12053,0.3,516,"1779 of 3141"
"Pinellas County",12103,0.3,2749,"1774 of 3141"
"Charlotte County",12015,0.3,508,"1759 of 3141"
"DeSoto County",12027,0.3,106,"1740 of 3141"
"Collier County",12021,0.3,1066,"1730 of 3141"
"Putnam County",12107,0.3,218,"1723 of 3141"
"Hillsborough County",12057,0.3,4080,"1719 of 3141"
"St. Johns County",12109,0.3,692,"1703 of 3141"
"Polk County",12105,0.3,2037,"1667 of 3141"
"Marion County",12083,0.3,1080,"1657 of 3141"
"St. Lucie County",12111,0.3,949,"1644 of 3141"
"Sumter County",12119,0.3,371,"1642 of 3141"
"Highlands County",12055,0.3,319,"1641 of 3141"
"Alachua County",12001,0.3,855,"1606 of 3141"
"Bradford County",12007,0.3,89,"1588 of 3141"
"Brevard County",12009,0.3,1945,"1553 of 3141"
"Levy County",12075,0.3,136,"1552 of 3141"
"Wakulla County",12129,0.4,111,"1516 of 3141"
"Citrus County",12017,0.4,499,"1510 of 3141"
"Pasco County",12101,0.4,1789,"1498 of 3141"
"Liberty County",12077,0.4,30,"1495 of 3141"
"Volusia County",12127,0.4,1920,"1457 of 3141"
"Lake County",12069,0.4,1234,"1439 of 3141"
"Flagler County",12035,0.4,401,"1432 of 3141"
"Baker County",12003,0.4,106,"1419 of 3141"
"Nassau County",12089,0.4,310,"1388 of 3141"
"Dixie County",12029,0.4,67,"1351 of 3141"
"Jefferson County",12065,0.4,59,"1334 of 3141"
"Franklin County",12037,0.4,51,"1280 of 3141"
"Taylor County",12123,0.5,101,"1254 of 3141"
"Escambia County",12033,0.5,1411,"1249 of 3141"
"Gulf County",12045,0.5,73,"1246 of 3141"
"Osceola County",12097,0.5,1573,"1191 of 3141"
"Santa Rosa County",12113,0.5,871,"1120 of 3141"
"Hamilton County",12047,0.6,82,"1052 of 3141"
"Martin County",12085,0.6,912,"1037 of 3141"
"Okaloosa County",12091,0.6,1179,"1025 of 3141"
"Walton County",12131,0.6,397,"986 of 3141"
"Union County",12125,0.7,101,"940 of 3141"
"Jackson County",12063,0.7,358,"855 of 3141"
"Bay County",12005,0.8,1389,"822 of 3141"
"Calhoun County",12013,0.9,135,"710 of 3141"
"Okeechobee County",12093,1.0,391,"680 of 3141"
"Holmes County",12059,1.1,220,"587 of 3141"
"Washington County",12133,1.5,370,"459 of 3141"
"Hendry County",12051,2.0,791,"379 of 3141"
"Glades County",12043,4.0,523,"236 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
