------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Florida",12000,2.8,564263,"27 of 51"
"Lafayette County",12067,0.4,37,"137 of 3140"
"Hardee County",12049,0.5,142,"196 of 3140"
"Gadsden County",12039,0.6,287,"268 of 3140"
"Taylor County",12123,0.6,139,"270 of 3140"
"Washington County",12133,0.7,167,"324 of 3140"
"Wakulla County",12129,0.8,235,"369 of 3140"
"Hamilton County",12047,0.8,115,"438 of 3140"
"Miami-Dade County",12086,0.9,24973,"570 of 3140"
"Madison County",12079,0.9,174,"587 of 3140"
"Baker County",12003,1.0,281,"680 of 3140"
"Suwannee County",12121,1.1,466,"729 of 3140"
"Union County",12125,1.2,177,"850 of 3140"
"Gilchrist County",12041,1.2,203,"880 of 3140"
"Liberty County",12077,1.2,103,"948 of 3140"
"Bradford County",12007,1.5,404,"1278 of 3140"
"Okeechobee County",12093,1.8,733,"1648 of 3140"
"Broward County",12011,1.9,35977,"1713 of 3140"
"Columbia County",12023,1.9,1314,"1731 of 3140"
"Jefferson County",12065,1.9,271,"1737 of 3140"
"Putnam County",12107,1.9,1399,"1739 of 3140"
"Jackson County",12063,2.1,1025,"1899 of 3140"
"DeSoto County",12027,2.1,756,"1904 of 3140"
"Seminole County",12117,2.3,10284,"2035 of 3140"
"Hendry County",12051,2.3,898,"2048 of 3140"
"Holmes County",12059,2.4,460,"2081 of 3140"
"Dixie County",12029,2.4,386,"2087 of 3140"
"Osceola County",12097,2.4,7722,"2102 of 3140"
"Calhoun County",12013,2.4,345,"2103 of 3140"
"Levy County",12075,2.4,949,"2107 of 3140"
"Franklin County",12037,2.6,299,"2211 of 3140"
"Alachua County",12001,2.6,6718,"2227 of 3140"
"Palm Beach County",12099,2.6,37154,"2240 of 3140"
"St. Lucie County",12111,2.7,8087,"2300 of 3140"
"Pasco County",12101,2.7,13527,"2309 of 3140"
"Leon County",12073,2.8,8043,"2366 of 3140"
"Polk County",12105,2.9,18383,"2368 of 3140"
"Hillsborough County",12057,2.9,38359,"2384 of 3140"
"Orange County",12095,2.9,36897,"2391 of 3140"
"Highlands County",12055,3.0,2978,"2451 of 3140"
"Marion County",12083,3.1,10411,"2474 of 3140"
"Volusia County",12127,3.1,15714,"2476 of 3140"
"Duval County",12031,3.2,28359,"2522 of 3140"
"Gulf County",12045,3.2,503,"2529 of 3140"
"Lake County",12069,3.2,10227,"2531 of 3140"
"Hernando County",12053,3.2,5653,"2540 of 3140"
"Nassau County",12089,3.3,2526,"2575 of 3140"
"Glades County",12043,3.3,430,"2579 of 3140"
"Pinellas County",12103,3.3,30860,"2584 of 3140"
"Martin County",12085,3.4,5207,"2618 of 3140"
"Citrus County",12017,3.4,4742,"2621 of 3140"
"Brevard County",12009,3.6,20108,"2687 of 3140"
"Indian River County",12061,3.6,5344,"2710 of 3140"
"Sarasota County",12115,3.8,15244,"2745 of 3140"
"Clay County",12019,3.8,7647,"2748 of 3140"
"Lee County",12071,3.9,26968,"2769 of 3140"
"Flagler County",12035,4.1,4260,"2816 of 3140"
"Walton County",12131,4.1,2577,"2825 of 3140"
"Manatee County",12081,4.3,15335,"2852 of 3140"
"St. Johns County",12109,4.3,9665,"2858 of 3140"
"Collier County",12021,4.3,15355,"2866 of 3140"
"Bay County",12005,4.5,7924,"2899 of 3140"
"Charlotte County",12015,4.8,8311,"2948 of 3140"
"Monroe County",12087,5.1,3897,"2980 of 3140"
"Sumter County",12119,5.4,6236,"3007 of 3140"
"Santa Rosa County",12113,5.9,9691,"3040 of 3140"
"Escambia County",12033,5.9,18007,"3042 of 3140"
"Okaloosa County",12091,6.3,12195,"3060 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
