------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"United States",00000,32.4,104105673,"N/A"
"Florida",12000,32.8,6652874,"34 of 52"
"Sumter County",12119,26.5,30998,"98 of 3141"
"Alachua County",12001,26.8,69521,"111 of 3141"
"Leon County",12073,27.0,77137,"121 of 3141"
"Highlands County",12055,27.7,27759,"165 of 3141"
"Hardee County",12049,28.9,7889,"264 of 3141"
"Hendry County",12051,29.5,11531,"327 of 3141"
"DeSoto County",12027,29.9,10677,"389 of 3141"
"Collier County",12021,30.3,107965,"443 of 3141"
"Okaloosa County",12091,30.8,60813,"543 of 3141"
"Polk County",12105,30.8,200955,"555 of 3141"
"Marion County",12083,31.0,106407,"588 of 3141"
"Escambia County",12033,31.0,96029,"593 of 3141"
"Orange County",12095,31.3,403349,"663 of 3141"
"Glades County",12043,31.6,4172,"778 of 3141"
"Lee County",12071,31.6,221354,"779 of 3141"
"Indian River County",12061,31.8,47090,"841 of 3141"
"Osceola County",12097,31.8,103509,"846 of 3141"
"Lake County",12069,31.9,104128,"880 of 3141"
"Sarasota County",12115,31.9,129244,"882 of 3141"
"Citrus County",12017,32.0,45265,"914 of 3141"
"Okeechobee County",12093,32.1,12901,"933 of 3141"
"Duval County",12031,32.1,292620,"938 of 3141"
"Charlotte County",12015,32.1,55614,"946 of 3141"
"Palm Beach County",12099,32.2,459403,"985 of 3141"
"Hillsborough County",12057,32.4,437117,"1051 of 3141"
"Liberty County",12077,32.4,2705,"1079 of 3141"
"Baker County",12003,32.5,8944,"1107 of 3141"
"Hernando County",12053,32.5,58191,"1109 of 3141"
"St. Lucie County",12111,32.5,97047,"1110 of 3141"
"Manatee County",12081,32.5,118222,"1120 of 3141"
"Suwannee County",12121,32.6,14304,"1172 of 3141"
"Calhoun County",12013,32.7,4721,"1176 of 3141"
"Gilchrist County",12041,32.8,5640,"1240 of 3141"
"Bay County",12005,33.2,59781,"1426 of 3141"
"Columbia County",12023,33.2,22731,"1427 of 3141"
"Martin County",12085,33.3,51918,"1494 of 3141"
"Putnam County",12107,33.4,24198,"1533 of 3141"
"Pasco County",12101,33.4,166441,"1538 of 3141"
"Flagler County",12035,33.5,35196,"1602 of 3141"
"Taylor County",12123,33.5,7497,"1613 of 3141"
"Bradford County",12007,33.6,9003,"1657 of 3141"
"Holmes County",12059,33.7,6571,"1716 of 3141"
"Madison County",12079,33.7,6246,"1717 of 3141"
"Jackson County",12063,33.8,16393,"1729 of 3141"
"Levy County",12075,33.8,13433,"1776 of 3141"
"Volusia County",12127,34.0,176464,"1883 of 3141"
"Miami-Dade County",12086,34.0,920074,"1896 of 3141"
"Seminole County",12117,34.3,154019,"2005 of 3141"
"Lafayette County",12067,34.3,2980,"2025 of 3141"
"Franklin County",12037,34.4,4019,"2081 of 3141"
"Santa Rosa County",12113,34.4,57448,"2099 of 3141"
"Broward County",12011,34.5,652009,"2122 of 3141"
"Gadsden County",12039,34.8,16031,"2249 of 3141"
"Walton County",12131,34.9,22163,"2330 of 3141"
"Clay County",12019,34.9,71009,"2335 of 3141"
"Brevard County",12009,35.0,198779,"2357 of 3141"
"Washington County",12133,35.1,8594,"2417 of 3141"
"Hamilton County",12047,35.5,5049,"2532 of 3141"
"Pinellas County",12103,35.6,337670,"2564 of 3141"
"Union County",12125,35.7,5459,"2598 of 3141"
"Dixie County",12029,35.7,5831,"2619 of 3141"
"St. Johns County",12109,35.8,81038,"2631 of 3141"
"Nassau County",12089,35.8,28086,"2646 of 3141"
"Jefferson County",12065,37.6,5293,"3003 of 3141"
"Gulf County",12045,37.8,6055,"3017 of 3141"
"Wakulla County",12129,38.3,12097,"3052 of 3141"
"Monroe County",12087,39.2,30078,"3085 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
