------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Florida",12000,5.1,733714,"38 of 52"
"United States",00000,5.4,11759554,"N/A"
"St. Johns County",12109,1.6,2594,"176 of 3141"
"Seminole County",12117,2.0,6392,"343 of 3141"
"Leon County",12073,2.1,3473,"364 of 3141"
"Santa Rosa County",12113,2.4,2770,"519 of 3141"
"Sumter County",12119,2.4,2519,"528 of 3141"
"Brevard County",12009,2.4,10254,"542 of 3141"
"Escambia County",12033,2.5,5142,"569 of 3141"
"Flagler County",12035,2.5,2012,"591 of 3141"
"Sarasota County",12115,2.6,8201,"602 of 3141"
"Clay County",12019,2.6,3552,"626 of 3141"
"Wakulla County",12129,2.7,618,"703 of 3141"
"Okaloosa County",12091,2.8,3707,"731 of 3141"
"Alachua County",12001,2.8,4345,"746 of 3141"
"Charlotte County",12015,2.8,3996,"781 of 3141"
"Volusia County",12127,2.9,10903,"805 of 3141"
"Pinellas County",12103,3.0,21949,"924 of 3141"
"Bay County",12005,3.1,3871,"943 of 3141"
"Duval County",12031,3.1,19108,"950 of 3141"
"Nassau County",12089,3.2,1818,"1008 of 3141"
"Citrus County",12017,3.3,3650,"1039 of 3141"
"Pasco County",12101,3.4,12301,"1128 of 3141"
"Hernando County",12053,3.6,4819,"1242 of 3141"
"Lake County",12069,3.6,8717,"1254 of 3141"
"Marion County",12083,3.6,9296,"1257 of 3141"
"Walton County",12131,3.7,1707,"1279 of 3141"
"Levy County",12075,3.9,1128,"1392 of 3141"
"Martin County",12085,4.0,4815,"1449 of 3141"
"Monroe County",12087,4.1,2430,"1465 of 3141"
"Columbia County",12023,4.2,1998,"1539 of 3141"
"Manatee County",12081,4.4,11766,"1608 of 3141"
"Indian River County",12061,4.5,5054,"1660 of 3141"
"Gilchrist County",12041,4.5,521,"1661 of 3141"
"Gulf County",12045,4.5,548,"1670 of 3141"
"Baker County",12003,4.6,850,"1734 of 3141"
"Orange County",12095,4.7,40508,"1779 of 3141"
"Hillsborough County",12057,4.8,44103,"1808 of 3141"
"Madison County",12079,5.0,664,"1857 of 3141"
"Broward County",12011,5.0,66008,"1859 of 3141"
"Franklin County",12037,5.3,473,"1967 of 3141"
"Lee County",12071,5.3,27749,"1968 of 3141"
"Osceola County",12097,5.4,11540,"1998 of 3141"
"Holmes County",12059,5.5,771,"2031 of 3141"
"Suwannee County",12121,5.5,1696,"2038 of 3141"
"Taylor County",12123,5.6,909,"2071 of 3141"
"St. Lucie County",12111,5.7,12204,"2095 of 3141"
"Jackson County",12063,5.7,2031,"2110 of 3141"
"Palm Beach County",12099,5.9,61296,"2172 of 3141"
"Washington County",12133,6.0,1047,"2203 of 3141"
"Jefferson County",12065,6.1,666,"2225 of 3141"
"Bradford County",12007,6.2,1197,"2257 of 3141"
"Highlands County",12055,6.3,4797,"2295 of 3141"
"Polk County",12105,6.3,28433,"2309 of 3141"
"Gadsden County",12039,6.5,2074,"2347 of 3141"
"Union County",12125,6.6,743,"2365 of 3141"
"Hamilton County",12047,6.6,657,"2383 of 3141"
"Liberty County",12077,6.8,387,"2438 of 3141"
"Putnam County",12107,7.0,3594,"2471 of 3141"
"Collier County",12021,7.3,19628,"2542 of 3141"
"Calhoun County",12013,7.9,817,"2642 of 3141"
"Dixie County",12029,8.1,994,"2656 of 3141"
"Lafayette County",12067,9.5,586,"2831 of 3141"
"Miami-Dade County",12086,10.2,194934,"2889 of 3141"
"Okeechobee County",12093,11.7,3276,"2968 of 3141"
"Glades County",12043,11.9,1178,"2976 of 3141"
"DeSoto County",12027,16.3,4119,"3080 of 3141"
"Hardee County",12049,17.2,2969,"3090 of 3141"
"Hendry County",12051,19.8,4842,"3114 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
