------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"Florida",12000,3.1,618995,"23 of 51"
"United States",00000,3.2,10247779,"N/A"
"Miami-Dade County",12086,1.0,26660,"49 of 3140"
"Lee County",12071,2.1,14475,"378 of 3140"
"Brevard County",12009,2.1,12015,"407 of 3140"
"Pinellas County",12103,2.2,20587,"436 of 3140"
"Palm Beach County",12099,2.3,32404,"498 of 3140"
"Collier County",12021,2.3,8177,"506 of 3140"
"Bay County",12005,2.4,4211,"541 of 3140"
"Broward County",12011,2.4,45077,"564 of 3140"
"Flagler County",12035,2.5,2637,"646 of 3140"
"Duval County",12031,2.6,23577,"712 of 3140"
"Escambia County",12033,2.7,8339,"789 of 3140"
"Okaloosa County",12091,2.7,5309,"792 of 3140"
"Hillsborough County",12057,2.7,36411,"795 of 3140"
"Hardee County",12049,2.7,743,"801 of 3140"
"Sarasota County",12115,2.8,11275,"849 of 3140"
"Polk County",12105,2.8,18281,"867 of 3140"
"Okeechobee County",12093,3.0,1188,"968 of 3140"
"Highlands County",12055,3.0,3000,"985 of 3140"
"Monroe County",12087,3.2,2455,"1142 of 3140"
"Volusia County",12127,3.2,16555,"1144 of 3140"
"Citrus County",12017,3.3,4641,"1197 of 3140"
"Putnam County",12107,3.4,2433,"1251 of 3140"
"Manatee County",12081,3.5,12725,"1368 of 3140"
"Pasco County",12101,3.6,17795,"1433 of 3140"
"Sumter County",12119,3.6,4216,"1448 of 3140"
"Marion County",12083,3.7,12462,"1471 of 3140"
"Hendry County",12051,3.7,1413,"1472 of 3140"
"Indian River County",12061,3.7,5444,"1511 of 3140"
"Osceola County",12097,3.7,12005,"1536 of 3140"
"Orange County",12095,3.9,49794,"1646 of 3140"
"Nassau County",12089,4.0,3081,"1686 of 3140"
"St. Lucie County",12111,4.2,12453,"1825 of 3140"
"Charlotte County",12015,4.4,7521,"1916 of 3140"
"Hernando County",12053,4.7,8292,"2074 of 3140"
"Santa Rosa County",12113,4.8,7844,"2136 of 3140"
"Lake County",12069,5.0,16041,"2245 of 3140"
"Seminole County",12117,5.1,22689,"2305 of 3140"
"Walton County",12131,5.2,3272,"2362 of 3140"
"Glades County",12043,5.4,706,"2428 of 3140"
"Martin County",12085,5.4,8335,"2443 of 3140"
"Levy County",12075,5.6,2184,"2503 of 3140"
"DeSoto County",12027,5.9,2090,"2612 of 3140"
"St. Johns County",12109,6.0,13563,"2641 of 3140"
"Suwannee County",12121,6.2,2704,"2689 of 3140"
"Calhoun County",12013,6.5,932,"2742 of 3140"
"Clay County",12019,6.7,13439,"2773 of 3140"
"Alachua County",12001,6.7,17369,"2790 of 3140"
"Leon County",12073,7.2,20355,"2861 of 3140"
"Dixie County",12029,7.3,1179,"2871 of 3140"
"Wakulla County",12129,7.4,2320,"2888 of 3140"
"Bradford County",12007,7.5,2008,"2904 of 3140"
"Gadsden County",12039,7.6,3473,"2913 of 3140"
"Baker County",12003,7.7,2080,"2919 of 3140"
"Jackson County",12063,7.9,3821,"2941 of 3140"
"Madison County",12079,8.3,1530,"2974 of 3140"
"Gilchrist County",12041,8.4,1434,"2983 of 3140"
"Columbia County",12023,8.5,5736,"2990 of 3140"
"Holmes County",12059,8.7,1681,"3002 of 3140"
"Washington County",12133,9.2,2230,"3031 of 3140"
"Gulf County",12045,9.3,1480,"3035 of 3140"
"Taylor County",12123,9.5,2087,"3043 of 3140"
"Lafayette County",12067,9.7,832,"3053 of 3140"
"Franklin County",12037,10.2,1183,"3062 of 3140"
"Jefferson County",12065,10.3,1429,"3066 of 3140"
"Liberty County",12077,10.7,883,"3083 of 3140"
"Hamilton County",12047,13.4,1901,"3120 of 3140"
"Union County",12125,16.7,2534,"3137 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
