------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"Florida",12000,26.0,5162521,"37 of 52"
"St. Johns County",12109,15.0,33505,"237 of 3141"
"Sumter County",12119,16.3,17530,"324 of 3141"
"Nassau County",12089,18.5,14334,"535 of 3141"
"Sarasota County",12115,18.7,74850,"586 of 3141"
"Clay County",12019,19.3,38813,"634 of 3141"
"Santa Rosa County",12113,19.5,31224,"676 of 3141"
"Okaloosa County",12091,19.5,37510,"679 of 3141"
"Martin County",12085,19.8,30224,"711 of 3141"
"Seminole County",12117,19.8,88207,"717 of 3141"
"Wakulla County",12129,21.1,5914,"891 of 3141"
"Monroe County",12087,21.3,16069,"933 of 3141"
"Collier County",12021,21.7,76697,"973 of 3141"
"Brevard County",12009,22.6,126759,"1086 of 3141"
"Charlotte County",12015,22.6,38343,"1096 of 3141"
"Palm Beach County",12099,22.8,321581,"1129 of 3141"
"Manatee County",12081,23.1,82907,"1151 of 3141"
"Pinellas County",12103,23.3,217755,"1183 of 3141"
"Gulf County",12045,23.3,3176,"1189 of 3141"
"Lake County",12069,23.8,76795,"1260 of 3141"
"Escambia County",12033,23.9,69723,"1273 of 3141"
"Pasco County",12101,24.2,118606,"1316 of 3141"
"Broward County",12011,24.3,454512,"1322 of 3141"
"Baker County",12003,24.4,6076,"1344 of 3141"
"Flagler County",12035,24.4,25361,"1345 of 3141"
"Indian River County",12061,24.5,35943,"1366 of 3141"
"Lee County",12071,24.7,170038,"1394 of 3141"
"Hernando County",12053,25.6,45104,"1521 of 3141"
"Duval County",12031,25.6,227865,"1523 of 3141"
"Bay County",12005,25.6,45428,"1529 of 3141"
"Hillsborough County",12057,25.8,342670,"1550 of 3141"
"Walton County",12131,26.5,16276,"1668 of 3141"
"Volusia County",12127,27.5,139696,"1800 of 3141"
"St. Lucie County",12111,27.5,81475,"1811 of 3141"
"Orange County",12095,27.9,350748,"1873 of 3141"
"Bradford County",12007,28.5,6668,"1956 of 3141"
"Citrus County",12017,28.8,39930,"1989 of 3141"
"Jefferson County",12065,28.9,3332,"2009 of 3141"
"Taylor County",12123,29.0,5275,"2011 of 3141"
"Marion County",12083,29.0,96802,"2013 of 3141"
"Columbia County",12023,29.3,18567,"2052 of 3141"
"Franklin County",12037,29.4,2939,"2064 of 3141"
"Leon County",12073,29.4,80460,"2068 of 3141"
"Polk County",12105,29.7,189966,"2106 of 3141"
"Gilchrist County",12041,31.2,4933,"2287 of 3141"
"Miami-Dade County",12086,31.8,847456,"2346 of 3141"
"Osceola County",12097,31.9,103034,"2352 of 3141"
"Glades County",12043,32.3,3850,"2393 of 3141"
"Alachua County",12001,32.4,79254,"2399 of 3141"
"Highlands County",12055,32.4,32002,"2401 of 3141"
"Jackson County",12063,32.9,13365,"2444 of 3141"
"Calhoun County",12013,34.5,4268,"2591 of 3141"
"Suwannee County",12121,34.7,14591,"2607 of 3141"
"Union County",12125,35.6,3547,"2679 of 3141"
"Washington County",12133,35.6,7869,"2680 of 3141"
"Levy County",12075,36.3,14217,"2730 of 3141"
"Gadsden County",12039,36.5,15688,"2757 of 3141"
"Hamilton County",12047,36.6,3986,"2761 of 3141"
"Okeechobee County",12093,37.4,13866,"2813 of 3141"
"Lafayette County",12067,37.6,2671,"2820 of 3141"
"Liberty County",12077,38.5,2655,"2862 of 3141"
"Dixie County",12029,38.9,5714,"2883 of 3141"
"Holmes County",12059,39.6,6966,"2903 of 3141"
"Putnam County",12107,40.5,28685,"2941 of 3141"
"Hardee County",12049,40.6,10350,"2946 of 3141"
"Hendry County",12051,40.9,15613,"2953 of 3141"
"DeSoto County",12027,44.3,14968,"3033 of 3141"
"Madison County",12079,44.5,7320,"3041 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
