------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"Florida",12000,75.3,15263432,"7 of 52"
"United States",00000,82.4,264493836,"N/A"
"Miami-Dade County",12086,32.5,879564,"36 of 3141"
"Hendry County",12051,48.1,18806,"92 of 3141"
"Osceola County",12097,48.4,157371,"94 of 3141"
"Hardee County",12049,56.8,15525,"131 of 3141"
"DeSoto County",12027,69.5,24788,"224 of 3141"
"Orange County",12095,69.8,901211,"226 of 3141"
"Broward County",12011,71.6,1354429,"242 of 3141"
"Hillsborough County",12057,72.6,980260,"254 of 3141"
"Collier County",12021,72.8,259826,"258 of 3141"
"Okeechobee County",12093,75.0,30176,"291 of 3141"
"Monroe County",12087,76.5,58724,"313 of 3141"
"Palm Beach County",12099,78.7,1122562,"353 of 3141"
"Glades County",12043,79.2,10452,"364 of 3141"
"Polk County",12105,79.4,517857,"367 of 3141"
"Lee County",12071,79.8,558621,"375 of 3141"
"Seminole County",12117,79.9,359141,"380 of 3141"
"Highlands County",12055,81.1,81284,"410 of 3141"
"St. Lucie County",12111,81.9,244611,"425 of 3141"
"Manatee County",12081,84.1,305891,"483 of 3141"
"Lake County",12069,85.6,279206,"532 of 3141"
"Lafayette County",12067,85.7,7446,"539 of 3141"
"Pasco County",12101,86.0,428272,"550 of 3141"
"Martin County",12085,86.8,135170,"572 of 3141"
"Volusia County",12127,87.1,451917,"579 of 3141"
"Marion County",12083,87.6,301311,"604 of 3141"
"Hernando County",12053,87.8,157279,"612 of 3141"
"Indian River County",12061,87.9,130109,"622 of 3141"
"Gadsden County",12039,90.0,41483,"727 of 3141"
"Flagler County",12035,90.0,94519,"735 of 3141"
"Putnam County",12107,90.2,65356,"751 of 3141"
"Brevard County",12009,90.3,513141,"761 of 3141"
"Clay County",12019,90.7,184401,"785 of 3141"
"Alachua County",12001,90.7,235806,"787 of 3141"
"Hamilton County",12047,90.8,12928,"798 of 3141"
"Pinellas County",12103,90.8,862921,"800 of 3141"
"Duval County",12031,91.0,830404,"814 of 3141"
"Suwannee County",12121,91.2,39948,"823 of 3141"
"Sarasota County",12115,91.2,369145,"824 of 3141"
"Okaloosa County",12091,91.3,180482,"836 of 3141"
"Levy County",12075,92.0,36535,"894 of 3141"
"Charlotte County",12015,93.1,161363,"1008 of 3141"
"St. Johns County",12109,93.6,212094,"1074 of 3141"
"Leon County",12073,93.9,268384,"1104 of 3141"
"Walton County",12131,94.0,59643,"1126 of 3141"
"Bay County",12005,94.0,169297,"1127 of 3141"
"Columbia County",12023,94.2,64507,"1157 of 3141"
"Calhoun County",12013,94.2,13622,"1165 of 3141"
"Sumter County",12119,94.3,110146,"1188 of 3141"
"Gilchrist County",12041,94.5,16244,"1219 of 3141"
"Escambia County",12033,94.5,292989,"1224 of 3141"
"Union County",12125,94.6,14469,"1230 of 3141"
"Citrus County",12017,94.7,133845,"1254 of 3141"
"Santa Rosa County",12113,94.8,158042,"1265 of 3141"
"Franklin County",12037,94.8,11069,"1276 of 3141"
"Madison County",12079,94.9,17582,"1304 of 3141"
"Liberty County",12077,95.1,7941,"1347 of 3141"
"Gulf County",12045,95.2,15256,"1370 of 3141"
"Jackson County",12063,95.4,46313,"1392 of 3141"
"Taylor County",12123,95.9,21435,"1538 of 3141"
"Jefferson County",12065,96.0,13517,"1554 of 3141"
"Dixie County",12029,96.1,15691,"1596 of 3141"
"Bradford County",12007,96.2,25754,"1612 of 3141"
"Nassau County",12089,96.2,75456,"1618 of 3141"
"Wakulla County",12129,96.4,30450,"1673 of 3141"
"Washington County",12133,96.5,23605,"1686 of 3141"
"Holmes County",12059,97.3,18951,"2006 of 3141"
"Baker County",12003,97.6,26889,"2184 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
