------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"Florida",12000,51.1,10364086,"37 of 52"
"Union County",12125,35.2,5378,"10 of 3141"
"Liberty County",12077,37.5,3131,"18 of 3141"
"Gulf County",12045,40.1,6423,"37 of 3141"
"Lafayette County",12067,41.2,3580,"48 of 3141"
"Hamilton County",12047,42.2,6010,"63 of 3141"
"Franklin County",12037,42.4,4948,"64 of 3141"
"Glades County",12043,43.3,5718,"77 of 3141"
"DeSoto County",12027,43.4,15491,"79 of 3141"
"Taylor County",12123,43.9,9803,"84 of 3141"
"Wakulla County",12129,44.5,14058,"101 of 3141"
"Dixie County",12029,44.6,7275,"104 of 3141"
"Jackson County",12063,44.6,21684,"107 of 3141"
"Bradford County",12007,44.9,12021,"114 of 3141"
"Calhoun County",12013,45.6,6586,"138 of 3141"
"Washington County",12133,45.7,11172,"141 of 3141"
"Okeechobee County",12093,45.9,18461,"156 of 3141"
"Hardee County",12049,46.1,12610,"170 of 3141"
"Jefferson County",12065,46.4,6531,"185 of 3141"
"Holmes County",12059,46.4,9034,"186 of 3141"
"Hendry County",12051,47.0,18348,"239 of 3141"
"Madison County",12079,47.1,8714,"252 of 3141"
"Monroe County",12087,47.6,36527,"298 of 3141"
"Baker County",12003,47.6,13115,"303 of 3141"
"Gilchrist County",12041,47.7,8208,"318 of 3141"
"Columbia County",12023,48.3,33059,"413 of 3141"
"Santa Rosa County",12113,48.8,81404,"543 of 3141"
"Walton County",12131,49.2,31241,"676 of 3141"
"Okaloosa County",12091,49.3,97352,"695 of 3141"
"Suwannee County",12121,49.3,21610,"724 of 3141"
"Sumter County",12119,49.6,57871,"848 of 3141"
"Bay County",12005,50.3,90575,"1452 of 3141"
"Escambia County",12033,50.4,156090,"1535 of 3141"
"Martin County",12085,50.5,78621,"1672 of 3141"
"Nassau County",12089,50.7,39729,"1883 of 3141"
"Osceola County",12097,50.7,164952,"1978 of 3141"
"Putnam County",12107,50.7,36752,"1987 of 3141"
"Clay County",12019,50.8,103172,"2001 of 3141"
"Collier County",12021,50.8,181166,"2031 of 3141"
"Orange County",12095,50.9,656381,"2132 of 3141"
"Polk County",12105,51.0,332481,"2227 of 3141"
"Lee County",12071,51.1,357434,"2292 of 3141"
"Levy County",12075,51.1,20298,"2362 of 3141"
"St. Lucie County",12111,51.1,152738,"2375 of 3141"
"Brevard County",12009,51.1,290517,"2382 of 3141"
"Hillsborough County",12057,51.3,692448,"2491 of 3141"
"Charlotte County",12015,51.3,88804,"2495 of 3141"
"Volusia County",12127,51.3,266009,"2514 of 3141"
"Broward County",12011,51.3,970151,"2535 of 3141"
"Pasco County",12101,51.3,255688,"2547 of 3141"
"St. Johns County",12109,51.4,116466,"2595 of 3141"
"Miami-Dade County",12086,51.5,1390605,"2629 of 3141"
"Duval County",12031,51.5,469928,"2670 of 3141"
"Citrus County",12017,51.6,72886,"2689 of 3141"
"Palm Beach County",12099,51.6,735618,"2691 of 3141"
"Highlands County",12055,51.6,51659,"2698 of 3141"
"Lake County",12069,51.6,168318,"2713 of 3141"
"Alachua County",12001,51.6,134153,"2727 of 3141"
"Manatee County",12081,51.7,187781,"2747 of 3141"
"Seminole County",12117,51.7,232161,"2763 of 3141"
"Flagler County",12035,52.0,54579,"2885 of 3141"
"Indian River County",12061,52.0,76917,"2888 of 3141"
"Pinellas County",12103,52.0,493825,"2890 of 3141"
"Marion County",12083,52.0,178794,"2896 of 3141"
"Hernando County",12053,52.1,93362,"2924 of 3141"
"Sarasota County",12115,52.2,211511,"2959 of 3141"
"Leon County",12073,52.4,149910,"2997 of 3141"
"Gadsden County",12039,52.6,24244,"3014 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
