------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Florida",12000,8.9,1793588,"35 of 51"
"Jefferson County",12065,1.7,230,"68 of 3140"
"Lafayette County",12067,1.7,144,"69 of 3140"
"Union County",12125,1.8,275,"81 of 3140"
"Liberty County",12077,2.1,174,"109 of 3140"
"Bradford County",12007,2.3,609,"130 of 3140"
"Glades County",12043,2.4,312,"143 of 3140"
"Okeechobee County",12093,3.3,1305,"314 of 3140"
"Franklin County",12037,3.5,402,"358 of 3140"
"Gulf County",12045,3.5,560,"381 of 3140"
"Gadsden County",12039,3.6,1640,"395 of 3140"
"Gilchrist County",12041,3.6,621,"406 of 3140"
"Flagler County",12035,4.0,4150,"523 of 3140"
"Sumter County",12119,4.0,4659,"536 of 3140"
"Calhoun County",12013,4.4,633,"670 of 3140"
"Taylor County",12123,4.4,973,"673 of 3140"
"Hardee County",12049,4.7,1262,"769 of 3140"
"Madison County",12079,4.8,880,"820 of 3140"
"Washington County",12133,4.9,1179,"854 of 3140"
"Dixie County",12029,5.0,806,"906 of 3140"
"DeSoto County",12027,5.5,1945,"1157 of 3140"
"Martin County",12085,5.7,8874,"1283 of 3140"
"Seminole County",12117,5.9,26252,"1372 of 3140"
"Hamilton County",12047,5.9,838,"1393 of 3140"
"Putnam County",12107,5.9,4263,"1396 of 3140"
"Pasco County",12101,5.9,29293,"1398 of 3140"
"Holmes County",12059,6.0,1164,"1438 of 3140"
"Suwannee County",12121,6.0,2617,"1448 of 3140"
"Hernando County",12053,6.1,10761,"1466 of 3140"
"Wakulla County",12129,6.1,1920,"1503 of 3140"
"Indian River County",12061,6.2,9071,"1526 of 3140"
"Osceola County",12097,6.3,20213,"1583 of 3140"
"Levy County",12075,6.3,2483,"1596 of 3140"
"Jackson County",12063,6.3,3037,"1599 of 3140"
"Clay County",12019,6.4,12946,"1645 of 3140"
"Nassau County",12089,6.7,5200,"1760 of 3140"
"St. Lucie County",12111,6.8,20210,"1809 of 3140"
"Charlotte County",12015,6.9,11847,"1828 of 3140"
"St. Johns County",12109,6.9,15575,"1840 of 3140"
"Baker County",12003,7.0,1890,"1848 of 3140"
"Hendry County",12051,7.2,2781,"1963 of 3140"
"Volusia County",12127,7.3,37709,"2028 of 3140"
"Columbia County",12023,7.8,5246,"2186 of 3140"
"Lake County",12069,7.8,25174,"2200 of 3140"
"Citrus County",12017,7.9,11102,"2237 of 3140"
"Sarasota County",12115,7.9,31854,"2247 of 3140"
"Marion County",12083,7.9,27037,"2249 of 3140"
"Santa Rosa County",12113,8.0,13129,"2256 of 3140"
"Manatee County",12081,8.0,28699,"2258 of 3140"
"Miami-Dade County",12086,8.2,218528,"2328 of 3140"
"Walton County",12131,8.2,5145,"2336 of 3140"
"Brevard County",12009,8.4,47130,"2374 of 3140"
"Polk County",12105,8.6,55421,"2434 of 3140"
"Escambia County",12033,9.0,27400,"2545 of 3140"
"Collier County",12021,9.0,31767,"2554 of 3140"
"Lee County",12071,9.0,62416,"2556 of 3140"
"Highlands County",12055,9.0,8942,"2559 of 3140"
"Monroe County",12087,9.2,6997,"2606 of 3140"
"Palm Beach County",12099,9.4,132445,"2649 of 3140"
"Okaloosa County",12091,9.4,18369,"2670 of 3140"
"Pinellas County",12103,9.7,91155,"2722 of 3140"
"Broward County",12011,10.2,189907,"2812 of 3140"
"Orange County",12095,10.4,133127,"2864 of 3140"
"Hillsborough County",12057,11.5,153104,"2992 of 3140"
"Bay County",12005,12.8,22640,"3078 of 3140"
"Alachua County",12001,12.9,33190,"3081 of 3140"
"Duval County",12031,13.2,118517,"3090 of 3140"
"Leon County",12073,15.4,43444,"3129 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
