------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Florida",12000,48.9,9914361,"16 of 52"
"United States",00000,49.2,158018753,"N/A"
"Gadsden County",12039,47.4,21869,"128 of 3141"
"Leon County",12073,47.6,135980,"145 of 3141"
"Sarasota County",12115,47.8,193328,"183 of 3141"
"Hernando County",12053,47.9,85782,"218 of 3141"
"Marion County",12083,48.0,164984,"246 of 3141"
"Pinellas County",12103,48.0,456017,"252 of 3141"
"Indian River County",12061,48.0,71064,"254 of 3141"
"Flagler County",12035,48.0,50436,"257 of 3141"
"Seminole County",12117,48.3,217099,"379 of 3141"
"Manatee County",12081,48.3,175761,"395 of 3141"
"Alachua County",12001,48.4,125712,"415 of 3141"
"Lake County",12069,48.4,157897,"429 of 3141"
"Highlands County",12055,48.4,48518,"444 of 3141"
"Palm Beach County",12099,48.4,691154,"451 of 3141"
"Citrus County",12017,48.4,68487,"452 of 3141"
"Duval County",12031,48.5,442115,"472 of 3141"
"Miami-Dade County",12086,48.5,1311997,"513 of 3141"
"St. Johns County",12109,48.6,110112,"547 of 3141"
"Pasco County",12101,48.7,242448,"595 of 3141"
"Broward County",12011,48.7,920265,"607 of 3141"
"Volusia County",12127,48.7,252651,"628 of 3141"
"Charlotte County",12015,48.7,84432,"647 of 3141"
"Hillsborough County",12057,48.7,658639,"651 of 3141"
"Brevard County",12009,48.9,277666,"759 of 3141"
"St. Lucie County",12111,48.9,146025,"767 of 3141"
"Levy County",12075,48.9,19415,"780 of 3141"
"Lee County",12071,49.0,342731,"850 of 3141"
"Polk County",12105,49.0,319775,"915 of 3141"
"Orange County",12095,49.1,633835,"1010 of 3141"
"Collier County",12021,49.2,175608,"1111 of 3141"
"Clay County",12019,49.2,100119,"1141 of 3141"
"Putnam County",12107,49.3,35683,"1154 of 3141"
"Osceola County",12097,49.3,160216,"1164 of 3141"
"Nassau County",12089,49.3,38706,"1259 of 3141"
"Martin County",12085,49.5,77098,"1470 of 3141"
"Escambia County",12033,49.6,153834,"1607 of 3141"
"Bay County",12005,49.7,89542,"1690 of 3141"
"Sumter County",12119,50.4,58883,"2294 of 3141"
"Suwannee County",12121,50.7,22204,"2418 of 3141"
"Okaloosa County",12091,50.7,100239,"2447 of 3141"
"Walton County",12131,50.8,32216,"2466 of 3141"
"Santa Rosa County",12113,51.2,85374,"2599 of 3141"
"Columbia County",12023,51.7,35425,"2729 of 3141"
"Gilchrist County",12041,52.3,8983,"2824 of 3141"
"Baker County",12003,52.4,14422,"2839 of 3141"
"Monroe County",12087,52.4,40218,"2844 of 3141"
"Madison County",12079,52.9,9804,"2890 of 3141"
"Hendry County",12051,53.0,20716,"2903 of 3141"
"Holmes County",12059,53.6,10449,"2956 of 3141"
"Jefferson County",12065,53.6,7554,"2957 of 3141"
"Hardee County",12049,53.9,14716,"2972 of 3141"
"Okeechobee County",12093,54.1,21767,"2986 of 3141"
"Washington County",12133,54.3,13300,"3001 of 3141"
"Calhoun County",12013,54.4,7872,"3004 of 3141"
"Bradford County",12007,55.1,14754,"3028 of 3141"
"Jackson County",12063,55.4,26887,"3035 of 3141"
"Dixie County",12029,55.4,9048,"3038 of 3141"
"Wakulla County",12129,55.5,17528,"3041 of 3141"
"Taylor County",12123,56.1,12547,"3058 of 3141"
"DeSoto County",12027,56.6,20184,"3063 of 3141"
"Glades County",12043,56.7,7479,"3065 of 3141"
"Franklin County",12037,57.6,6727,"3078 of 3141"
"Hamilton County",12047,57.8,8228,"3079 of 3141"
"Lafayette County",12067,58.8,5104,"3094 of 3141"
"Gulf County",12045,59.9,9595,"3105 of 3141"
"Liberty County",12077,62.5,5216,"3124 of 3141"
"Union County",12125,64.8,9922,"3132 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
