------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"United States",00000,17.6,56510571,"N/A"
"Florida",12000,24.7,5015015,"7 of 52"
"Baker County",12003,2.4,648,"2184 of 3141"
"Holmes County",12059,2.7,532,"2006 of 3141"
"Washington County",12133,3.5,867,"1686 of 3141"
"Wakulla County",12129,3.6,1136,"1673 of 3141"
"Nassau County",12089,3.8,2979,"1618 of 3141"
"Bradford County",12007,3.8,1021,"1612 of 3141"
"Dixie County",12029,3.9,632,"1596 of 3141"
"Jefferson County",12065,4.0,568,"1554 of 3141"
"Taylor County",12123,4.1,915,"1538 of 3141"
"Jackson County",12063,4.6,2258,"1392 of 3141"
"Gulf County",12045,4.8,762,"1370 of 3141"
"Liberty County",12077,4.9,406,"1347 of 3141"
"Madison County",12079,5.1,936,"1304 of 3141"
"Franklin County",12037,5.2,606,"1276 of 3141"
"Santa Rosa County",12113,5.2,8736,"1265 of 3141"
"Citrus County",12017,5.3,7528,"1254 of 3141"
"Union County",12125,5.4,831,"1230 of 3141"
"Escambia County",12033,5.5,16935,"1224 of 3141"
"Gilchrist County",12041,5.5,947,"1219 of 3141"
"Sumter County",12119,5.7,6608,"1188 of 3141"
"Calhoun County",12013,5.8,836,"1165 of 3141"
"Columbia County",12023,5.8,3977,"1157 of 3141"
"Bay County",12005,6.0,10820,"1127 of 3141"
"Walton County",12131,6.0,3814,"1126 of 3141"
"Leon County",12073,6.1,17506,"1104 of 3141"
"St. Johns County",12109,6.4,14484,"1074 of 3141"
"Charlotte County",12015,6.9,11873,"1008 of 3141"
"Levy County",12075,8.0,3178,"894 of 3141"
"Okaloosa County",12091,8.7,17109,"836 of 3141"
"Sarasota County",12115,8.8,35694,"824 of 3141"
"Suwannee County",12121,8.8,3866,"823 of 3141"
"Duval County",12031,9.0,81639,"814 of 3141"
"Pinellas County",12103,9.2,86921,"800 of 3141"
"Hamilton County",12047,9.2,1310,"798 of 3141"
"Alachua County",12001,9.3,24059,"787 of 3141"
"Clay County",12019,9.3,18890,"785 of 3141"
"Brevard County",12009,9.7,55042,"761 of 3141"
"Putnam County",12107,9.8,7079,"751 of 3141"
"Flagler County",12035,10.0,10496,"735 of 3141"
"Gadsden County",12039,10.0,4630,"727 of 3141"
"Indian River County",12061,12.1,17872,"622 of 3141"
"Hernando County",12053,12.2,21865,"612 of 3141"
"Marion County",12083,12.4,42467,"604 of 3141"
"Volusia County",12127,12.9,66743,"579 of 3141"
"Martin County",12085,13.2,20549,"572 of 3141"
"Pasco County",12101,14.0,69864,"550 of 3141"
"Lafayette County",12067,14.3,1238,"539 of 3141"
"Lake County",12069,14.4,47009,"532 of 3141"
"Manatee County",12081,15.9,57651,"483 of 3141"
"St. Lucie County",12111,18.1,54152,"425 of 3141"
"Highlands County",12055,18.9,18893,"410 of 3141"
"Seminole County",12117,20.1,90119,"380 of 3141"
"Lee County",12071,20.2,141544,"375 of 3141"
"Polk County",12105,20.6,134399,"367 of 3141"
"Glades County",12043,20.8,2745,"364 of 3141"
"Palm Beach County",12099,21.3,304210,"353 of 3141"
"Monroe County",12087,23.5,18021,"313 of 3141"
"Okeechobee County",12093,25.0,10052,"291 of 3141"
"Collier County",12021,27.2,96948,"258 of 3141"
"Hillsborough County",12057,27.4,370827,"254 of 3141"
"Broward County",12011,28.4,535987,"242 of 3141"
"Orange County",12095,30.2,389005,"226 of 3141"
"DeSoto County",12027,30.5,10887,"224 of 3141"
"Hardee County",12049,43.2,11801,"131 of 3141"
"Osceola County",12097,51.6,167797,"94 of 3141"
"Hendry County",12051,51.9,20258,"92 of 3141"
"Miami-Dade County",12086,67.5,1823038,"36 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
