------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=12&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Florida by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"Florida",12000,7.2,699117,"39 of 52"
"Monroe County",12087,3.7,1539,"529 of 3141"
"Collier County",12021,5.3,8389,"1169 of 3141"
"St. Johns County",12109,5.3,5792,"1198 of 3141"
"Gulf County",12045,5.4,338,"1251 of 3141"
"Nassau County",12089,5.7,2095,"1366 of 3141"
"Walton County",12131,5.7,1682,"1377 of 3141"
"Sarasota County",12115,5.7,9691,"1383 of 3141"
"Baker County",12003,5.8,655,"1463 of 3141"
"Taylor County",12123,5.9,431,"1497 of 3141"
"DeSoto County",12027,6.1,818,"1579 of 3141"
"Okaloosa County",12091,6.1,5564,"1591 of 3141"
"Dixie County",12029,6.2,319,"1662 of 3141"
"Santa Rosa County",12113,6.3,4765,"1703 of 3141"
"Bay County",12005,6.4,5480,"1738 of 3141"
"Pinellas County",12103,6.4,30015,"1745 of 3141"
"Flagler County",12035,6.5,2719,"1795 of 3141"
"Martin County",12085,6.5,4527,"1842 of 3141"
"Osceola County",12097,6.6,10297,"1863 of 3141"
"Sumter County",12119,6.6,1681,"1865 of 3141"
"Manatee County",12081,6.6,10661,"1882 of 3141"
"Seminole County",12117,6.6,15736,"1889 of 3141"
"Alachua County",12001,6.6,8581,"1890 of 3141"
"Volusia County",12127,6.7,15242,"1916 of 3141"
"Orange County",12095,6.8,46711,"1957 of 3141"
"Hillsborough County",12057,6.8,47171,"1963 of 3141"
"Wakulla County",12129,6.9,1007,"2004 of 3141"
"Pasco County",12101,7.0,15299,"2061 of 3141"
"Lee County",12071,7.1,21844,"2078 of 3141"
"Lake County",12069,7.2,10165,"2105 of 3141"
"Escambia County",12033,7.2,10439,"2114 of 3141"
"Jefferson County",12065,7.2,384,"2123 of 3141"
"Miami-Dade County",12086,7.4,100968,"2171 of 3141"
"Palm Beach County",12099,7.4,52432,"2187 of 3141"
"Duval County",12031,7.4,34497,"2193 of 3141"
"Gilchrist County",12041,7.4,516,"2194 of 3141"
"Bradford County",12007,7.6,745,"2250 of 3141"
"St. Lucie County",12111,7.6,9986,"2253 of 3141"
"Brevard County",12009,7.6,19763,"2290 of 3141"
"Broward County",12011,7.6,77060,"2299 of 3141"
"Polk County",12105,7.7,21947,"2319 of 3141"
"Franklin County",12037,7.9,368,"2385 of 3141"
"Madison County",12079,8.1,528,"2455 of 3141"
"Clay County",12019,8.1,8101,"2457 of 3141"
"Hendry County",12051,8.2,1448,"2467 of 3141"
"Indian River County",12061,8.2,4984,"2471 of 3141"
"Levy County",12075,8.5,1350,"2553 of 3141"
"Gadsden County",12039,8.5,1525,"2575 of 3141"
"Calhoun County",12013,8.6,441,"2581 of 3141"
"Leon County",12073,8.8,13890,"2635 of 3141"
"Hernando County",12053,8.8,6210,"2640 of 3141"
"Charlotte County",12015,8.9,5753,"2646 of 3141"
"Marion County",12083,9.0,11868,"2664 of 3141"
"Okeechobee County",12093,9.0,1396,"2670 of 3141"
"Suwannee County",12121,9.1,1659,"2685 of 3141"
"Hardee County",12049,9.1,990,"2696 of 3141"
"Columbia County",12023,9.5,2727,"2776 of 3141"
"Liberty County",12077,9.6,261,"2786 of 3141"
"Union County",12125,9.8,411,"2812 of 3141"
"Citrus County",12017,9.9,4949,"2821 of 3141"
"Glades County",12043,10.0,451,"2851 of 3141"
"Washington County",12133,10.1,993,"2869 of 3141"
"Putnam County",12107,10.3,2887,"2897 of 3141"
"Jackson County",12063,11.2,2050,"2965 of 3141"
"Holmes County",12059,11.5,827,"2982 of 3141"
"Highlands County",12055,11.5,4166,"2985 of 3141"
"Hamilton County",12047,12.7,562,"3038 of 3141"
"Lafayette County",12067,12.8,371,"3041 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
