------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"United States",00000,34.5,110609456,"N/A"
"Tennessee",47000,35.2,2324943,"26 of 52"
"Montgomery County",47125,23.4,44994,"3115 of 3141"
"Rutherford County",47149,26.6,79327,"3055 of 3141"
"Davidson County",47037,29.2,198078,"2935 of 3141"
"Shelby County",47157,31.3,293319,"2788 of 3141"
"Williamson County",47187,32.6,69175,"2660 of 3141"
"Bedford County",47003,33.0,15448,"2619 of 3141"
"Tipton County",47167,33.7,20712,"2538 of 3141"
"Knox County",47093,34.1,154027,"2493 of 3141"
"Putnam County",47141,34.2,25836,"2471 of 3141"
"Lake County",47095,34.4,2607,"2448 of 3141"
"Trousdale County",47169,34.4,3020,"2445 of 3141"
"Lauderdale County",47097,34.6,9169,"2422 of 3141"
"Robertson County",47147,34.7,23818,"2400 of 3141"
"Chester County",47023,35.0,5982,"2359 of 3141"
"Sumner County",47165,35.1,61667,"2335 of 3141"
"Macon County",47111,35.3,8208,"2304 of 3141"
"Bradley County",47011,35.6,36909,"2263 of 3141"
"Wilson County",47189,35.6,45897,"2261 of 3141"
"Scott County",47151,35.7,7827,"2252 of 3141"
"Madison County",47113,35.8,35032,"2231 of 3141"
"Dickson County",47043,35.9,18431,"2211 of 3141"
"Cheatham County",47021,36.2,14395,"2157 of 3141"
"Weakley County",47183,36.3,12250,"2153 of 3141"
"Maury County",47119,36.3,31776,"2152 of 3141"
"Marshall County",47117,36.3,11533,"2144 of 3141"
"Dyer County",47045,36.4,13748,"2132 of 3141"
"Hamilton County",47065,36.8,130641,"2054 of 3141"
"Morgan County",47129,36.9,7981,"2049 of 3141"
"Washington County",47179,37.0,46746,"2029 of 3141"
"Warren County",47177,37.0,14876,"2017 of 3141"
"Coffee County",47031,37.3,20182,"1949 of 3141"
"Lawrence County",47099,37.4,15915,"1929 of 3141"
"Hamblen County",47063,37.4,23749,"1917 of 3141"
"Henderson County",47077,37.5,10455,"1896 of 3141"
"Gibson County",47053,37.5,18475,"1888 of 3141"
"Hardeman County",47069,37.6,9691,"1872 of 3141"
"Hickman County",47081,37.6,9212,"1870 of 3141"
"Crockett County",47033,37.7,5480,"1860 of 3141"
"Rhea County",47143,37.9,12313,"1811 of 3141"
"Smith County",47159,38.4,7406,"1699 of 3141"
"DeKalb County",47041,38.6,7479,"1668 of 3141"
"Haywood County",47075,38.6,6935,"1657 of 3141"
"Wayne County",47181,39.1,6537,"1556 of 3141"
"Union County",47173,39.2,7524,"1527 of 3141"
"Cannon County",47015,39.4,5451,"1485 of 3141"
"Bledsoe County",47007,39.8,5739,"1390 of 3141"
"Sevier County",47155,39.9,38109,"1369 of 3141"
"Franklin County",47051,40.0,16556,"1340 of 3141"
"McMinn County",47107,40.2,21142,"1289 of 3141"
"Overton County",47133,40.2,8849,"1287 of 3141"
"Carroll County",47017,40.3,11331,"1275 of 3141"
"Claiborne County",47025,40.3,12723,"1271 of 3141"
"Obion County",47131,40.3,12358,"1270 of 3141"
"McNairy County",47109,40.4,10483,"1248 of 3141"
"Blount County",47009,40.4,51383,"1244 of 3141"
"Grundy County",47061,40.5,5414,"1211 of 3141"
"Jefferson County",47089,40.6,21448,"1202 of 3141"
"Sequatchie County",47153,40.6,5944,"1200 of 3141"
"Humphreys County",47085,40.7,7444,"1167 of 3141"
"Monroe County",47123,40.8,18643,"1147 of 3141"
"White County",47185,40.8,10777,"1141 of 3141"
"Marion County",47115,40.9,11590,"1132 of 3141"
"Houston County",47083,40.9,3350,"1125 of 3141"
"Lincoln County",47103,40.9,13731,"1116 of 3141"
"Campbell County",47013,41.1,16360,"1084 of 3141"
"Anderson County",47001,41.1,31043,"1080 of 3141"
"Grainger County",47057,41.4,9495,"1021 of 3141"
"Giles County",47055,41.5,12031,"1011 of 3141"
"Hawkins County",47073,41.5,23408,"1001 of 3141"
"Stewart County",47161,41.8,5535,"961 of 3141"
"Greene County",47059,42.2,28902,"899 of 3141"
"Carter County",47019,42.2,23840,"897 of 3141"
"Polk County",47139,42.3,7066,"886 of 3141"
"Meigs County",47121,42.3,5008,"869 of 3141"
"Perry County",47135,42.5,3346,"858 of 3141"
"Hancock County",47067,42.5,2809,"845 of 3141"
"Sullivan County",47163,42.6,66629,"831 of 3141"
"Lewis County",47101,42.7,5095,"816 of 3141"
"Cocke County",47029,42.8,15077,"802 of 3141"
"Fentress County",47049,42.9,7691,"778 of 3141"
"Johnson County",47091,42.9,7653,"775 of 3141"
"Moore County",47127,43.3,2731,"712 of 3141"
"Fayette County",47047,43.4,17074,"703 of 3141"
"Hardin County",47071,43.6,11261,"666 of 3141"
"Henry County",47079,44.0,14181,"628 of 3141"
"Decatur County",47039,44.4,5185,"577 of 3141"
"Unicoi County",47171,44.5,7942,"563 of 3141"
"Benton County",47005,45.1,7293,"504 of 3141"
"Roane County",47145,45.4,24029,"478 of 3141"
"Jackson County",47087,45.4,5259,"473 of 3141"
"Clay County",47027,45.7,3511,"443 of 3141"
"Van Buren County",47175,45.8,2597,"436 of 3141"
"Loudon County",47105,46.5,23701,"381 of 3141"
"Pickett County",47137,49.7,2521,"184 of 3141"
"Cumberland County",47035,50.6,29423,"154 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
