------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"Tennessee",47000,51.2,3380308,"40 of 52"
"Lake County",47095,37.3,2827,"17 of 3141"
"Bledsoe County",47007,41.8,6028,"58 of 3141"
"Morgan County",47129,44.1,9551,"91 of 3141"
"Wayne County",47181,44.5,7440,"102 of 3141"
"Hardeman County",47069,45.4,11708,"132 of 3141"
"Johnson County",47091,46.1,8221,"164 of 3141"
"Trousdale County",47169,47.0,4119,"237 of 3141"
"Hickman County",47081,47.6,11672,"305 of 3141"
"Lauderdale County",47097,49.0,12973,"591 of 3141"
"Pickett County",47137,49.4,2505,"771 of 3141"
"Van Buren County",47175,49.4,2805,"787 of 3141"
"Jackson County",47087,49.7,5746,"910 of 3141"
"Perry County",47135,49.8,3922,"986 of 3141"
"Houston County",47083,49.9,4082,"1078 of 3141"
"DeKalb County",47041,49.9,9675,"1138 of 3141"
"Montgomery County",47125,49.9,95924,"1144 of 3141"
"Smith County",47159,50.1,9662,"1304 of 3141"
"Unicoi County",47171,50.2,8950,"1371 of 3141"
"Polk County",47139,50.2,8401,"1408 of 3141"
"Stewart County",47161,50.3,6666,"1492 of 3141"
"Union County",47173,50.4,9660,"1546 of 3141"
"Overton County",47133,50.4,11081,"1552 of 3141"
"Grainger County",47057,50.4,11559,"1557 of 3141"
"Hancock County",47067,50.4,3332,"1619 of 3141"
"Cheatham County",47021,50.5,20071,"1726 of 3141"
"Marshall County",47117,50.6,16053,"1748 of 3141"
"Tipton County",47167,50.6,31071,"1773 of 3141"
"Monroe County",47123,50.6,23127,"1811 of 3141"
"Putnam County",47141,50.6,38263,"1864 of 3141"
"Bedford County",47003,50.6,23727,"1867 of 3141"
