------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Tennessee",47000,2.8,183618,"28 of 51"
"Henderson County",47077,0.3,84,"84 of 3140"
"Haywood County",47075,0.4,65,"112 of 3140"
"Grundy County",47061,0.4,58,"145 of 3140"
"Hardeman County",47069,0.5,123,"168 of 3140"
"Smith County",47159,0.6,113,"240 of 3140"
"Hancock County",47067,0.6,39,"243 of 3140"
"Wayne County",47181,0.6,106,"279 of 3140"
"Crockett County",47033,0.7,94,"290 of 3140"
"Jackson County",47087,0.7,78,"313 of 3140"
"Clay County",47027,0.7,56,"355 of 3140"
"Benton County",47005,0.8,122,"380 of 3140"
"Lewis County",47101,0.9,104,"506 of 3140"
"Gibson County",47053,0.9,451,"558 of 3140"
"Moore County",47127,0.9,59,"578 of 3140"
"Scott County",47151,0.9,205,"580 of 3140"
"Trousdale County",47169,1.0,82,"601 of 3140"
"Van Buren County",47175,1.0,57,"668 of 3140"
"Union County",47173,1.1,211,"776 of 3140"
"Overton County",47133,1.1,248,"817 of 3140"
"Fayette County",47047,1.2,453,"845 of 3140"
"Marion County",47115,1.2,329,"852 of 3140"
"Dyer County",47045,1.2,436,"853 of 3140"
"DeKalb County",47041,1.2,229,"888 of 3140"
"Morgan County",47129,1.2,261,"918 of 3140"
"Warren County",47177,1.2,489,"930 of 3140"
"Perry County",47135,1.2,96,"941 of 3140"
"White County",47185,1.3,328,"958 of 3140"
"Bledsoe County",47007,1.3,181,"968 of 3140"
"Marshall County",47117,1.3,400,"975 of 3140"
"Sequatchie County",47153,1.3,190,"1011 of 3140"
"Carroll County",47017,1.3,363,"1013 of 3140"
"Decatur County",47039,1.4,156,"1074 of 3140"
"Hickman County",47081,1.4,329,"1088 of 3140"
"Lawrence County",47099,1.4,574,"1092 of 3140"
"Humphreys County",47085,1.4,251,"1115 of 3140"
"Lauderdale County",47097,1.4,371,"1170 of 3140"
"Cannon County",47015,1.4,195,"1172 of 3140"
"Madison County",47113,1.4,1375,"1175 of 3140"
"Chester County",47023,1.6,262,"1318 of 3140"
"Hamblen County",47063,1.6,991,"1341 of 3140"
"Hardin County",47071,1.6,408,"1368 of 3140"
"Robertson County",47147,1.6,1089,"1379 of 3140"
"Blount County",47009,1.6,2037,"1390 of 3140"
"Hawkins County",47073,1.6,911,"1407 of 3140"
"Cheatham County",47021,1.6,648,"1432 of 3140"
"Lake County",47095,1.7,129,"1498 of 3140"
"Meigs County",47121,1.7,201,"1503 of 3140"
"Carter County",47019,1.8,1023,"1616 of 3140"
"McMinn County",47107,1.8,952,"1625 of 3140"
"Macon County",47111,1.8,421,"1626 of 3140"
"Dickson County",47043,1.8,935,"1645 of 3140"
"Weakley County",47183,1.9,620,"1658 of 3140"
"Anderson County",47001,1.9,1391,"1661 of 3140"
"Bedford County",47003,1.9,868,"1673 of 3140"
"Fentress County",47049,1.9,339,"1697 of 3140"
"McNairy County",47109,1.9,497,"1718 of 3140"
"Houston County",47083,1.9,157,"1722 of 3140"
"Giles County",47055,2.0,563,"1757 of 3140"
"Obion County",47131,2.0,604,"1779 of 3140"
"Putnam County",47141,2.0,1494,"1786 of 3140"
"Cocke County",47029,2.0,711,"1814 of 3140"
"Greene County",47059,2.1,1417,"1864 of 3140"
"Rhea County",47143,2.3,734,"2016 of 3140"
"Henry County",47079,2.4,759,"2079 of 3140"
"Campbell County",47013,2.4,946,"2092 of 3140"
"Polk County",47139,2.4,407,"2116 of 3140"
"Wilson County",47189,2.5,3156,"2138 of 3140"
"Monroe County",47123,2.5,1133,"2167 of 3140"
"Shelby County",47157,2.6,23813,"2210 of 3140"
"Maury County",47119,2.6,2294,"2248 of 3140"
"Washington County",47179,2.7,3326,"2259 of 3140"
"Franklin County",47051,2.7,1118,"2298 of 3140"
"Grainger County",47057,2.7,622,"2299 of 3140"
"Roane County",47145,2.7,1443,"2315 of 3140"
"Tipton County",47167,2.8,1672,"2316 of 3140"
"Johnson County",47091,2.8,490,"2323 of 3140"
"Unicoi County",47171,2.8,491,"2326 of 3140"
"Jefferson County",47089,2.8,1458,"2332 of 3140"
"Loudon County",47105,2.8,1435,"2361 of 3140"
"Coffee County",47031,2.9,1566,"2408 of 3140"
"Knox County",47093,2.9,13125,"2419 of 3140"
"Cumberland County",47035,3.0,1716,"2433 of 3140"
"Hamilton County",47065,3.1,10758,"2481 of 3140"
"Sullivan County",47163,3.1,4774,"2486 of 3140"
"Sumner County",47165,3.2,5628,"2561 of 3140"
"Bradley County",47011,3.2,3324,"2572 of 3140"
"Lincoln County",47103,3.3,1102,"2601 of 3140"
"Rutherford County",47149,3.3,9863,"2607 of 3140"
"Pickett County",47137,3.5,175,"2652 of 3140"
"Claiborne County",47025,3.5,1089,"2655 of 3140"
"Sevier County",47155,3.8,3600,"2750 of 3140"
"Williamson County",47187,4.0,8446,"2799 of 3140"
"Stewart County",47161,4.2,545,"2832 of 3140"
"Davidson County",47037,4.3,28958,"2862 of 3140"
"Montgomery County",47125,8.3,15623,"3122 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
